scope,variable,total_n,valid_n,missing_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad
overall,ExposureTime,522,522,0,37,0.0022222222222222,0.004073043478260865,0.008341466666666636,0.01,0.02,0.030006,0.04,0.040008,0.050009,0.020060928314277474,0.009169744650975429,0.020006000000000003,0.01
overall,FNumber,522,522,0,3,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.89772030651341,0.016461854047386804,0.010000000000000009,0.0
overall,ISOSpeedRatings,522,522,0,179,50.0,50.0,75.05,160.0,241.5,400.0,800.0,1250.0,1600.0,313.51149425287355,241.5160546756533,240.0,105.5
overall,BrightnessValue,522,522,0,277,-2.67,-2.1053,-1.43,0.3525,3.0549999999999997,7.2,9.089999999999998,10.178999999999995,10.9,3.71044061302682,3.71293567951157,6.8475,3.4749999999999996
overall,log2_exposure_time,522,522,0,37,-8.813781191217052,-7.940522495581369,-6.905496091754099,-6.643856189774724,-5.643856189774724,-5.058605178895445,-4.643856189774724,-4.643567679616601,-4.321668433148858,-5.814657106443564,0.756679523121861,1.5852510108792792,0.5852510108792792
overall,log2_iso_gain,522,522,0,179,-1.0,-1.0,-0.4140820581314586,0.6780719051126377,1.2720200969775535,2.0,3.0,3.643856189774725,4.0,1.288822176932798,1.022794943854288,1.3219280948873622,0.6799479725431914
overall,aperture_value_from_f,522,522,0,3,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.848429702917294,0.024456190076984352,0.015226368219750208,0.0
overall,time_value_from_t,522,522,0,37,4.321668433148858,4.643567679616601,4.643856189774724,5.058605178895445,5.643856189774724,6.643856189774724,6.905496091754099,7.940522495581365,8.813781191217052,5.814657106443564,0.756679523121861,1.5852510108792792,0.5852510108792792
overall,EV100,522,522,0,39,6.158440902041554,6.480340148509297,6.643856189774724,6.8963929564708994,7.49585502688717,8.49585502688717,8.756733610455557,9.79252133269381,10.665780028329497,7.663086809360858,0.7567171129497001,1.599462070416271,0.6004773790990292
overall,relative_optical_exposure,522,522,0,39,-10.665780028329497,-9.792521332693815,-8.756733610455557,-8.49585502688717,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.480340148509297,-6.158440902041554,-7.663086809360858,0.7567171129497001,1.599462070416271,0.6004773790990292
overall,combined_exposure_gain,522,522,0,257,-10.261389773250166,-9.614140575934293,-8.954233690546165,-7.3366855819652335,-6.406523985097368,-5.404835055082894,-4.218321051358261,-3.5744648615835373,-2.6794690970086115,-6.374264632428059,1.4140414001853279,1.9318505268823394,0.9862312202580092
overall,sensitivity_value,522,522,0,179,4.0,4.0,4.585917941868542,5.678071905112637,6.272020096977553,7.0,8.0,8.643856189774725,9.0,6.288822176932798,1.0227949438542876,1.3219280948873626,0.6799479725431916
overall,brightness_apex_pred,522,522,0,258,-2.320530902991389,-1.4255351384164623,-0.7816789486417379,0.4048350550828943,1.406523985097368,2.3366855819652335,3.9542336905461655,4.614140575934291,5.2613897732501655,1.3742646324280596,1.4140414001853272,1.9318505268823392,0.9862312202580092
overall,brightness_residual,522,522,0,412,-1.527783121774533,-1.2945697636742795,-1.037783121774533,-0.9051937574015791,-0.7417815750520149,6.146036662310891,6.386272937558976,6.597280046862972,6.908693675880719,2.33617598059876,3.497156676272935,7.05123041971247,0.3260015467225178
overall,device_centered_brightness,522,522,0,276,-2.1176470463667814,-1.4117646975778542,-1.1013824834037675,-0.503456218878082,0.0,0.47058823252595067,1.2900921599534925,1.7867633417954065,2.2442396209942874,0.010089538170265432,0.742064735819566,0.9740444514040327,0.47695852314765663
