scope,method,variable_a,variable_b,correlation,n
overall,pearson,ExposureTime,ExposureTime,1.0,522
overall,pearson,ExposureTime,FNumber,0.06365982445888035,522
overall,pearson,ExposureTime,ISOSpeedRatings,0.21923190920832966,522
overall,pearson,ExposureTime,BrightnessValue,0.1502600951879832,522
overall,pearson,ExposureTime,log2_exposure_time,0.9538065005770894,522
overall,pearson,ExposureTime,log2_iso_gain,0.3298354713113582,522
overall,pearson,ExposureTime,aperture_value_from_f,0.059390951846003105,522
overall,pearson,ExposureTime,time_value_from_t,-0.9538065005770894,522
overall,pearson,ExposureTime,EV100,-0.9518396759819047,522
overall,pearson,ExposureTime,relative_optical_exposure,0.9518396759819047,522
overall,pearson,ExposureTime,combined_exposure_gain,0.7479465762617996,522
overall,pearson,ExposureTime,sensitivity_value,0.32983547131135843,522
overall,pearson,ExposureTime,brightness_apex_pred,-0.7479465762617993,522
overall,pearson,ExposureTime,brightness_residual,0.46195628109892495,522
overall,pearson,ExposureTime,device_centered_brightness,-0.7146519008998556,522
overall,pearson,FNumber,ExposureTime,0.06365982445888035,522
overall,pearson,FNumber,FNumber,1.0,522
overall,pearson,FNumber,ISOSpeedRatings,0.10204663820057618,522
overall,pearson,FNumber,BrightnessValue,-0.43601227461887576,522
overall,pearson,FNumber,log2_exposure_time,0.01877434492408167,522
overall,pearson,FNumber,log2_iso_gain,0.12804552257717355,522
overall,pearson,FNumber,aperture_value_from_f,0.9999692548375736,522
overall,pearson,FNumber,time_value_from_t,-0.01877434492408167,522
overall,pearson,FNumber,EV100,0.013544395425943519,522
overall,pearson,FNumber,relative_optical_exposure,-0.013544395425943519,522
overall,pearson,FNumber,combined_exposure_gain,0.08536881399365158,522
overall,pearson,FNumber,sensitivity_value,0.1280455225771731,522
overall,pearson,FNumber,brightness_apex_pred,-0.08536881399365204,522
overall,pearson,FNumber,brightness_residual,-0.42839673270296214,522
overall,pearson,FNumber,device_centered_brightness,-0.09243030665868643,522
overall,pearson,ISOSpeedRatings,ExposureTime,0.21923190920832966,522
overall,pearson,ISOSpeedRatings,FNumber,0.10204663820057618,522
overall,pearson,ISOSpeedRatings,ISOSpeedRatings,1.0,522
overall,pearson,ISOSpeedRatings,BrightnessValue,-0.5728958532498707,522
overall,pearson,ISOSpeedRatings,log2_exposure_time,0.12388511718104682,522
overall,pearson,ISOSpeedRatings,log2_iso_gain,0.9058712604447586,522
overall,pearson,ISOSpeedRatings,aperture_value_from_f,0.10443934668581349,522
overall,pearson,ISOSpeedRatings,time_value_from_t,-0.12388511718104682,522
overall,pearson,ISOSpeedRatings,EV100,-0.12050360870119135,522
overall,pearson,ISOSpeedRatings,relative_optical_exposure,0.12050360870119135,522
overall,pearson,ISOSpeedRatings,combined_exposure_gain,0.7197156233960436,522
overall,pearson,ISOSpeedRatings,sensitivity_value,0.905871260444759,522
overall,pearson,ISOSpeedRatings,brightness_apex_pred,-0.7197156233960444,522
overall,pearson,ISOSpeedRatings,brightness_residual,-0.3172342188328332,522
overall,pearson,ISOSpeedRatings,device_centered_brightness,-0.6978008775580898,522
overall,pearson,BrightnessValue,ExposureTime,0.1502600951879832,522
overall,pearson,BrightnessValue,FNumber,-0.43601227461887576,522
overall,pearson,BrightnessValue,ISOSpeedRatings,-0.5728958532498707,522
overall,pearson,BrightnessValue,BrightnessValue,1.0,522
overall,pearson,BrightnessValue,log2_exposure_time,0.1664663589060065,522
overall,pearson,BrightnessValue,log2_iso_gain,-0.6018334851138509,522
overall,pearson,BrightnessValue,aperture_value_from_f,-0.4423630418008497,522
overall,pearson,BrightnessValue,time_value_from_t,-0.1664663589060065,522
overall,pearson,BrightnessValue,EV100,-0.18075473299787428,522
overall,pearson,BrightnessValue,relative_optical_exposure,0.18075473299787428,522
overall,pearson,BrightnessValue,combined_exposure_gain,-0.33858417854509537,522
overall,pearson,BrightnessValue,sensitivity_value,-0.6018334851138508,522
overall,pearson,BrightnessValue,brightness_apex_pred,0.33858417854509665,522
overall,pearson,BrightnessValue,brightness_residual,0.9247980382302576,522
