ID,Make,Model,ExposureTime,FNumber,ISOSpeedRatings,BrightnessValue,overexposed_pixel_ratio,underexposed_pixel_ratio,high_frequency_noise_mad,laplacian_variance,noise_robust_z_within_device,blur_robust_z_within_device,是否过曝,是否欠曝,是否明显噪声较高,是否明显模糊,解析错误或哨兵值,合理弱光条件线索,最终复核分类,detail
201331515,HONOR,BVL-AN00,0.01,1.9,1600.0,-1.31,0.0,0.0002622836160167862,0.015722780513764977,0.01067505208697093,0.3300275896353477,0.08362287199786243,False,False,False,False,False,True,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
204650307,HONOR,BVL-AN00,0.0303030303030303,1.9,1250.0,-2.66,0.0,0.0026323486399532025,0.013270596134888166,0.009611243217089015,-0.3677884231626246,-0.15032781083898564,False,False,False,False,False,True,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
A000104693,HONOR,BVL-AN00,0.0071428571428571,1.9,1250.0,-0.62,0.0,0.000758889852558543,0.013076271701330711,0.01183712241279196,-0.4230871611296279,0.33918301435731346,False,False,False,False,False,True,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
A000590309,HONOR,BVL-AN00,0.0052631578947368,1.9,1250.0,-0.1,0.0,0.0005889912186763761,0.016823987352444898,0.01150012056016776,0.6433970785093676,0.2650702524027472,False,False,False,False,False,False,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
A001074268,HONOR,BVL-AN00,0.0058823529411764,1.9,1250.0,-0.32,0.0,5.323112956456936e-05,0.014307690103592638,0.011113816009992297,-0.07266347889980353,0.18011494148626364,False,False,False,False,False,False,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
A001808459,HONOR,BVL-AN00,0.005,1.9,1250.0,-0.12,0.0,0.0005113345832623146,0.01684605257219212,0.01066049601575366,0.6496761592335382,0.08042173042336152,False,False,False,False,False,False,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
A001837056,HONOR,BVL-AN00,0.0149253731343283,1.9,1250.0,-1.61,0.0,0.0018618618618618619,0.016633241002504472,0.014365823228472619,0.5891165527390492,0.8952897542684528,False,False,False,False,False,True,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
A001888679,HONOR,BVL-AN00,0.0058823529411764,1.9,1250.0,-0.37,0.0,0.0,0.016986178940739012,0.012852136134986671,0.6895518001639477,0.5624027675659725,False,False,False,False,False,False,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
A002331084,HONOR,BVL-AN00,0.0303030303030303,1.9,1250.0,-2.67,0.0,0.0025016677785190127,0.02132066570865311,0.02057647232210247,1.9230129949933494,2.2611230702437566,False,False,False,False,False,True,合理的真实拍摄条件,"model=BVL-AN00, median=320, MAD=120"
A001636890,Xiaomi,M2006J10C,0.050009,1.89,1115.0,4.3,0.0,0.0,0.007958351578187329,0.0018170341466177793,-1.2126415692810983,-1.1073521230001486,False,False,False,False,False,True,合理的真实拍摄条件,"model=M2006J10C, median=192, MAD=63"
A001632964,Xiaomi,M2006J10C,0.050009,1.89,1082.0,3.8,0.0,0.0014212620807276862,0.010861023448164584,0.004985811334147112,-0.6406652638103806,-0.7782513456757545,False,False,False,False,False,True,合理的真实拍摄条件,"model=M2006J10C, median=192, MAD=63"
A001028520,Xiaomi,M2006J10C,0.040008,1.89,871.0,4.2,0.0,0.007788256769090356,0.011793966385821093,0.007406508722874265,-0.45682731084880474,-0.5268441481509639,False,False,False,False,False,True,合理的真实拍摄条件,"model=M2006J10C, median=192, MAD=63"
A001722742,Xiaomi,M2006J10C,0.040008,1.89,710.0,5.0,0.0,0.00013252054068380598,0.014891499088277853,0.00848748337544428,0.1535466447991094,-0.41457699354356353,False,False,False,False,False,True,合理的真实拍摄条件,"model=M2006J10C, median=192, MAD=63"
A001438120,Xiaomi,M2006J10C,0.040008,1.89,700.0,5.0,0.0,0.00409741458910434,0.011535948977168873,0.006304518740719658,-0.507670069093188,-0.6412938990384801,False,False,False,False,False,True,合理的真实拍摄条件,"model=M2006J10C, median=192, MAD=63"
