Model,parameter,image_n,tag_present_n,nonblank_n,valid_n,warning_n,invalid_n,missing_or_blank_n
BVL-AN00,ApertureValue,283,283,283,283,0,0,0
BVL-AN00,BrightnessValue,283,283,283,283,0,0,0
BVL-AN00,ColorSpace,283,283,283,283,0,0,0
BVL-AN00,DateTime,283,283,283,283,0,0,0
BVL-AN00,DateTimeDigitized,283,283,283,283,0,0,0
BVL-AN00,DateTimeOriginal,283,283,283,283,0,0,0
BVL-AN00,DigitalZoomRatio,283,0,0,0,0,0,283
BVL-AN00,ExifImageHeight,283,283,283,283,0,0,0
BVL-AN00,ExifImageWidth,283,283,283,283,0,0,0
BVL-AN00,ExifVersion,283,283,283,283,0,0,0
BVL-AN00,ExposureBiasValue,283,283,283,283,0,0,0
BVL-AN00,ExposureMode,283,283,283,283,0,0,0
BVL-AN00,ExposureProgram,283,283,283,283,0,0,0
BVL-AN00,ExposureTime,283,283,283,283,0,0,0
BVL-AN00,FNumber,283,283,283,283,0,0,0
BVL-AN00,Flash,283,283,283,283,0,0,0
BVL-AN00,FlashPixVersion,283,283,283,283,0,0,0
BVL-AN00,FocalLength,283,283,283,283,0,0,0
BVL-AN00,FocalLengthIn35mmFilm,283,283,283,283,0,0,0
BVL-AN00,ISOSpeed,283,279,279,279,0,0,4
BVL-AN00,ISOSpeedRatings,283,283,283,283,0,0,0
BVL-AN00,ImageDescription,283,282,0,0,0,0,283
BVL-AN00,LightSource,283,283,283,0,283,0,0
BVL-AN00,Make,283,283,283,283,0,0,0
BVL-AN00,MaxApertureValue,283,283,283,283,0,0,0
BVL-AN00,MeteringMode,283,283,283,283,0,0,0
BVL-AN00,Model,283,283,283,283,0,0,0
BVL-AN00,OffsetTime,283,283,283,283,0,0,0
BVL-AN00,OffsetTimeOriginal,283,283,283,283,0,0,0
BVL-AN00,Orientation,283,283,283,283,0,0,0
BVL-AN00,ResolutionUnit,283,283,283,283,0,0,0
BVL-AN00,SceneCaptureType,283,283,283,283,0,0,0
BVL-AN00,SensingMethod,283,283,283,0,283,0,0
BVL-AN00,ShutterSpeedValue,283,283,283,283,0,0,0
BVL-AN00,Software,283,0,0,0,0,0,283
BVL-AN00,SubsecTime,283,283,283,283,0,0,0
BVL-AN00,SubsecTimeDigitized,283,283,283,283,0,0,0
BVL-AN00,SubsecTimeOriginal,283,283,283,283,0,0,0
BVL-AN00,WhiteBalance,283,283,283,283,0,0,0
BVL-AN00,XResolution,283,283,283,283,0,0,0
BVL-AN00,YCbCrPositioning,283,283,283,283,0,0,0
BVL-AN00,YResolution,283,283,283,283,0,0,0
M2006J10C,ApertureValue,239,0,0,0,0,0,239
M2006J10C,BrightnessValue,239,239,239,239,0,0,0
M2006J10C,ColorSpace,239,239,239,239,0,0,0
M2006J10C,DateTime,239,239,239,239,0,0,0
M2006J10C,DateTimeDigitized,239,239,239,239,0,0,0
M2006J10C,DateTimeOriginal,239,239,239,239,0,0,0
M2006J10C,DigitalZoomRatio,239,239,239,0,239,0,0
M2006J10C,ExifImageHeight,239,239,239,239,0,0,0
M2006J10C,ExifImageWidth,239,239,239,239,0,0,0
M2006J10C,ExifVersion,239,239,239,239,0,0,0
M2006J10C,ExposureBiasValue,239,239,239,233,0,6,0
M2006J10C,ExposureMode,239,239,239,239,0,0,0
M2006J10C,ExposureProgram,239,239,239,0,239,0,0
M2006J10C,ExposureTime,239,239,239,239,0,0,0
M2006J10C,FNumber,239,239,239,239,0,0,0
M2006J10C,Flash,239,239,239,239,0,0,0
M2006J10C,FlashPixVersion,239,239,239,239,0,0,0
M2006J10C,FocalLength,239,239,239,239,0,0,0
M2006J10C,FocalLengthIn35mmFilm,239,239,239,0,0,239,0
M2006J10C,ISOSpeed,239,0,0,0,0,0,239
M2006J10C,ISOSpeedRatings,239,239,239,239,0,0,0
M2006J10C,ImageDescription,239,239,0,0,0,0,239
M2006J10C,LightSource,239,239,239,0,239,0,0
M2006J10C,Make,239,239,239,239,0,0,0
M2006J10C,MaxApertureValue,239,239,239,0,0,239,0
M2006J10C,MeteringMode,239,239,239,239,0,0,0
M2006J10C,Model,239,239,239,239,0,0,0
M2006J10C,OffsetTime,239,0,0,0,0,0,239
M2006J10C,OffsetTimeOriginal,239,0,0,0,0,0,239
M2006J10C,Orientation,239,239,239,238,0,1,0
M2006J10C,ResolutionUnit,239,239,239,239,0,0,0
M2006J10C,SceneCaptureType,239,239,239,239,0,0,0
M2006J10C,SensingMethod,239,0,0,0,0,0,239
M2006J10C,ShutterSpeedValue,239,239,239,239,0,0,0
M2006J10C,Software,239,239,239,239,0,0,0
M2006J10C,SubsecTime,239,239,239,239,0,0,0
M2006J10C,SubsecTimeDigitized,239,239,239,239,0,0,0
M2006J10C,SubsecTimeOriginal,239,239,239,239,0,0,0
M2006J10C,WhiteBalance,239,239,239,239,0,0,0
M2006J10C,XResolution,239,239,239,239,0,0,0
M2006J10C,YCbCrPositioning,239,239,239,239,0,0,0
M2006J10C,YResolution,239,239,239,239,0,0,0
