candidate,reference,metric,fold,delta_candidate_minus_reference
global_mask,global_only,macro_auc,0,0.034675895095817144
global_mask,global_only,macro_auc,1,-0.054070620994465246
global_mask,global_only,macro_auc,2,-0.018443366065763245
global_mask,global_only,macro_auc,3,-0.0191319819799739
global_mask,global_only,macro_auc,4,0.004492185671038151
global_mask,global_only,accuracy,0,0.02999999999999997
global_mask,global_only,accuracy,1,0.0
global_mask,global_only,accuracy,2,-0.040000000000000036
global_mask,global_only,accuracy,3,-0.020000000000000018
global_mask,global_only,accuracy,4,-0.08000000000000007
global_mask,global_only,balanced_accuracy,0,-0.004810094952523825
global_mask,global_only,balanced_accuracy,1,0.020885390638014423
global_mask,global_only,balanced_accuracy,2,0.007359440846952392
global_mask,global_only,balanced_accuracy,3,-0.08882721759687534
global_mask,global_only,balanced_accuracy,4,-0.007678075855689137
global_mask,global_only,macro_f1,0,0.037991815665733786
global_mask,global_only,macro_f1,1,-0.018328225423480893
global_mask,global_only,macro_f1,2,-0.0495363394048049
global_mask,global_only,macro_f1,3,-0.06387278258158502
global_mask,global_only,macro_f1,4,-0.042079015543581844
global_mask,global_only,auc_normal,0,0.06888763410502541
global_mask,global_only,auc_normal,1,-0.013551665725578754
global_mask,global_only,auc_normal,2,-0.031620553359683834
global_mask,global_only,auc_normal,3,-0.020892151326934005
global_mask,global_only,auc_normal,4,0.024844720496894346
global_mask,global_only,auc_mild,0,-0.016826923076923017
global_mask,global_only,auc_mild,1,-0.04326923076923084
global_mask,global_only,auc_mild,2,0.022480931352870215
global_mask,global_only,auc_mild,3,-0.03412284223203532
global_mask,global_only,auc_mild,4,-0.03613006824568443
global_mask,global_only,auc_severe,0,0.05196697425934926
global_mask,global_only,auc_severe,1,-0.1053909664885867
global_mask,global_only,auc_severe,2,-0.046190476190476115
global_mask,global_only,auc_severe,3,-0.0023809523809524835
global_mask,global_only,auc_severe,4,0.02476190476190465
global_mask,global_only,recall_normal,0,-0.17391304347826086
global_mask,global_only,recall_normal,1,0.4347826086956522
global_mask,global_only,recall_normal,2,0.30434782608695654
global_mask,global_only,recall_normal,3,-0.39130434782608703
global_mask,global_only,recall_normal,4,0.21739130434782616
global_mask,global_only,recall_mild,0,0.125
global_mask,global_only,recall_mild,1,0.041666666666666685
global_mask,global_only,recall_mild,2,-0.14893617021276595
global_mask,global_only,recall_mild,3,0.19148936170212766
global_mask,global_only,recall_mild,4,-0.3404255319148936
global_mask,global_only,recall_severe,0,0.03448275862068967
global_mask,global_only,recall_severe,1,-0.4137931034482758
global_mask,global_only,recall_severe,2,-0.13333333333333341
global_mask,global_only,recall_severe,3,-0.06666666666666665
global_mask,global_only,recall_severe,4,0.09999999999999998
global_mask,global_only,severe_vs_rest_auc,0,0.05196697425934926
global_mask,global_only,severe_vs_rest_auc,1,-0.1053909664885867
global_mask,global_only,severe_vs_rest_auc,2,-0.046190476190476115
global_mask,global_only,severe_vs_rest_auc,3,-0.0023809523809524835
global_mask,global_only,severe_vs_rest_auc,4,0.02476190476190465
global_mask,global_only,normal_vs_abnormal_auc,0,0.06888763410502541
global_mask,global_only,normal_vs_abnormal_auc,1,-0.013551665725578754
global_mask,global_only,normal_vs_abnormal_auc,2,-0.031620553359683834
global_mask,global_only,normal_vs_abnormal_auc,3,-0.020892151326934005
global_mask,global_only,normal_vs_abnormal_auc,4,0.024844720496894346
global_raw,global_mask,macro_auc,0,-0.024815237520724565
global_raw,global_mask,macro_auc,1,0.033496933823508934
global_raw,global_mask,macro_auc,2,0.00901812986378292
global_raw,global_mask,macro_auc,3,0.022853706431804954
global_raw,global_mask,macro_auc,4,0.04073584913216288
global_raw,global_mask,accuracy,0,0.010000000000000009
global_raw,global_mask,accuracy,1,0.020000000000000018
global_raw,global_mask,accuracy,2,-0.04999999999999999
global_raw,global_mask,accuracy,3,0.08000000000000002
global_raw,global_mask,accuracy,4,0.08000000000000007
global_raw,global_mask,balanced_accuracy,0,-0.07164126270198229
global_raw,global_mask,balanced_accuracy,1,-0.00565342328835583
global_raw,global_mask,balanced_accuracy,2,-0.07584541062801936
global_raw,global_mask,balanced_accuracy,3,0.08780964127865148
global_raw,global_mask,balanced_accuracy,4,-0.03672525439407959
global_raw,global_mask,macro_f1,0,-0.04581812543443037
global_raw,global_mask,macro_f1,1,0.03665692336981685
global_raw,global_mask,macro_f1,2,-0.04371562102905385
global_raw,global_mask,macro_f1,3,0.07944513688448418
global_raw,global_mask,macro_f1,4,0.0268444836530477
global_raw,global_mask,auc_normal,0,-0.03274985883681536
global_raw,global_mask,auc_normal,1,0.046301524562394114
global_raw,global_mask,auc_normal,2,0.024844720496894457
global_raw,global_mask,auc_normal,3,0.03670242800677592
global_raw,global_mask,auc_normal,4,-0.011293054771315592
global_raw,global_mask,auc_mild,0,0.008814102564102533
global_raw,global_mask,auc_mild,1,-0.0036057692307692735
global_raw,global_mask,auc_mild,2,0.026495383380168658
global_raw,global_mask,auc_mild,3,0.0718586912886392
global_raw,global_mask,auc_mild,4,0.08350060216780397
global_raw,global_mask,auc_severe,0,-0.05050995628946087
global_raw,global_mask,auc_severe,1,0.057795046138902406
global_raw,global_mask,auc_severe,2,-0.024285714285714244
global_raw,global_mask,auc_severe,3,-0.040000000000000036
global_raw,global_mask,auc_severe,4,0.050000000000000044
global_raw,global_mask,recall_normal,0,-0.34782608695652173
global_raw,global_mask,recall_normal,1,-0.21739130434782616
