target,coefficient_name,fold_valid_n,mean,std,min,max,median,positive_fold_n,negative_fold_n,zero_fold_n,sign_consistent_fold_n
cheek_mean_log2_bg,camera_xiaomi,5,0.042102378747942523,0.0055762023966935007,0.0345807779547294,0.048554965075426497,0.041228728677060497,5,0,0,5
cheek_mean_log2_bg,camera_xiaomi_x_z_exposure,5,0.0246330232600314,0.011934264102936723,0.0115642963433518,0.043316972154407898,0.019676928980509399,5,0,0,5
cheek_mean_log2_bg,camera_xiaomi_x_z_iso,5,0.039007808183538141,0.015953936300293237,0.012987835946674299,0.059647342333547002,0.043231823789330499,5,0,0,5
cheek_mean_log2_bg,device_intercept_difference,5,0.042102378747942523,0.0055762023966935007,0.0345807779547294,0.048554965075426497,0.041228728677060497,5,0,0,5
cheek_mean_log2_bg,honor_exposure_slope,5,-0.028362578322677738,0.0017068568891906958,-0.031263139136056599,-0.0263115273901369,-0.028057621741441802,0,5,0,5
cheek_mean_log2_bg,honor_iso_slope,5,-0.027756252543881262,0.0041516589221720175,-0.0334767571440098,-0.022925391456032802,-0.0272053875689857,0,5,0,5
cheek_mean_log2_bg,intercept,5,-0.6060765741144184,0.0035415956476233749,-0.60961099505405436,-0.59996545644191301,-0.60691477742754585,0,5,0,5
cheek_mean_log2_bg,xiaomi_exposure_slope,5,-0.0037295550626463203,0.011653994452481218,-0.014747231046785001,0.015259350412966,-0.011586210155547101,2,3,0,3
cheek_mean_log2_bg,xiaomi_iso_slope,5,0.01125155563965682,0.01255734985815498,-0.0099375555093585005,0.028203075162548601,0.014801216258228,4,1,0,4
cheek_mean_log2_bg,z_log2_iso_condition,5,-0.027756252543881262,0.0041516589221720175,-0.0334767571440098,-0.022925391456032802,-0.0272053875689857,0,5,0,5
cheek_mean_log2_bg,z_relative_optical_exposure,5,-0.028362578322677738,0.0017068568891906958,-0.031263139136056599,-0.0263115273901369,-0.028057621741441802,0,5,0,5
cheek_mean_log2_rg,camera_xiaomi,5,0.11267884294094817,0.0067705358606033406,0.104156031364594,0.12355516594341651,0.1117553040626046,5,0,0,5
cheek_mean_log2_rg,camera_xiaomi_x_z_exposure,5,-0.011788464590285281,0.014204376524500012,-0.034765088185026202,0.0065478745311994997,-0.0128722708275188,1,4,0,4
cheek_mean_log2_rg,camera_xiaomi_x_z_iso,5,-0.014087237069847301,0.01025101676821261,-0.0305528106912667,0.0011343277614636999,-0.012349548304668801,1,4,0,4
cheek_mean_log2_rg,device_intercept_difference,5,0.11267884294094817,0.0067705358606033406,0.104156031364594,0.12355516594341651,0.1117553040626046,5,0,0,5
cheek_mean_log2_rg,honor_exposure_slope,5,0.0021618198513598001,0.0029034347928499869,-0.00047250495185409999,0.0071571761571842,0.00058514492833129997,3,2,0,3
cheek_mean_log2_rg,honor_iso_slope,5,-0.0024903935866492999,0.0025530057353771781,-0.0061538683643170998,0.0017691305342194001,-0.0028966089947969,1,4,0,4
cheek_mean_log2_rg,intercept,5,0.91595857753625487,0.0072134883236753874,0.90893588495591338,0.92904393398613283,0.91221575135595245,5,0,0,5
cheek_mean_log2_rg,xiaomi_exposure_slope,5,-0.0096266447389255182,0.014560974422429826,-0.0310637498620818,0.0071330194595309003,-0.013344775779373,2,3,0,3
cheek_mean_log2_rg,xiaomi_iso_slope,5,-0.0165776306564966,0.0095324799231517911,-0.028783680157047301,-0.00080230381887069996,-0.015583537832686199,0,5,0,5
cheek_mean_log2_rg,z_log2_iso_condition,5,-0.0024903935866492999,0.0025530057353771781,-0.0061538683643170998,0.0017691305342194001,-0.0028966089947969,1,4,0,4
cheek_mean_log2_rg,z_relative_optical_exposure,5,0.0021618198513598001,0.0029034347928499869,-0.00047250495185409999,0.0071571761571842,0.00058514492833129997,3,2,0,3
cheek_mean_log2_y,camera_xiaomi,5,-0.55301676638200725,0.028750349999553237,-0.57393622662309562,-0.49746127801937601,-0.56735663259980507,0,5,0,5
cheek_mean_log2_y,camera_xiaomi_x_z_exposure,5,-0.031104469450694384,0.034017414565358187,-0.061417394834696298,0.033892573295033201,-0.045131657292911402,1,4,0,4
cheek_mean_log2_y,camera_xiaomi_x_z_iso,5,-0.16599168168612172,0.042798013704759087,-0.24138145371209219,-0.12457892845667699,-0.16374367660019301,0,5,0,5
cheek_mean_log2_y,device_intercept_difference,5,-0.55301676638200725,0.028750349999553237,-0.57393622662309562,-0.49746127801937601,-0.56735663259980507,0,5,0,5
cheek_mean_log2_y,honor_exposure_slope,5,0.017281934427881777,0.010773031443806019,-0.0041622202465283996,0.024573717664711101,0.0221614778009297,4,1,0,4
cheek_mean_log2_y,honor_iso_slope,5,0.081736684946427177,0.0087455748786043463,0.071510205229598403,0.091475334741014006,0.082493402464474397,5,0,0,5
cheek_mean_log2_y,intercept,5,-1.7125882203355709,0.011463992214003425,-1.7326876822164738,-1.6977605845480992,-1.7116383318311821,0,5,0,5
