fold,split_role,target,valid_n,representation,scope,camera_id,condition,spearman_rho
0,train,cheek_mean_log2_y,400,raw,overall,ALL,relative_optical_exposure,-0.42969060664831649
0,train,cheek_mean_log2_y,400,raw,overall,ALL,log2_iso_condition,0.2766330783116358
0,train,cheek_mean_log2_y,221,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.18695093184285999
0,train,cheek_mean_log2_y,221,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.33164308403512449
0,train,cheek_mean_log2_y,179,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.1550633524037788
0,train,cheek_mean_log2_y,179,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.2957105344456849
0,train,cheek_mean_log2_y,400,residual,overall,ALL,relative_optical_exposure,-0.022981698248683301
0,train,cheek_mean_log2_y,400,residual,overall,ALL,log2_iso_condition,-0.0119490380820279
0,train,cheek_mean_log2_y,221,residual,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.051244483342887302
0,train,cheek_mean_log2_y,221,residual,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.039525609683043798
0,train,cheek_mean_log2_y,179,residual,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.0018580427987922
0,train,cheek_mean_log2_y,179,residual,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.042988816024019799
0,train,cheek_mean_log2_y,400,calibrated,overall,ALL,relative_optical_exposure,-0.022981698248683301
0,train,cheek_mean_log2_y,400,calibrated,overall,ALL,log2_iso_condition,-0.0119490380820279
0,train,cheek_mean_log2_y,221,calibrated,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.051244483342887302
0,train,cheek_mean_log2_y,221,calibrated,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.039525609683043798
0,train,cheek_mean_log2_y,179,calibrated,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.0018580427987922
0,train,cheek_mean_log2_y,179,calibrated,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.042988816024019799
0,train,cheek_mean_log2_rg,400,raw,overall,ALL,relative_optical_exposure,0.1799729479338967
0,train,cheek_mean_log2_rg,400,raw,overall,ALL,log2_iso_condition,-0.19478037510341581
0,train,cheek_mean_log2_rg,221,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.016168935964290899
0,train,cheek_mean_log2_rg,221,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.026673107080279
0,train,cheek_mean_log2_rg,179,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.20456473760816579
0,train,cheek_mean_log2_rg,179,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.14129500022652661
0,train,cheek_mean_log2_rg,400,residual,overall,ALL,relative_optical_exposure,-0.0286671158898632
0,train,cheek_mean_log2_rg,400,residual,overall,ALL,log2_iso_condition,-0.0180214323701837
0,train,cheek_mean_log2_rg,221,residual,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.039408287979048898
0,train,cheek_mean_log2_rg,221,residual,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0318853183863059
0,train,cheek_mean_log2_rg,179,residual,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0330881076837942
0,train,cheek_mean_log2_rg,179,residual,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.00028247700964909999
