fold,split_role,target,valid_n,raw_variance,calibrated_variance,variance_retention
0,train,cheek_mean_log2_y,400,0.20967258762558241,0.114736485695162,0.54721738780679241
0,train,cheek_mean_log2_rg,400,0.022697915367875,0.018828247426653299,0.82951439026429152
0,train,cheek_mean_log2_bg,400,0.0187120460953519,0.017299363176819401,0.92450409157107583
0,train,forehead_minus_cheek_log2_y,390,0.1131138131876127,0.11063090996184261,0.97804951353154457
0,train,forehead_minus_cheek_log2_rg,390,0.013522098863114101,0.012203027117459801,0.9024506654619654
0,train,forehead_minus_cheek_log2_bg,390,0.0141743356909494,0.0127433063880198,0.89904082038615252
0,val,cheek_mean_log2_y,100,0.17505829617406241,0.1297058082218738,0.74092922790077842
0,val,cheek_mean_log2_rg,100,0.018237576177829899,0.016947893620409899,0.92928432238776582
0,val,cheek_mean_log2_bg,100,0.021975069539970901,0.020085978816656101,0.9140348238771796
0,val,forehead_minus_cheek_log2_y,96,0.078661761320994006,0.077639906190629507,0.98700950610303961
0,val,forehead_minus_cheek_log2_rg,96,0.0138200016655638,0.012753661185161601,0.9228407849574144
0,val,forehead_minus_cheek_log2_bg,96,0.011140454437761699,0.0098186318532920997,0.88134931192850463
1,train,cheek_mean_log2_y,400,0.21137484031449111,0.1185683405389162,0.56093875866449361
1,train,cheek_mean_log2_rg,400,0.0225186895237449,0.018432819042012601,0.81855647161776945
1,train,cheek_mean_log2_bg,400,0.019912450439781501,0.018329859859411698,0.92052256023658163
1,train,forehead_minus_cheek_log2_y,389,0.1043117561256359,0.1003978832928534,0.96247908214613398
1,train,forehead_minus_cheek_log2_rg,389,0.0135651555213404,0.012092248380173001,0.89141981167483164
1,train,forehead_minus_cheek_log2_bg,389,0.013199432390705401,0.011802517840990999,0.89416858934797638
1,val,cheek_mean_log2_y,100,0.1680404855954061,0.10895540920839,0.64838785023939871
1,val,cheek_mean_log2_rg,100,0.019419641784731899,0.018565734865633898,0.95602869874925878
1,val,cheek_mean_log2_bg,100,0.017055467544973401,0.0154440232622103,0.90551743723742395
1,val,forehead_minus_cheek_log2_y,97,0.12272743543554469,0.1249926107027039,1.0184569591886308
1,val,forehead_minus_cheek_log2_rg,97,0.0136668007789913,0.012924461623374101,0.94568303382615559
1,val,forehead_minus_cheek_log2_bg,97,0.0152197829601293,0.0136072263020828,0.89404864298848008
2,train,cheek_mean_log2_y,400,0.2089037461908366,0.1233201782312067,0.59032056858641435
2,train,cheek_mean_log2_rg,400,0.0210858519380011,0.017772424775294601,0.84286017124425616
2,train,cheek_mean_log2_bg,400,0.019817145187967001,0.017804230722355801,0.8984256084053226
2,train,forehead_minus_cheek_log2_y,389,0.1171623735883973,0.11313221112708,0.9656019049641682
2,train,forehead_minus_cheek_log2_rg,389,0.0141039038527997,0.0128609776321529,0.9118736036760422
2,train,forehead_minus_cheek_log2_bg,389,0.013375954842026401,0.0117319134866833,0.8770897947279519
