fold,split_role,target,valid_n,representation,scope,camera_id,condition,spearman_rho
0,train,cheek_mean_log2_y,400,raw,overall,ALL,relative_optical_exposure,-0.42969060664831649
0,train,cheek_mean_log2_y,400,raw,overall,ALL,log2_iso_condition,0.2766330783116358
0,train,cheek_mean_log2_y,221,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.18695093184285999
0,train,cheek_mean_log2_y,221,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.33164308403512449
0,train,cheek_mean_log2_y,179,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.1550633524037788
0,train,cheek_mean_log2_y,179,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.2957105344456849
0,train,cheek_mean_log2_y,400,residual_nn,overall,ALL,relative_optical_exposure,-0.012948350560852501
0,train,cheek_mean_log2_y,400,residual_nn,overall,ALL,log2_iso_condition,-0.038521651560358798
0,train,cheek_mean_log2_y,221,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.045043086557339899
0,train,cheek_mean_log2_y,221,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0140179139242732
0,train,cheek_mean_log2_y,179,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.041276630243736803
0,train,cheek_mean_log2_y,179,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.056631409378929
0,train,cheek_mean_log2_y,400,calibrated_nn,overall,ALL,relative_optical_exposure,-0.012948350560852501
0,train,cheek_mean_log2_y,400,calibrated_nn,overall,ALL,log2_iso_condition,-0.038521651560358798
0,train,cheek_mean_log2_y,221,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.045043086557339899
0,train,cheek_mean_log2_y,221,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0140179139242732
0,train,cheek_mean_log2_y,179,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.041276630243736803
0,train,cheek_mean_log2_y,179,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.056631409378929
0,train,cheek_mean_log2_rg,400,raw,overall,ALL,relative_optical_exposure,0.1799729479338967
0,train,cheek_mean_log2_rg,400,raw,overall,ALL,log2_iso_condition,-0.19478037510341581
0,train,cheek_mean_log2_rg,221,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.016168935964290899
0,train,cheek_mean_log2_rg,221,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.026673107080279
0,train,cheek_mean_log2_rg,179,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.20456473760816579
0,train,cheek_mean_log2_rg,179,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.14129500022652661
0,train,cheek_mean_log2_rg,400,residual_nn,overall,ALL,relative_optical_exposure,-0.054801177721265498
0,train,cheek_mean_log2_rg,400,residual_nn,overall,ALL,log2_iso_condition,-0.041441111592792998
0,train,cheek_mean_log2_rg,221,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.089226567734823695
0,train,cheek_mean_log2_rg,221,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.0111063419464615
0,train,cheek_mean_log2_rg,179,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.018622321701240899
