target,metric_family,metric_name,condition,better_direction,fold_valid_n,stage2b_better_fold_n,stage2a_better_fold_n,tie_fold_n,mean_delta_b_minus_a,std_delta_b_minus_a,median_delta_b_minus_a,min_delta_b_minus_a,max_delta_b_minus_a
cheek_mean_log2_bg,camera_difference,absolute_mean_difference,,lower,5,2,3,0,0.00096763332105243016,0.0051396542793638181,0.0021866443732113661,-0.0068585114276522585,0.0081942895287703266
cheek_mean_log2_bg,camera_difference,absolute_median_difference,,lower,5,2,3,0,-0.0037216627111421817,0.01029386007025891,0.00042398260081133454,-0.016294623919338336,0.0080883203738078002
cheek_mean_log2_bg,camera_difference,absolute_standardized_mean_difference,,lower,5,2,3,0,0.0091742626137895182,0.034395583791148335,0.02213964491351561,-0.04500966226564948,0.053942980070588203
cheek_mean_log2_bg,conditional_prediction,mae,,lower,5,4,1,0,-0.0016317772120334195,0.0023725779395508159,-0.0020107752660277201,-0.0049258139618320734,0.0022885153482634646
cheek_mean_log2_bg,conditional_prediction,r2,,higher,5,4,1,0,0.021608113566717012,0.032622483305425901,0.026151279671390526,-0.038742430923463078,0.058206513172775032
cheek_mean_log2_bg,conditional_prediction,rmse,,lower,5,4,1,0,-0.0014919822691700085,0.00234139308335389,-0.0018283642088675056,-0.0038501160848074811,0.0028874833769382824
cheek_mean_log2_bg,residual_exif,absolute_spearman,log2_iso_condition,lower,5,4,1,0,-0.020095602247866634,0.03242666045268356,-0.028357715503909309,-0.059928437209397119,0.034799104019576671
cheek_mean_log2_bg,residual_exif,absolute_spearman,relative_optical_exposure,lower,5,3,2,0,-0.0056871816048943173,0.018712154128611706,-0.0028840865498234169,-0.035657415143170168,0.018538221606723471
cheek_mean_log2_bg,variance,variance_retention,,neutral,5,0,0,0,-0.021860690882640154,0.032391727228091027,-0.025735165283046868,-0.057584649187669479,0.038363343904709524
cheek_mean_log2_rg,camera_difference,absolute_mean_difference,,lower,5,2,3,0,0.0010155747350264698,0.0056550490607126377,0.0016763611349750462,-0.0072450746253104326,0.0092854982495943483
cheek_mean_log2_rg,camera_difference,absolute_median_difference,,lower,5,4,1,0,-0.0030834882970138589,0.011753607512596022,-0.0079927300383393352,-0.012710814255963432,0.019510070873856922
cheek_mean_log2_rg,camera_difference,absolute_standardized_mean_difference,,lower,5,2,3,0,0.0089477113888156261,0.044052247623382106,0.013660725573242723,-0.056773532306491084,0.071411845535137519
cheek_mean_log2_rg,conditional_prediction,mae,,lower,5,4,1,0,-0.0020559192979307667,0.0021965218561103661,-0.0019144174352124371,-0.006089671564354332,4.4355119247080355e-05
cheek_mean_log2_rg,conditional_prediction,r2,,higher,5,4,1,0,0.020950224107184036,0.023305008015038483,0.025337946033217706,-0.019780387919991149,0.05236517286244724
cheek_mean_log2_rg,conditional_prediction,rmse,,lower,5,4,1,0,-0.0016880701132695019,0.0017948812468423308,-0.0021300364992863918,-0.0041865787938041854,0.0013713186434874125
cheek_mean_log2_rg,residual_exif,absolute_spearman,log2_iso_condition,lower,5,4,1,0,-0.020884897399206109,0.017210978793209406,-0.026007097152832684,-0.038672613448067605,0.0029123539124806808
cheek_mean_log2_rg,residual_exif,absolute_spearman,relative_optical_exposure,lower,5,3,2,0,0.00040562595693183418,0.018977526250684034,-0.0021064740110263262,-0.027127585540449639,0.029339800302211949
cheek_mean_log2_rg,variance,variance_retention,,neutral,5,0,0,0,-0.014294074250565947,0.023128431109893561,-0.012028754180537504,-0.051799262220981745,0.020802731544208086
cheek_mean_log2_y,camera_difference,absolute_mean_difference,,lower,5,4,1,0,-0.011287135142112348,0.018569232282950765,-0.0060854336950026955,-0.04021238494183077,0.014714288476425086
cheek_mean_log2_y,camera_difference,absolute_median_difference,,lower,5,1,4,0,0.024442302609903831,0.026345249407334598,0.032085753595147315,-0.02192870088373633,0.05734644762511576
cheek_mean_log2_y,camera_difference,absolute_standardized_mean_difference,,lower,5,4,1,0,-0.026196001677931319,0.049781784279076896,-0.020028569104683772,-0.10941941878191432,0.042992179250382512
