scope,camera_id,observation_name,condition_name,valid_n,spearman_rho
overall,ALL,forehead_log2_y_median,relative_optical_exposure,486,-0.37680950785039802
overall,ALL,forehead_log2_y_median,log2_iso_condition,486,0.13757891447398607
overall,ALL,forehead_log2_rg_median,relative_optical_exposure,486,0.084019457159373243
overall,ALL,forehead_log2_rg_median,log2_iso_condition,486,-0.03327589854402823
overall,ALL,forehead_log2_bg_median,relative_optical_exposure,486,-0.13354305610736456
overall,ALL,forehead_log2_bg_median,log2_iso_condition,486,-0.093235714944543996
overall,ALL,cheek_image_left_log2_y_median,relative_optical_exposure,500,-0.16627931515318581
overall,ALL,cheek_image_left_log2_y_median,log2_iso_condition,500,0.097698481611475763
overall,ALL,cheek_image_left_log2_rg_median,relative_optical_exposure,500,0.047235325765644529
overall,ALL,cheek_image_left_log2_rg_median,log2_iso_condition,500,-0.09181689159002801
overall,ALL,cheek_image_left_log2_bg_median,relative_optical_exposure,500,0.033798360745745847
overall,ALL,cheek_image_left_log2_bg_median,log2_iso_condition,500,-0.22517870813283331
overall,ALL,cheek_image_right_log2_y_median,relative_optical_exposure,500,-0.36472889576146955
overall,ALL,cheek_image_right_log2_y_median,log2_iso_condition,500,0.17229821026110995
overall,ALL,cheek_image_right_log2_rg_median,relative_optical_exposure,500,0.2430242757200746
overall,ALL,cheek_image_right_log2_rg_median,log2_iso_condition,500,-0.14903512585200007
overall,ALL,cheek_image_right_log2_bg_median,relative_optical_exposure,500,-0.046163257084914013
overall,ALL,cheek_image_right_log2_bg_median,log2_iso_condition,500,-0.13098218049644364
overall,ALL,cheek_mean_log2_y,relative_optical_exposure,500,-0.43117363565023625
overall,ALL,cheek_mean_log2_y,log2_iso_condition,500,0.28661106883364862
overall,ALL,cheek_mean_log2_rg,relative_optical_exposure,500,0.18482873901685865
overall,ALL,cheek_mean_log2_rg,log2_iso_condition,500,-0.19765687413635957
overall,ALL,cheek_mean_log2_bg,relative_optical_exposure,500,0.010649773223197304
overall,ALL,cheek_mean_log2_bg,log2_iso_condition,500,-0.22153222268994174
overall,ALL,forehead_minus_cheek_log2_y,relative_optical_exposure,486,0.045605953858081992
overall,ALL,forehead_minus_cheek_log2_y,log2_iso_condition,486,-0.17938629602649864
overall,ALL,forehead_minus_cheek_log2_rg,relative_optical_exposure,486,-0.14641262957183607
overall,ALL,forehead_minus_cheek_log2_rg,log2_iso_condition,486,0.2129156268811149
overall,ALL,forehead_minus_cheek_log2_bg,relative_optical_exposure,486,-0.17698208196269336
overall,ALL,forehead_minus_cheek_log2_bg,log2_iso_condition,486,0.10449062188607362
camera_id,HONOR/BVL-AN00,forehead_log2_y_median,relative_optical_exposure,263,0.039384025318740523
camera_id,HONOR/BVL-AN00,forehead_log2_y_median,log2_iso_condition,263,0.10032968334557094
camera_id,HONOR/BVL-AN00,forehead_log2_rg_median,relative_optical_exposure,263,0.056522904169064907
camera_id,HONOR/BVL-AN00,forehead_log2_rg_median,log2_iso_condition,263,0.15024473409342029
camera_id,HONOR/BVL-AN00,forehead_log2_bg_median,relative_optical_exposure,263,-0.25551383555751428
camera_id,HONOR/BVL-AN00,forehead_log2_bg_median,log2_iso_condition,263,-0.27602755741665058
camera_id,HONOR/BVL-AN00,cheek_image_left_log2_y_median,relative_optical_exposure,267,0.18455926323563815
camera_id,HONOR/BVL-AN00,cheek_image_left_log2_y_median,log2_iso_condition,267,0.15406782387412069
camera_id,HONOR/BVL-AN00,cheek_image_left_log2_rg_median,relative_optical_exposure,267,-0.079196205541030726
camera_id,HONOR/BVL-AN00,cheek_image_left_log2_rg_median,log2_iso_condition,267,0.036904140762417034
camera_id,HONOR/BVL-AN00,cheek_image_left_log2_bg_median,relative_optical_exposure,267,-0.15752697095476056
camera_id,HONOR/BVL-AN00,cheek_image_left_log2_bg_median,log2_iso_condition,267,-0.26442335140309448
camera_id,HONOR/BVL-AN00,cheek_image_right_log2_y_median,relative_optical_exposure,267,-0.042468141572491021
camera_id,HONOR/BVL-AN00,cheek_image_right_log2_y_median,log2_iso_condition,267,0.16028351270875965
camera_id,HONOR/BVL-AN00,cheek_image_right_log2_rg_median,relative_optical_exposure,267,0.12430014078460924
camera_id,HONOR/BVL-AN00,cheek_image_right_log2_rg_median,log2_iso_condition,267,0.063795303499902728
