ID,camera_id,roi_name,available_for_model,valid_skin_pixel_count,valid_skin_fraction,qc_flags,automatic_exclusion_applied
101737098,Xiaomi/M2006J10C,forehead,1,4945,0.72784810126582278,r_exact_255_present,0
101737098,Xiaomi/M2006J10C,cheek_image_right,1,1971,0.9776785714285714,r_exact_255_present,0
200378127,Xiaomi/M2006J10C,forehead,0,761,0.1640086206896551,forehead_fraction_below_0.20,0
200563014,Xiaomi/M2006J10C,cheek_image_left,1,1801,0.99833702882483355,r_exact_255_present,0
200732328,HONOR/BVL-AN00,cheek_image_right,1,1675,0.9378499440089586,r_exact_255_present,0
201223046,HONOR/BVL-AN00,forehead,1,3026,0.65925925925925921,r_exact_255_present,0
201223046,HONOR/BVL-AN00,cheek_image_left,1,2016,1,r_exact_255_present,0
201331515,HONOR/BVL-AN00,forehead,1,6872,0.84714003944773175,r_exact_255_present,0
201331515,HONOR/BVL-AN00,cheek_image_right,1,2070,1,r_exact_255_present,0
201380940,Xiaomi/M2006J10C,forehead,1,2485,0.45091634911994188,r_exact_255_present,0
201380940,Xiaomi/M2006J10C,cheek_image_right,1,1769,0.83640661938534278,r_exact_255_present,0
201770004,HONOR/BVL-AN00,cheek_image_right,1,1736,0.96230598669623058,r_exact_255_present,0
202201880,HONOR/BVL-AN00,forehead,1,4925,0.65903920781479997,b_exact_zero_present,0
203036405,Xiaomi/M2006J10C,cheek_image_right,1,1546,0.99485199485199483,r_exact_255_present,0
203550372,Xiaomi/M2006J10C,cheek_image_left,1,2192,0.96649029982363321,r_exact_255_present,0
203582980,Xiaomi/M2006J10C,forehead,0,464,0.096566077003121698,forehead_fraction_below_0.20,0
203582980,Xiaomi/M2006J10C,cheek_image_right,1,2060,0.97769340294257245,r_exact_255_present,0
203874889,Xiaomi/M2006J10C,forehead,0,197,0.047688211086903798,forehead_fraction_below_0.20,0
204228087,Xiaomi/M2006J10C,cheek_image_left,1,2020,0.99950519544779803,r_exact_255_present,0
204364833,Xiaomi/M2006J10C,cheek_image_left,1,1463,0.83361823361823362,r_exact_255_present;g_exact_255_present,0
204378187,HONOR/BVL-AN00,forehead,0,152,0.033815350389321402,forehead_fraction_below_0.20,0
204586681,HONOR/BVL-AN00,cheek_image_left,1,1335,0.79844497607655507,r_exact_255_present,0
204864836,HONOR/BVL-AN00,forehead,1,3834,0.63857428381079284,r_exact_255_present,0
204864836,HONOR/BVL-AN00,cheek_image_left,1,1551,0.90384615384615397,r_exact_255_present,0
204917772,Xiaomi/M2006J10C,forehead,1,3277,0.48998205741626788,r_exact_255_present,0
204917772,Xiaomi/M2006J10C,cheek_image_left,1,1760,0.98544232922732355,r_exact_255_present,0
205075256,HONOR/BVL-AN00,forehead,1,4900,0.74242424242424243,r_exact_255_present,0
205075256-1,HONOR/BVL-AN00,forehead,1,4210,0.71114864864864868,r_exact_255_present,0
205166769,Xiaomi/M2006J10C,forehead,1,4931,0.68126554296767061,r_exact_255_present,0
205166769,Xiaomi/M2006J10C,cheek_image_left,1,1751,0.89336734693877551,r_exact_255_present,0
205192459,Xiaomi/M2006J10C,forehead,1,4699,0.64831677704194257,r_exact_255_present,0
205192459,Xiaomi/M2006J10C,cheek_image_right,1,1555,0.88958810068649885,r_exact_255_present,0
205637707,Xiaomi/M2006J10C,cheek_image_left,1,1927,1,r_exact_255_present,0
206342969,Xiaomi/M2006J10C,cheek_image_left,1,1537,0.81495227995758224,r_exact_255_present,0
9300073600,HONOR/BVL-AN00,cheek_image_right,1,1950,1,r_exact_255_present,0
9300162628,Xiaomi/M2006J10C,cheek_image_left,1,2016,1,r_exact_255_present,0
9300198023,HONOR/BVL-AN00,forehead,1,4631,0.60822169687417915,r_exact_255_present,0
9300198023,HONOR/BVL-AN00,cheek_image_right,1,1830,0.96825396825396837,r_exact_255_present,0
9300305987,Xiaomi/M2006J10C,cheek_image_left,1,1644,0.91333333333333322,r_exact_255_present,0
9300518956,HONOR/BVL-AN00,forehead,0,806,0.18528735632183899,forehead_fraction_below_0.20,0
9300518956,HONOR/BVL-AN00,cheek_image_left,1,1702,0.98838559814169558,r_exact_255_present,0
9300531405,HONOR/BVL-AN00,forehead,1,5313,0.66279940119760483,r_exact_255_present,0
9300531405,HONOR/BVL-AN00,cheek_image_left,1,1998,0.9910714285714286,r_exact_255_present,0
9300574781,HONOR/BVL-AN00,cheek_image_left,1,1841,0.94410256410256399,r_exact_255_present,0
9300800427,HONOR/BVL-AN00,cheek_image_right,1,1912,0.98964803312629401,r_exact_255_present,0
9300858338,Xiaomi/M2006J10C,forehead,1,2450,0.46693348580141031,r_exact_255_present,0
9300858338,Xiaomi/M2006J10C,cheek_image_left,1,2187,0.99409090909090925,r_exact_255_present,0
9300907970,Xiaomi/M2006J10C,forehead,1,5186,0.74447315532586855,r_exact_255_present,0
9300907970,Xiaomi/M2006J10C,cheek_image_left,1,1861,0.98465608465608478,r_exact_255_present,0
9300980658,Xiaomi/M2006J10C,forehead,1,2296,0.50428289040193275,r_exact_255_present,0
9301133685,Xiaomi/M2006J10C,forehead,0,160,0.036630036630036597,forehead_fraction_below_0.20,0
A000119489,HONOR/BVL-AN00,cheek_image_right,1,2087,0.93755615453728658,r_exact_255_present,0
A000181243-1,HONOR/BVL-AN00,cheek_image_right,1,1882,0.97110423116615063,r_exact_255_present,0
A000454833,Xiaomi/M2006J10C,cheek_image_left,1,1627,0.90691192865105918,g_exact_zero_present;b_exact_zero_present,0
A000502944,Xiaomi/M2006J10C,cheek_image_left,1,1870,0.93500000000000005,r_exact_255_present,0
A001109618,Xiaomi/M2006J10C,cheek_image_left,1,1519,0.81143162393162394,r_exact_255_present,0
A001189410,Xiaomi/M2006J10C,cheek_image_left,1,1672,0.97777777777777763,r_exact_255_present,0
