variant,metric,fold_mean,fold_std_ddof1,fold_median,fold_min,fold_max,fold_count
o_mask,accuracy,0.33600000000000002,0.070213958726167841,0.31,0.28999999999999998,0.46000000000000002,5
o_mask,balanced_accuracy,0.3463418645287285,0.022046820336466825,0.3336416897934012,0.32560386473429953,0.3768115942028985,5
o_mask,macro_precision,0.24933289076330309,0.09946152225988282,0.26575028636884307,0.10101010101010101,0.35069444444444442,5
o_mask,macro_recall,0.3463418645287285,0.022046820336466825,0.3336416897934012,0.32560386473429953,0.3768115942028985,5
o_mask,macro_f1,0.19901954341276809,0.034528259465480854,0.20472120472120472,0.15503875968992248,0.23397435897435895,5
o_mask,macro_auc,0.51276404265339637,0.015629821524662385,0.50611268513193697,0.49667035092567008,0.53510746202494519,5
o_mask,auc_normal,0.52134387351778655,0.02614348277314215,0.5087521174477696,0.4935064935064935,0.55872388481084134,5
o_mask,auc_mild,0.50661290903663447,0.017699574270748867,0.50881410256410253,0.48815736651947012,0.52830188679245282,5
o_mask,auc_severe,0.51033534540576786,0.021805284152181238,0.52112676056338025,0.47380952380952379,0.528169014084507,5
o_mask,severe_vs_rest_auc,0.51033534540576786,0.021805284152181238,0.52112676056338025,0.47380952380952379,0.528169014084507,5
o_mask,normal_vs_abnormal_auc,0.52134387351778655,0.02614348277314215,0.5087521174477696,0.4935064935064935,0.55872388481084134,5
o_mask,recall_normal,0.060869565217391307,0.049572844569527728,0.043478260869565216,0,0.13043478260869565,5
o_mask,recall_mild,0.19148936170212766,0.4281832297340023,0,0,0.95744680851063835,5
o_mask,recall_severe,0.78666666666666674,0.44070650349435758,1,0,1,5
o_raw,accuracy,0.44400000000000006,0.066181568431097196,0.45000000000000001,0.34999999999999998,0.51000000000000001,5
o_raw,balanced_accuracy,0.47044751560390008,0.0694498674216531,0.49809846849624823,0.36516599856100318,0.53624229551890723,5
o_raw,macro_precision,0.44336597631482971,0.070010646427246151,0.47319317798041199,0.34387440426128402,0.51038868483087552,5
o_raw,macro_recall,0.47044751560390008,0.0694498674216531,0.49809846849624823,0.36516599856100318,0.53624229551890723,5
o_raw,macro_f1,0.43968091935821951,0.063723897307816788,0.44695942893286339,0.35125156263627644,0.50315181894129257,5
o_raw,macro_auc,0.66260866804361196,0.0382557492825885,0.67815883614288308,0.59954104882350923,0.69358050534638738,5
o_raw,auc_normal,0.7901750423489553,0.033720218150394464,0.77865612648221338,0.74760022586109542,0.83286278938452851,5
o_raw,auc_mild,0.62630347455969682,0.085748165327098391,0.66439181051786422,0.49578482537133678,0.69431089743589747,5
o_raw,auc_severe,0.57134748722218354,0.027003662192518405,0.57163671685284112,0.5357142857142857,0.60271976687712481,5
o_raw,severe_vs_rest_auc,0.57134748722218354,0.027003662192518405,0.57163671685284112,0.5357142857142857,0.60271976687712481,5
o_raw,normal_vs_abnormal_auc,0.7901750423489553,0.033720218150394464,0.77865612648221338,0.74760022586109542,0.83286278938452851,5
o_raw,recall_normal,0.66956521739130426,0.13610848558694372,0.69565217391304346,0.52173913043478259,0.86956521739130432,5
o_raw,recall_mild,0.39671985815602839,0.12008566943906142,0.375,0.27659574468085107,0.5957446808510638,5
