variant,class_index,class_name,auc,precision,recall,f1
o_mask,0,normal,0.50867306606437035,0.5,0.060869565217391307,0.10852713178294573
o_mask,1,mild,0.49564422197622365,0.46391752577319589,0.189873417721519,0.26946107784431139
o_mask,2,severe,0.50594095515970516,0.29820051413881749,0.78378378378378377,0.43202979515828677
o_raw,0,normal,0.78236024844720486,0.44252873563218392,0.66956521739130437,0.53287197231833905
o_raw,1,mild,0.61799104779323288,0.54651162790697672,0.39662447257383965,0.45965770171149145
o_raw,2,severe,0.57142582923832919,0.33116883116883117,0.34459459459459457,0.33774834437086093
o_stage2a,0,normal,0.49786561264822127,0.2391304347826087,0.28695652173913044,0.2608695652173913
o_stage2a,1,mild,0.52896632494264484,0.49519230769230771,0.43459915611814348,0.46292134831460674
o_stage2a,2,severe,0.53639434889434889,0.31168831168831168,0.32432432432432434,0.31788079470198677
o_stage2b,0,normal,0.56316205533596841,0.27536231884057971,0.33043478260869563,0.30039525691699603
o_stage2b,1,mild,0.54295615343889869,0.49537037037037035,0.45147679324894513,0.47240618101545256
o_stage2b,2,severe,0.54130835380835385,0.30821917808219179,0.30405405405405406,0.30612244897959184
