ID,camera_id,roi_name,valid_skin_pixel_count,valid_skin_fraction,bbox_area,selection_reason
A001632964,Xiaomi/M2006J10C,cheek_image_left,1212,0.6733333333333333,1800,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001638543,Xiaomi/M2006J10C,cheek_image_left,1316,0.6977730646871686,1886,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
206528283,Xiaomi/M2006J10C,cheek_image_left,1319,0.6993637327677624,1886,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
9300706043,Xiaomi/M2006J10C,cheek_image_left,1290,0.7037643207855974,1833,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001663062,Xiaomi/M2006J10C,cheek_image_left,1245,0.70578231292517,1764,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001878464-1,HONOR/BVL-AN00,cheek_image_left,1572,0.7517934002869441,2091,lowest_10_valid_skin_fraction
A001911401,HONOR/BVL-AN00,cheek_image_left,1668,0.7564625850340136,2205,lowest_10_valid_skin_fraction
A001718170,Xiaomi/M2006J10C,cheek_image_left,1332,0.7568181818181818,1760,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001614685,Xiaomi/M2006J10C,cheek_image_left,1547,0.7583333333333333,2040,lowest_10_valid_skin_fraction
202411756,HONOR/BVL-AN00,cheek_image_left,1552,0.7607843137254902,2040,lowest_10_valid_skin_fraction
A002145202-1,HONOR/BVL-AN00,cheek_image_left,1344,0.7832167832167832,1716,lowest_10_valid_skin_pixel_count
204586681,HONOR/BVL-AN00,cheek_image_left,1335,0.7984449760765551,1672,lowest_10_valid_skin_pixel_count
203036405,Xiaomi/M2006J10C,cheek_image_left,1326,0.8532818532818532,1554,lowest_10_valid_skin_pixel_count
A002236665,HONOR/BVL-AN00,cheek_image_left,1360,0.8994708994708994,1512,lowest_10_valid_skin_pixel_count
206248971,HONOR/BVL-AN00,cheek_image_right,1256,0.6659597030752916,1886,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
201223046,HONOR/BVL-AN00,cheek_image_right,1361,0.6750992063492064,2016,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001657263,Xiaomi/M2006J10C,cheek_image_right,1405,0.6807170542635659,2064,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001646267,Xiaomi/M2006J10C,cheek_image_right,1485,0.7576530612244898,1960,lowest_10_valid_skin_fraction
A001602118,Xiaomi/M2006J10C,cheek_image_right,1506,0.7652439024390244,1968,lowest_10_valid_skin_fraction
206409114,HONOR/BVL-AN00,cheek_image_right,1318,0.7680652680652681,1716,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001870250,HONOR/BVL-AN00,cheek_image_right,1382,0.770345596432553,1794,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001870548,HONOR/BVL-AN00,cheek_image_right,1564,0.7784967645594824,2009,lowest_10_valid_skin_fraction
A001638334,Xiaomi/M2006J10C,cheek_image_right,1345,0.7819767441860465,1720,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001093486,Xiaomi/M2006J10C,cheek_image_right,1465,0.7927489177489178,1848,lowest_10_valid_skin_fraction
A001189410,Xiaomi/M2006J10C,cheek_image_right,1403,0.8204678362573099,1710,lowest_10_valid_skin_pixel_count
9300122741,Xiaomi/M2006J10C,cheek_image_right,1399,0.8367224880382775,1672,lowest_10_valid_skin_pixel_count
201537151,HONOR/BVL-AN00,cheek_image_right,1438,0.837995337995338,1716,lowest_10_valid_skin_pixel_count
A002037682,HONOR/BVL-AN00,cheek_image_right,1431,0.8517857142857143,1680,lowest_10_valid_skin_pixel_count
A001669732,Xiaomi/M2006J10C,forehead,10,0.0023741690408357074,4212,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001667601,Xiaomi/M2006J10C,forehead,60,0.013818516812528788,4342,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A002021058-1,HONOR/BVL-AN00,forehead,65,0.014155052264808362,4592,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001818287,HONOR/BVL-AN00,forehead,136,0.03304178814382896,4116,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
204378187,HONOR/BVL-AN00,forehead,152,0.033815350389321465,4495,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
9301133685,Xiaomi/M2006J10C,forehead,160,0.03663003663003663,4368,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
203874889,Xiaomi/M2006J10C,forehead,197,0.047688211086903895,4131,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
203582980,Xiaomi/M2006J10C,forehead,464,0.09656607700312175,4805,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
A001623880,Xiaomi/M2006J10C,forehead,1181,0.1510230179028133,7820,lowest_10_valid_skin_fraction
A001250372,Xiaomi/M2006J10C,forehead,701,0.15202775970505314,4611,lowest_10_valid_skin_fraction;lowest_10_valid_skin_pixel_count
200378127,Xiaomi/M2006J10C,forehead,761,0.16400862068965516,4640,lowest_10_valid_skin_pixel_count
