scope_type,camera_id,roi_name,metric,valid_n,missing_n,empty_n,min,p1,p5,p10,p25,median,p75,p90,p95,p99,max,mean,std,iqr
overall,ALL,forehead,valid_skin_pixel_count,500,0,0,10.0,159.92000000000002,1690.9500000000003,2576.0,3488.5,4313.0,5017.75,5522.400000000001,5937.749999999999,6634.09,6872.0,4165.148,1244.1222779860352,1529.25
overall,ALL,forehead,valid_skin_fraction,500,0,0,0.0023741690408357074,0.03660188976762948,0.3415983118429911,0.4773118279569893,0.5841861865387652,0.6467058632354151,0.697125,0.7417435351889506,0.770636216508858,0.8134791220434262,0.8902308105206655,0.6180869149506918,0.13671193277413704,0.1129388134612348
overall,ALL,forehead,bbox_area,500,0,0,3726.0,4130.85,4591.9,4961.1,5981.0,6785.0,7411.0,7920.0,8066.399999999998,8415.0,8619.0,6623.964,1049.205966922631,1430.0
overall,ALL,cheek_image_left,valid_skin_pixel_count,500,0,0,1212.0,1325.93,1535.55,1598.8,1716.0,1832.0,1968.0,2069.1,2142.0,2237.18,2301.0,1831.61,188.40092280939297,252.0
overall,ALL,cheek_image_left,valid_skin_fraction,500,0,0,0.6733333333333333,0.7513332894133263,0.8315538817152878,0.8827302631578947,0.934460254369069,0.9728737357571476,0.995772013121109,1.0,1.0,1.0,1.0,0.9532383556151992,0.05753628115026665,0.06131175875203998
overall,ALL,cheek_image_left,bbox_area,500,0,0,1512.0,1638.0,1699.0,1720.0,1804.0,1905.5,2028.0,2120.0,2193.3499999999995,2310.0,2420.0,1920.954,154.27724011543418,224.0
overall,ALL,cheek_image_right,valid_skin_pixel_count,500,0,0,1256.0,1398.83,1503.7,1570.8,1683.5,1811.0,1927.0,2040.1,2091.25,2280.05,2419.0,1807.648,183.09076588704903,243.5
overall,ALL,cheek_image_right,valid_skin_fraction,500,0,0,0.6659597030752916,0.7680370544090056,0.8379560362118501,0.8674864024864025,0.9128604022839549,0.9529539661118609,0.9835046373200442,1.0,1.0,1.0,1.0,0.9408429331933462,0.054777259288266614,0.0706442350360893
overall,ALL,cheek_image_right,bbox_area,500,0,0,1512.0,1638.0,1699.0,1720.0,1804.0,1905.5,2028.0,2120.0,2193.3499999999995,2310.0,2420.0,1920.954,154.27724011543418,224.0
camera_id,HONOR/BVL-AN00,forehead,valid_skin_pixel_count,267,0,0,65.0,583.6400000000001,2407.7,3029.0,3739.0,4405.0,5031.5,5561.400000000001,6042.099999999999,6697.899999999998,6872.0,4307.868913857678,1135.8352370653681,1292.5
camera_id,HONOR/BVL-AN00,forehead,valid_skin_fraction,267,0,0,0.014155052264808362,0.1337868743047831,0.45681009624386776,0.5420099099099099,0.603246728968397,0.651010101010101,0.699263663712104,0.7448345633536103,0.7796720972794537,0.831731317115932,0.8902308105206655,0.6364548490844144,0.11363490132746983,0.09601693474370698
camera_id,HONOR/BVL-AN00,forehead,bbox_area,267,0,0,3726.0,4086.76,4645.8,5140.8,5993.0,6820.0,7426.0,7992.2,8177.3,8463.699999999997,8619.0,6675.932584269663,1043.4414733083922,1433.0
camera_id,HONOR/BVL-AN00,cheek_image_left,valid_skin_pixel_count,267,0,0,1335.0,1441.84,1557.1,1604.0,1725.5,1843.0,1981.5,2085.4,2146.5,2233.879999999999,2268.0,1846.123595505618,182.0631027652981,256.0
camera_id,HONOR/BVL-AN00,cheek_image_left,valid_skin_fraction,267,0,0,0.7517934002869441,0.7609035087719298,0.8382691960252936,0.890175983436853,0.9319034623912672,0.9699248120300752,0.9955714169181826,1.0,1.0,1.0,1.0,0.9534992914414299,0.052126979659645564,0.06366795452691543
camera_id,HONOR/BVL-AN00,cheek_image_left,bbox_area,267,0,0,1512.0,1638.0,1677.9,1720.0,1824.0,1932.0,2058.0,2136.0,2197.9,2290.1999999999994,2420.0,1936.116104868914,157.90697986007555,234.0
camera_id,HONOR/BVL-AN00,cheek_image_right,valid_skin_pixel_count,267,0,0,1256.0,1374.86,1542.1,1606.6,1712.0,1832.0,1961.0,2066.6,2117.7,2281.7,2419.0,1832.0112359550562,186.72974083921454,249.0
camera_id,HONOR/BVL-AN00,cheek_image_right,valid_skin_fraction,267,0,0,0.6659597030752916,0.7695702847876761,0.8463365346138455,0.8767620629766669,0.9188966086638571,0.9595441595441595,0.9886271249076127,1.0,1.0,1.0,1.0,0.9460805283421856,0.05466906633075788,0.06973051624375559
camera_id,HONOR/BVL-AN00,cheek_image_right,bbox_area,267,0,0,1512.0,1638.0,1677.9,1720.0,1824.0,1932.0,2058.0,2136.0,2197.9,2290.1999999999994,2420.0,1936.116104868914,157.90697986007555,234.0
camera_id,Xiaomi/M2006J10C,forehead,valid_skin_pixel_count,233,0,0,10.0,171.84,1238.2,2205.6000000000004,3224.0,4245.0,5007.0,5470.2,5786.399999999998,6179.52,6318.0,4001.6008583690987,1341.526912282631,1783.0
camera_id,Xiaomi/M2006J10C,forehead,valid_skin_fraction,233,0,0,0.0023741690408357074,0.040168652456234154,0.22371960416721187,0.3986014981847932,0.5581395348837209,0.643584229390681,0.6917340748230536,0.7389413513454434,0.7688284282748036,0.8099000985675656,0.8147001934235977,0.5970386814154819,0.15672085458201898,0.13359453993933268
