sample_id,latent_id,camera_name,light_name,acquisition_role,low_clip_fraction,all_zero_fraction,nonfinite_count
L000_A0,L000,Canon 5DMarkII,D65,reference,0.0,0.0,0
L000_A1,L000,Nikon D3X,D65,camera_only,0.0,0.0,0
L000_A2,L000,Canon 5DMarkII,A,light_only,0.0,0.0,0
L000_A3,L000,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0
L000_A4,L000,Nikon D3X,A,joint,0.0,0.0,0
L001_A0,L001,Nikon D3X,A,reference,0.0,0.0,0
L001_A1,L001,Nikon D80,A,camera_only,0.0,0.0,0
L001_A2,L001,Nikon D3X,FL2,light_only,0.0,0.0,0
L001_A3,L001,Nikon D3X,A,appearance_only,0.0,0.0,0
L001_A4,L001,Nikon D80,FL2,joint,0.0,0.0,0
L002_A0,L002,Nikon D80,FL2,reference,0.0,0.0,0
L002_A1,L002,Pentax Q,FL2,camera_only,0.0,0.0,0
L002_A2,L002,Nikon D80,D65,light_only,0.0,0.0,0
L002_A3,L002,Nikon D80,FL2,appearance_only,0.0,0.0,0
L002_A4,L002,Pentax Q,D65,joint,0.0,0.0,0
L003_A0,L003,Pentax Q,D65,reference,0.0,0.0,0
L003_A1,L003,SONY NEX-5N,D65,camera_only,0.0,0.0,0
L003_A2,L003,Pentax Q,A,light_only,0.0,0.0,0
L003_A3,L003,Pentax Q,D65,appearance_only,0.0,0.0,0
L003_A4,L003,SONY NEX-5N,A,joint,0.0,0.0,0
L004_A0,L004,SONY NEX-5N,A,reference,0.0,0.0,0
L004_A1,L004,Olympus E-PL2,A,camera_only,0.0,0.0,0
L004_A2,L004,SONY NEX-5N,FL2,light_only,0.0,0.0,0
L004_A3,L004,SONY NEX-5N,A,appearance_only,0.0,0.0,0
L004_A4,L004,Olympus E-PL2,FL2,joint,0.0,0.0,0
L005_A0,L005,Olympus E-PL2,FL2,reference,0.0,0.0,0
L005_A1,L005,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0
L005_A2,L005,Olympus E-PL2,D65,light_only,0.0,0.0,0
L005_A3,L005,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0
L005_A4,L005,Canon 5DMarkII,D65,joint,0.0,0.0,0
L006_A0,L006,Canon 5DMarkII,A,reference,0.0,0.0,0
L006_A1,L006,Nikon D3X,A,camera_only,0.0,0.0,0
L006_A2,L006,Canon 5DMarkII,FL2,light_only,0.0,0.0,0
L006_A3,L006,Canon 5DMarkII,A,appearance_only,0.0,0.0,0
L006_A4,L006,Nikon D3X,FL2,joint,0.0,0.0,0
L007_A0,L007,Nikon D3X,FL2,reference,0.0,0.0,0
L007_A1,L007,Nikon D80,FL2,camera_only,0.0,0.0,0
L007_A2,L007,Nikon D3X,D65,light_only,0.0,0.0,0
L007_A3,L007,Nikon D3X,FL2,appearance_only,0.0,0.0,0
L007_A4,L007,Nikon D80,D65,joint,0.0,0.0,0
L008_A0,L008,Nikon D80,D65,reference,0.0,0.0,0
L008_A1,L008,Pentax Q,D65,camera_only,0.0,0.0,0
L008_A2,L008,Nikon D80,A,light_only,0.0,0.0,0
L008_A3,L008,Nikon D80,D65,appearance_only,0.0,0.0,0
L008_A4,L008,Pentax Q,A,joint,0.0,0.0,0
L009_A0,L009,Pentax Q,A,reference,0.0,0.0,0
L009_A1,L009,SONY NEX-5N,A,camera_only,0.0,0.0,0
L009_A2,L009,Pentax Q,FL2,light_only,0.0,0.0,0
L009_A3,L009,Pentax Q,A,appearance_only,0.0,0.0,0
L009_A4,L009,SONY NEX-5N,FL2,joint,0.0,0.0,0
L010_A0,L010,SONY NEX-5N,FL2,reference,0.0,0.0,0
L010_A1,L010,Olympus E-PL2,FL2,camera_only,0.0,0.0,0
L010_A2,L010,SONY NEX-5N,D65,light_only,0.0,0.0,0
L010_A3,L010,SONY NEX-5N,FL2,appearance_only,0.0,0.0,0
L010_A4,L010,Olympus E-PL2,D65,joint,0.0,0.0,0
L011_A0,L011,Olympus E-PL2,D65,reference,0.0,0.0,0
L011_A1,L011,Canon 5DMarkII,D65,camera_only,0.0,0.0,0
L011_A2,L011,Olympus E-PL2,A,light_only,0.0,0.0,0
L011_A3,L011,Olympus E-PL2,D65,appearance_only,0.0,0.0,0
L011_A4,L011,Canon 5DMarkII,A,joint,0.0,0.0,0
L012_A0,L012,Canon 5DMarkII,FL2,reference,0.0,0.0,0
L012_A1,L012,Nikon D3X,FL2,camera_only,0.0,0.0,0
L012_A2,L012,Canon 5DMarkII,D65,light_only,0.0,0.0,0
L012_A3,L012,Canon 5DMarkII,FL2,appearance_only,0.0,0.0,0
L012_A4,L012,Nikon D3X,D65,joint,0.0,0.0,0
L013_A0,L013,Nikon D3X,D65,reference,0.0,0.0,0
L013_A1,L013,Nikon D80,D65,camera_only,0.0,0.0,0
L013_A2,L013,Nikon D3X,A,light_only,0.0,0.0,0
L013_A3,L013,Nikon D3X,D65,appearance_only,0.0,0.0,0
L013_A4,L013,Nikon D80,A,joint,0.0,0.0,0
L014_A0,L014,Nikon D80,A,reference,0.0,0.0,0
L014_A1,L014,Pentax Q,A,camera_only,0.0,0.0,0
L014_A2,L014,Nikon D80,FL2,light_only,0.0,0.0,0
L014_A3,L014,Nikon D80,A,appearance_only,0.0,0.0,0
L014_A4,L014,Pentax Q,FL2,joint,0.0,0.0,0
L015_A0,L015,Pentax Q,FL2,reference,0.0,0.0,0
L015_A1,L015,SONY NEX-5N,FL2,camera_only,0.0,0.0,0
L015_A2,L015,Pentax Q,D65,light_only,0.0,0.0,0
L015_A3,L015,Pentax Q,FL2,appearance_only,0.0,0.0,0
L015_A4,L015,SONY NEX-5N,D65,joint,0.0,0.0,0
L016_A0,L016,SONY NEX-5N,D65,reference,0.0,0.0,0
L016_A1,L016,Olympus E-PL2,D65,camera_only,0.0,0.0,0
L016_A2,L016,SONY NEX-5N,A,light_only,0.0,0.0,0
L016_A3,L016,SONY NEX-5N,D65,appearance_only,0.0,0.0,0
L016_A4,L016,Olympus E-PL2,A,joint,0.0,0.0,0
L017_A0,L017,Olympus E-PL2,A,reference,0.0,0.0,0
L017_A1,L017,Canon 5DMarkII,A,camera_only,0.0,0.0,0
L017_A2,L017,Olympus E-PL2,FL2,light_only,0.0,0.0,0
L017_A3,L017,Olympus E-PL2,A,appearance_only,0.0,0.0,0
L017_A4,L017,Canon 5DMarkII,FL2,joint,0.0,0.0,0
L018_A0,L018,Canon 5DMarkII,D65,reference,0.0,0.0,0
L018_A1,L018,Nikon D3X,D65,camera_only,0.0,0.0,0
L018_A2,L018,Canon 5DMarkII,A,light_only,0.0,0.0,0
L018_A3,L018,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0
L018_A4,L018,Nikon D3X,A,joint,0.0,0.0,0
L019_A0,L019,Nikon D3X,A,reference,0.0,0.0,0
L019_A1,L019,Nikon D80,A,camera_only,0.0,0.0,0
L019_A2,L019,Nikon D3X,FL2,light_only,0.0,0.0,0
L019_A3,L019,Nikon D3X,A,appearance_only,0.0,0.0,0
L019_A4,L019,Nikon D80,FL2,joint,0.0,0.0,0
L020_A0,L020,Nikon D80,FL2,reference,0.0,0.0,0
