camera_name,light_name,latent_id
Canon 5DMarkII,D65,HM00
Canon 5DMarkII,A,HM00
Canon 5DMarkII,FL2,HM00
Canon 5DMarkII,FL11,HM00
Canon 5DMarkII,D65,HM01
Canon 5DMarkII,A,HM01
Canon 5DMarkII,FL2,HM01
Canon 5DMarkII,FL11,HM01
Canon 5DMarkII,D65,HM02
Canon 5DMarkII,A,HM02
Canon 5DMarkII,FL2,HM02
Canon 5DMarkII,FL11,HM02
Canon 5DMarkII,D65,HM03
Canon 5DMarkII,A,HM03
Canon 5DMarkII,FL2,HM03
Canon 5DMarkII,FL11,HM03
Canon 5DMarkII,D65,HM04
Canon 5DMarkII,A,HM04
Canon 5DMarkII,FL2,HM04
Canon 5DMarkII,FL11,HM04
Canon 5DMarkII,D65,HM05
Canon 5DMarkII,A,HM05
Canon 5DMarkII,FL2,HM05
Canon 5DMarkII,FL11,HM05
Canon 5DMarkII,D65,HM06
Canon 5DMarkII,A,HM06
Canon 5DMarkII,FL2,HM06
Canon 5DMarkII,FL11,HM06
Canon 5DMarkII,D65,HM07
Canon 5DMarkII,A,HM07
Canon 5DMarkII,FL2,HM07
Canon 5DMarkII,FL11,HM07
Canon 5DMarkII,D65,HM08
Canon 5DMarkII,A,HM08
Canon 5DMarkII,FL2,HM08
Canon 5DMarkII,FL11,HM08
Canon 5DMarkII,D65,HM09
Canon 5DMarkII,A,HM09
Canon 5DMarkII,FL2,HM09
Canon 5DMarkII,FL11,HM09
Canon 5DMarkII,D65,HM10
Canon 5DMarkII,A,HM10
Canon 5DMarkII,FL2,HM10
Canon 5DMarkII,FL11,HM10
Canon 5DMarkII,D65,HM11
Canon 5DMarkII,A,HM11
Canon 5DMarkII,FL2,HM11
Canon 5DMarkII,FL11,HM11
Nikon D3X,D65,HM00
Nikon D3X,A,HM00
Nikon D3X,FL2,HM00
Nikon D3X,FL11,HM00
Nikon D3X,D65,HM01
Nikon D3X,A,HM01
Nikon D3X,FL2,HM01
Nikon D3X,FL11,HM01
Nikon D3X,D65,HM02
Nikon D3X,A,HM02
Nikon D3X,FL2,HM02
Nikon D3X,FL11,HM02
Nikon D3X,D65,HM03
Nikon D3X,A,HM03
Nikon D3X,FL2,HM03
Nikon D3X,FL11,HM03
Nikon D3X,D65,HM04
Nikon D3X,A,HM04
Nikon D3X,FL2,HM04
Nikon D3X,FL11,HM04
Nikon D3X,D65,HM05
Nikon D3X,A,HM05
Nikon D3X,FL2,HM05
Nikon D3X,FL11,HM05
Nikon D3X,D65,HM06
Nikon D3X,A,HM06
Nikon D3X,FL2,HM06
Nikon D3X,FL11,HM06
Nikon D3X,D65,HM07
Nikon D3X,A,HM07
Nikon D3X,FL2,HM07
Nikon D3X,FL11,HM07
Nikon D3X,D65,HM08
Nikon D3X,A,HM08
Nikon D3X,FL2,HM08
Nikon D3X,FL11,HM08
Nikon D3X,D65,HM09
Nikon D3X,A,HM09
Nikon D3X,FL2,HM09
Nikon D3X,FL11,HM09
Nikon D3X,D65,HM10
Nikon D3X,A,HM10
Nikon D3X,FL2,HM10
Nikon D3X,FL11,HM10
Nikon D3X,D65,HM11
Nikon D3X,A,HM11
Nikon D3X,FL2,HM11
Nikon D3X,FL11,HM11
Nikon D80,D65,HM00
Nikon D80,A,HM00
Nikon D80,FL2,HM00
Nikon D80,FL11,HM00
Nikon D80,D65,HM01
Nikon D80,A,HM01
Nikon D80,FL2,HM01
Nikon D80,FL11,HM01
Nikon D80,D65,HM02
Nikon D80,A,HM02
Nikon D80,FL2,HM02
Nikon D80,FL11,HM02
Nikon D80,D65,HM03
Nikon D80,A,HM03
Nikon D80,FL2,HM03
Nikon D80,FL11,HM03
Nikon D80,D65,HM04
Nikon D80,A,HM04
Nikon D80,FL2,HM04
Nikon D80,FL11,HM04
Nikon D80,D65,HM05
Nikon D80,A,HM05
Nikon D80,FL2,HM05
Nikon D80,FL11,HM05
Nikon D80,D65,HM06
Nikon D80,A,HM06
Nikon D80,FL2,HM06
Nikon D80,FL11,HM06
Nikon D80,D65,HM07
Nikon D80,A,HM07
Nikon D80,FL2,HM07
Nikon D80,FL11,HM07
Nikon D80,D65,HM08
Nikon D80,A,HM08
Nikon D80,FL2,HM08
Nikon D80,FL11,HM08
Nikon D80,D65,HM09
Nikon D80,A,HM09
Nikon D80,FL2,HM09
Nikon D80,FL11,HM09
Nikon D80,D65,HM10
Nikon D80,A,HM10
Nikon D80,FL2,HM10
Nikon D80,FL11,HM10
Nikon D80,D65,HM11
Nikon D80,A,HM11
Nikon D80,FL2,HM11
Nikon D80,FL11,HM11
Pentax Q,D65,HM00
Pentax Q,A,HM00
Pentax Q,FL2,HM00
Pentax Q,FL11,HM00
Pentax Q,D65,HM01
Pentax Q,A,HM01
Pentax Q,FL2,HM01
Pentax Q,FL11,HM01
Pentax Q,D65,HM02
Pentax Q,A,HM02
Pentax Q,FL2,HM02
Pentax Q,FL11,HM02
Pentax Q,D65,HM03
Pentax Q,A,HM03
Pentax Q,FL2,HM03
Pentax Q,FL11,HM03
Pentax Q,D65,HM04
Pentax Q,A,HM04
Pentax Q,FL2,HM04
Pentax Q,FL11,HM04
Pentax Q,D65,HM05
Pentax Q,A,HM05
Pentax Q,FL2,HM05
Pentax Q,FL11,HM05
Pentax Q,D65,HM06
Pentax Q,A,HM06
Pentax Q,FL2,HM06
Pentax Q,FL11,HM06
Pentax Q,D65,HM07
Pentax Q,A,HM07
Pentax Q,FL2,HM07
Pentax Q,FL11,HM07
Pentax Q,D65,HM08
Pentax Q,A,HM08
Pentax Q,FL2,HM08
Pentax Q,FL11,HM08
Pentax Q,D65,HM09
Pentax Q,A,HM09
Pentax Q,FL2,HM09
Pentax Q,FL11,HM09
Pentax Q,D65,HM10
Pentax Q,A,HM10
Pentax Q,FL2,HM10
Pentax Q,FL11,HM10
Pentax Q,D65,HM11
Pentax Q,A,HM11
Pentax Q,FL2,HM11
Pentax Q,FL11,HM11
SONY NEX-5N,D65,HM00
SONY NEX-5N,A,HM00
SONY NEX-5N,FL2,HM00
SONY NEX-5N,FL11,HM00
SONY NEX-5N,D65,HM01
SONY NEX-5N,A,HM01
SONY NEX-5N,FL2,HM01
SONY NEX-5N,FL11,HM01
SONY NEX-5N,D65,HM02
SONY NEX-5N,A,HM02
SONY NEX-5N,FL2,HM02
SONY NEX-5N,FL11,HM02
SONY NEX-5N,D65,HM03
SONY NEX-5N,A,HM03
SONY NEX-5N,FL2,HM03
SONY NEX-5N,FL11,HM03
SONY NEX-5N,D65,HM04
SONY NEX-5N,A,HM04
SONY NEX-5N,FL2,HM04
SONY NEX-5N,FL11,HM04
SONY NEX-5N,D65,HM05
SONY NEX-5N,A,HM05
SONY NEX-5N,FL2,HM05
SONY NEX-5N,FL11,HM05
SONY NEX-5N,D65,HM06
SONY NEX-5N,A,HM06
SONY NEX-5N,FL2,HM06
SONY NEX-5N,FL11,HM06
SONY NEX-5N,D65,HM07
SONY NEX-5N,A,HM07
SONY NEX-5N,FL2,HM07
SONY NEX-5N,FL11,HM07
SONY NEX-5N,D65,HM08
SONY NEX-5N,A,HM08
SONY NEX-5N,FL2,HM08
SONY NEX-5N,FL11,HM08
SONY NEX-5N,D65,HM09
SONY NEX-5N,A,HM09
SONY NEX-5N,FL2,HM09
SONY NEX-5N,FL11,HM09
SONY NEX-5N,D65,HM10
SONY NEX-5N,A,HM10
SONY NEX-5N,FL2,HM10
SONY NEX-5N,FL11,HM10
SONY NEX-5N,D65,HM11
SONY NEX-5N,A,HM11
SONY NEX-5N,FL2,HM11
SONY NEX-5N,FL11,HM11
Olympus E-PL2,D65,HM00
Olympus E-PL2,A,HM00
Olympus E-PL2,FL2,HM00
Olympus E-PL2,FL11,HM00
Olympus E-PL2,D65,HM01
Olympus E-PL2,A,HM01
Olympus E-PL2,FL2,HM01
Olympus E-PL2,FL11,HM01
Olympus E-PL2,D65,HM02
Olympus E-PL2,A,HM02
Olympus E-PL2,FL2,HM02
Olympus E-PL2,FL11,HM02
Olympus E-PL2,D65,HM03
Olympus E-PL2,A,HM03
Olympus E-PL2,FL2,HM03
Olympus E-PL2,FL11,HM03
Olympus E-PL2,D65,HM04
Olympus E-PL2,A,HM04
Olympus E-PL2,FL2,HM04
Olympus E-PL2,FL11,HM04
Olympus E-PL2,D65,HM05
Olympus E-PL2,A,HM05
Olympus E-PL2,FL2,HM05
Olympus E-PL2,FL11,HM05
Olympus E-PL2,D65,HM06
Olympus E-PL2,A,HM06
Olympus E-PL2,FL2,HM06
Olympus E-PL2,FL11,HM06
Olympus E-PL2,D65,HM07
Olympus E-PL2,A,HM07
Olympus E-PL2,FL2,HM07
Olympus E-PL2,FL11,HM07
Olympus E-PL2,D65,HM08
Olympus E-PL2,A,HM08
Olympus E-PL2,FL2,HM08
Olympus E-PL2,FL11,HM08
Olympus E-PL2,D65,HM09
Olympus E-PL2,A,HM09
Olympus E-PL2,FL2,HM09
Olympus E-PL2,FL11,HM09
Olympus E-PL2,D65,HM10
Olympus E-PL2,A,HM10
Olympus E-PL2,FL2,HM10
Olympus E-PL2,FL11,HM10
Olympus E-PL2,D65,HM11
Olympus E-PL2,A,HM11
Olympus E-PL2,FL2,HM11
Olympus E-PL2,FL11,HM11
Canon 1DMarkIII,D65,HM00
Canon 1DMarkIII,A,HM00
Canon 1DMarkIII,FL2,HM00
Canon 1DMarkIII,FL11,HM00
Canon 1DMarkIII,D65,HM01
Canon 1DMarkIII,A,HM01
Canon 1DMarkIII,FL2,HM01
Canon 1DMarkIII,FL11,HM01
Canon 1DMarkIII,D65,HM02
Canon 1DMarkIII,A,HM02
Canon 1DMarkIII,FL2,HM02
Canon 1DMarkIII,FL11,HM02
Canon 1DMarkIII,D65,HM03
Canon 1DMarkIII,A,HM03
Canon 1DMarkIII,FL2,HM03
Canon 1DMarkIII,FL11,HM03
Canon 1DMarkIII,D65,HM04
Canon 1DMarkIII,A,HM04
Canon 1DMarkIII,FL2,HM04
Canon 1DMarkIII,FL11,HM04
Canon 1DMarkIII,D65,HM05
Canon 1DMarkIII,A,HM05
Canon 1DMarkIII,FL2,HM05
Canon 1DMarkIII,FL11,HM05
Canon 1DMarkIII,D65,HM06
Canon 1DMarkIII,A,HM06
Canon 1DMarkIII,FL2,HM06
Canon 1DMarkIII,FL11,HM06
Canon 1DMarkIII,D65,HM07
Canon 1DMarkIII,A,HM07
Canon 1DMarkIII,FL2,HM07
Canon 1DMarkIII,FL11,HM07
Canon 1DMarkIII,D65,HM08
