camera_name,light_name,a0_quality_gate_pass,finite,colorchecker_pass
Canon 20D,D65,True,True,True
Canon 20D,A,True,True,True
Canon 20D,FL2,True,True,True
Canon 20D,FL11,True,True,True
Canon 300D,D65,True,True,True
Canon 300D,A,True,True,True
Canon 300D,FL2,True,True,True
Canon 300D,FL11,True,True,True
Canon 40D,D65,True,True,True
Canon 40D,A,True,True,True
Canon 40D,FL2,True,True,True
Canon 40D,FL11,True,True,True
Canon 500D,D65,True,True,True
Canon 500D,A,True,True,True
Canon 500D,FL2,True,True,True
Canon 500D,FL11,True,True,True
Canon 50D,D65,True,True,True
Canon 50D,A,True,True,True
Canon 50D,FL2,True,True,True
Canon 50D,FL11,True,True,True
Canon 600D,D65,True,True,True
Canon 600D,A,True,True,True
Canon 600D,FL2,True,True,True
Canon 600D,FL11,True,True,True
Canon 60D,D65,True,True,True
Canon 60D,A,True,True,True
Canon 60D,FL2,True,True,True
Canon 60D,FL11,True,True,True
Nikon D3X,D65,True,True,True
Nikon D3X,A,True,True,True
Nikon D3X,FL2,True,True,True
Nikon D3X,FL11,True,True,True
Nikon D200,D65,True,True,True
Nikon D200,A,True,True,True
Nikon D200,FL2,True,True,True
Nikon D200,FL11,True,True,True
Nikon D3,D65,True,True,True
Nikon D3,A,True,True,True
Nikon D3,FL2,True,True,True
Nikon D3,FL11,True,True,True
Nikon D300s,D65,True,True,True
Nikon D300s,A,True,True,True
Nikon D300s,FL2,True,True,True
Nikon D300s,FL11,True,True,True
Nikon D40,D65,True,True,True
Nikon D40,A,True,True,True
Nikon D40,FL2,True,True,True
Nikon D40,FL11,True,True,True
Nikon D50,D65,True,True,True
Nikon D50,A,True,True,True
Nikon D50,FL2,True,True,True
Nikon D50,FL11,True,True,True
Nikon D700,D65,True,True,True
Nikon D700,A,True,True,True
Nikon D700,FL2,True,True,True
Nikon D700,FL11,True,True,True
Nikon D90,D65,True,True,True
Nikon D90,A,True,True,True
Nikon D90,FL2,True,True,True
Nikon D90,FL11,True,True,True
Pentax K-5,D65,True,True,True
Pentax K-5,A,True,True,True
Pentax K-5,FL2,True,True,True
Pentax K-5,FL11,True,True,True
