,Canon 5DMarkII,Nikon D80,Pentax Q,SONY NEX-5N,Olympus E-PL2
Canon 20D,0.1428924719676572,0.18897427343897985,0.2657754101788102,0.23251178357999333,0.22203517191720615
Canon 300D,0.19848129710211646,0.2309515554718168,0.2724587506377734,0.13966026893636832,0.20968051007145508
Canon 40D,0.1037422358468888,0.2329281512199467,0.23264380157873013,0.22790821724451102,0.24219019687786447
Canon 500D,0.13541970226962927,0.31277516686305123,0.23269147240621438,0.23958030676810438,0.2897031433822666
Canon 50D,0.11166061058014187,0.29139878593630925,0.20084747927171356,0.22923262809711528,0.268001634944576
Canon 600D,0.09817280822773677,0.255679099063534,0.22905743889253918,0.21726824474312378,0.25342991768949535
Canon 60D,0.09752544612467906,0.25988194839361617,0.20209824904562537,0.19662914887018687,0.23735779615928265
Nikon D3X,0.2170367261864142,0.14402544755179214,0.23808463131636715,0.151444560459105,0.18448498469229968
Nikon D200,0.23194760279060767,0.12206232095362783,0.27908213739382864,0.1679879151071407,0.21844995584382676
Nikon D3,0.2111066803298296,0.12256720362740155,0.2723713614786587,0.16653827040351257,0.21212823992714244
Nikon D300s,0.1855187846887418,0.1261009173700187,0.25200982172999375,0.13826343366119964,0.1810676649182874
Nikon D40,0.2457781481100569,0.18670237634808617,0.30248024068847273,0.11045856926464387,0.23629832723945765
Nikon D50,0.23771341142575644,0.17260613151642246,0.2878318422646165,0.14281386234325552,0.20973724724146703
Nikon D700,0.2061593806381743,0.12420507896927907,0.2630206155380479,0.15886194355806535,0.2047533944290708
Nikon D90,0.1949377957683456,0.13793933291994362,0.2500668473903332,0.1390013846198336,0.19845708316550947
Pentax K-5,0.19028472995220583,0.17100920206249046,0.23645959385377757,0.1187226687974547,0.2132784848917795
