,Canon 5DMarkII,Nikon D80,Pentax Q,SONY NEX-5N,Olympus E-PL2
Canon 20D,0.07045692786837529,0.10804440092725202,0.16010553829635063,0.12399460125663675,0.12765595969350554
Canon 300D,0.11302451095807087,0.12817298224232168,0.16355315748832824,0.08322806005467868,0.11069494328756006
Canon 40D,0.05138307808186294,0.14010894708749466,0.13932340335260515,0.12042567590908498,0.13317181659257357
Canon 500D,0.0825866161691995,0.19137613997080394,0.12736535540309915,0.1335216356205711,0.17216620446161549
Canon 50D,0.069193035782856,0.18128183402823903,0.10988258306567245,0.1301143403787466,0.15593509788161375
Canon 600D,0.04899555525568611,0.14851957503677862,0.12932112987490615,0.11160211155640869,0.1381812399415591
Canon 60D,0.04841958015420408,0.15074956941811138,0.11783361397781918,0.10415045301295779,0.12990217718612834
Nikon D3X,0.12391970946404222,0.0726937490796021,0.1491024309889498,0.0785639678042626,0.10139029348743422
Nikon D200,0.1336355664497801,0.05670264595064509,0.17723461687442285,0.10389659218756205,0.13305639868949468
Nikon D3,0.12333920528061727,0.05925863284349342,0.1732512330734742,0.10006732073452214,0.12645979263315862
Nikon D300s,0.10276795052454261,0.07849016237404145,0.14996338507959286,0.07354864469861681,0.106298478058114
Nikon D40,0.1356899888847298,0.10811093493639141,0.18252168651611766,0.06918309364537474,0.14146132515985524
Nikon D50,0.12420660061960266,0.09792923319644693,0.17420647012392623,0.0845715128530924,0.12311384665912839
Nikon D700,0.11876285457713469,0.06048901160109008,0.1678212247718448,0.09459927233622513,0.1214361935992662
Nikon D90,0.10847537637721698,0.0818554318400899,0.1521025811960043,0.066907024781538,0.1119186984253314
Pentax K-5,0.09790049828471115,0.106415019197955,0.14267345296608472,0.054790800745834846,0.12624025914748951
