camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,original_sample_id,variable_isolation,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Nikon D3X,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,R,0.435417115688324,0.4490877169370651,0.47411524653434756,0.5384708046913147,0.5988412529230118,0.6329604983329773,0.5362961292266846,0.03899228572845459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5362961292266846,0.03899228572845459,0.435417115688324,0.6329604983329773
Nikon D3X,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,G,0.2653779685497284,0.27655852228403094,0.29651923924684526,0.33965083956718445,0.38378628343343735,0.4045965075492859,0.33925050497055054,0.02710750699043274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33925050497055054,0.02710750699043274,0.2653779685497284,0.4045965075492859
Nikon D3X,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,B,0.03543334826827049,0.0428050696104765,0.05206151474267244,0.07231288775801659,0.09762698709964752,0.112149678170681,0.07346977293491364,0.013805851340293884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07346977293491364,0.013805851340293884,0.03543334826827049,0.112149678170681
Canon 20D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,R,0.43493571877479553,0.44850838601589205,0.47345310151576997,0.537656307220459,0.5978995263576508,0.6319541931152344,0.535491943359375,0.0389101542532444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535491943359375,0.0389101542532444,0.43493571877479553,0.6319541931152344
Canon 20D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,G,0.26421743631362915,0.27538769751787184,0.2953253224492073,0.33833566308021545,0.3823752447962761,0.40306994318962097,0.33794504404067993,0.027034210041165352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33794504404067993,0.027034210041165352,0.26421743631362915,0.40306994318962097
Canon 20D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,B,0.06352004408836365,0.07002230942249298,0.08020132556557655,0.10099945962429047,0.12687998861074448,0.13925714790821075,0.10236848145723343,0.014034336432814598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10236848145723343,0.014034336432814598,0.06352004408836365,0.13925714790821075
Canon 300D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,R,0.43075495958328247,0.44430226385593413,0.4690739542245865,0.5328020453453064,0.5925916045904159,0.6262613534927368,0.5306391716003418,0.03860851004719734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306391716003418,0.03860851004719734,0.43075495958328247,0.6262613534927368
Canon 300D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,G,0.26770153641700745,0.2789431783556938,0.29900315403938293,0.3424074649810791,0.38681088536977765,0.40782517194747925,0.3419952690601349,0.027282189577817917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3419952690601349,0.027282189577817917,0.26770153641700745,0.40782517194747925
Canon 300D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,B,0.03803171217441559,0.04526788935065269,0.054676469415426254,0.07478144019842148,0.10000888220965862,0.11416679620742798,0.07592809945344925,0.013747463934123516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07592809945344925,0.013747463934123516,0.03803171217441559,0.11416679620742798
Nikon D3X,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,R,0.4339578151702881,0.438168112039566,0.44745637774467467,0.4727996289730072,0.4947648525238037,0.5442786812782288,0.4719964861869812,0.015285637229681015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4719964861869812,0.015285637229681015,0.4339578151702881,0.5442786812782288
Nikon D3X,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,G,0.28043121099472046,0.2832717204093933,0.29010615348815916,0.3120015561580658,0.33501885533332826,0.4248772859573364,0.3127650022506714,0.016813678666949272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3127650022506714,0.016813678666949272,0.28043121099472046,0.4248772859573364
Nikon D3X,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,B,0.01860424317419529,0.025157826989889144,0.03178593441843987,0.05403819680213928,0.13856502771377557,0.313083678483963,0.061463430523872375,0.03827272355556488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061463430523872375,0.03827272355556488,0.01860424317419529,0.313083678483963
