camera_name,original_sample_id,light_name,variable_isolation
Nikon D3X,L019_A2,FL2,camera_only
Canon 20D,L019_A2,FL2,camera_only
Canon 300D,L019_A2,FL2,camera_only
Nikon D3X,L030_A4,FL2,camera_only
Canon 20D,L030_A4,FL2,camera_only
Canon 300D,L030_A4,FL2,camera_only
Nikon D3X,L031_A0,FL2,camera_only
Canon 20D,L031_A0,FL2,camera_only
Canon 300D,L031_A0,FL2,camera_only
Nikon D3X,L031_A3,FL2,camera_only
Canon 20D,L031_A3,FL2,camera_only
Canon 300D,L031_A3,FL2,camera_only
Nikon D3X,L039_A0,FL2,camera_only
Canon 20D,L039_A0,FL2,camera_only
Canon 300D,L039_A0,FL2,camera_only
Nikon D3X,L039_A3,FL2,camera_only
Canon 20D,L039_A3,FL2,camera_only
Canon 300D,L039_A3,FL2,camera_only
Nikon D3X,L047_A0,FL2,camera_only
Canon 20D,L047_A0,FL2,camera_only
Canon 300D,L047_A0,FL2,camera_only
Nikon D3X,L047_A3,FL2,camera_only
Canon 20D,L047_A3,FL2,camera_only
Canon 300D,L047_A3,FL2,camera_only
Nikon D3X,L055_A0,FL2,camera_only
Canon 20D,L055_A0,FL2,camera_only
Canon 300D,L055_A0,FL2,camera_only
Nikon D3X,L055_A2,FL11,camera_only
Canon 20D,L055_A2,FL11,camera_only
Canon 300D,L055_A2,FL11,camera_only
Nikon D3X,L055_A3,FL2,camera_only
Canon 20D,L055_A3,FL2,camera_only
Canon 300D,L055_A3,FL2,camera_only
Nikon D3X,L063_A0,FL2,camera_only
Canon 20D,L063_A0,FL2,camera_only
Canon 300D,L063_A0,FL2,camera_only
Nikon D3X,L063_A2,FL11,camera_only
Canon 20D,L063_A2,FL11,camera_only
Canon 300D,L063_A2,FL11,camera_only
Nikon D3X,L063_A3,FL2,camera_only
Canon 20D,L063_A3,FL2,camera_only
Canon 300D,L063_A3,FL2,camera_only
