camera_name,min_sam_to_retained,mean_sam_to_retained,tv_sensitivity,max_overall_low_clipping,max_channel_zero_fraction,selection_rank
Nikon D3X,0.14402544755179214,0.18701527004119564,0.10513403016485819,0.0,0.0,1
Canon 20D,0.1428924719676572,0.21043782221652935,0.11805148560842404,0.0,0.0,2
Canon 300D,0.13966026893636832,0.21024647644390598,0.1197347308061919,0.0,0.0,3
Nikon D90,0.13793933291994362,0.1840804887727931,0.10425182252403611,0.0,0.0,4
Canon 500D,0.13541970226962927,0.24203395833785316,0.14140319032505783,0.0,0.0,5
Nikon D300s,0.1261009173700187,0.17659212447364828,0.10221372414698156,0.0,0.0,6
Nikon D700,0.12420507896927907,0.19140008262652747,0.11262171137711216,0.0,0.0,7
Nikon D3,0.12256720362740155,0.19694235115330896,0.11647523691305313,0.0,0.0,8
Nikon D200,0.12206232095362783,0.20390598641780633,0.12090516403038094,0.0,0.0,9
Pentax K-5,0.1187226687974547,0.1859509359115416,0.10560400606841505,0.0,0.0,10
Canon 40D,0.1037422358468888,0.20788252055358822,0.11688258420472426,0.0,0.0,11
Canon 600D,0.09817280822773677,0.21072150172328583,0.11532392233306774,0.0,0.0,12
Canon 60D,0.09752544612467906,0.19869851771867802,0.11021107874984415,0.0,0.0,13
