camera_name,exclusion_reason
Canon 1DMarkIII,fixed_protocol_exclusion_or_a0_quality_failure
Canon 5DMarkII,fixed_protocol_exclusion_or_a0_quality_failure
Hasselblad H2,fixed_protocol_exclusion_or_a0_quality_failure
Nikon D5100,fixed_protocol_exclusion_or_a0_quality_failure
Nikon D80,fixed_protocol_exclusion_or_a0_quality_failure
Nokia N900,fixed_protocol_exclusion_or_a0_quality_failure
Olympus E-PL2,fixed_protocol_exclusion_or_a0_quality_failure
Pentax Q,fixed_protocol_exclusion_or_a0_quality_failure
Point Grey Grasshopper 50S5C,fixed_protocol_exclusion_or_a0_quality_failure
Point Grey Grasshopper2 14S5C,fixed_protocol_exclusion_or_a0_quality_failure
Phase One,fixed_protocol_exclusion_or_a0_quality_failure
SONY NEX-5N,fixed_protocol_exclusion_or_a0_quality_failure
