camera_name,light_name,latent_id,exposure_ev,appearance_id
Nikon D3X,D65,HM00,-0.5,appearance0
Nikon D3X,A,HM00,-0.5,appearance0
Nikon D3X,FL2,HM00,-0.5,appearance0
Nikon D3X,FL11,HM00,-0.5,appearance0
Nikon D3X,D65,HM00,0.0,appearance0
Nikon D3X,A,HM00,0.0,appearance0
Nikon D3X,FL2,HM00,0.0,appearance0
Nikon D3X,FL11,HM00,0.0,appearance0
Nikon D3X,D65,HM00,0.5,appearance0
Nikon D3X,A,HM00,0.5,appearance0
Nikon D3X,FL2,HM00,0.5,appearance0
Nikon D3X,FL11,HM00,0.5,appearance0
Nikon D3X,D65,HM00,-0.5,appearance2
Nikon D3X,A,HM00,-0.5,appearance2
Nikon D3X,FL2,HM00,-0.5,appearance2
Nikon D3X,FL11,HM00,-0.5,appearance2
Nikon D3X,D65,HM00,0.0,appearance2
Nikon D3X,A,HM00,0.0,appearance2
Nikon D3X,FL2,HM00,0.0,appearance2
Nikon D3X,FL11,HM00,0.0,appearance2
Nikon D3X,D65,HM00,0.5,appearance2
Nikon D3X,A,HM00,0.5,appearance2
Nikon D3X,FL2,HM00,0.5,appearance2
Nikon D3X,FL11,HM00,0.5,appearance2
Nikon D3X,D65,HM01,-0.5,appearance0
Nikon D3X,A,HM01,-0.5,appearance0
Nikon D3X,FL2,HM01,-0.5,appearance0
Nikon D3X,FL11,HM01,-0.5,appearance0
Nikon D3X,D65,HM01,0.0,appearance0
Nikon D3X,A,HM01,0.0,appearance0
Nikon D3X,FL2,HM01,0.0,appearance0
Nikon D3X,FL11,HM01,0.0,appearance0
Nikon D3X,D65,HM01,0.5,appearance0
Nikon D3X,A,HM01,0.5,appearance0
Nikon D3X,FL2,HM01,0.5,appearance0
Nikon D3X,FL11,HM01,0.5,appearance0
Nikon D3X,D65,HM01,-0.5,appearance2
Nikon D3X,A,HM01,-0.5,appearance2
Nikon D3X,FL2,HM01,-0.5,appearance2
Nikon D3X,FL11,HM01,-0.5,appearance2
Nikon D3X,D65,HM01,0.0,appearance2
Nikon D3X,A,HM01,0.0,appearance2
Nikon D3X,FL2,HM01,0.0,appearance2
Nikon D3X,FL11,HM01,0.0,appearance2
Nikon D3X,D65,HM01,0.5,appearance2
Nikon D3X,A,HM01,0.5,appearance2
Nikon D3X,FL2,HM01,0.5,appearance2
Nikon D3X,FL11,HM01,0.5,appearance2
Nikon D3X,D65,HM02,-0.5,appearance0
Nikon D3X,A,HM02,-0.5,appearance0
Nikon D3X,FL2,HM02,-0.5,appearance0
Nikon D3X,FL11,HM02,-0.5,appearance0
Nikon D3X,D65,HM02,0.0,appearance0
Nikon D3X,A,HM02,0.0,appearance0
Nikon D3X,FL2,HM02,0.0,appearance0
Nikon D3X,FL11,HM02,0.0,appearance0
Nikon D3X,D65,HM02,0.5,appearance0
Nikon D3X,A,HM02,0.5,appearance0
Nikon D3X,FL2,HM02,0.5,appearance0
Nikon D3X,FL11,HM02,0.5,appearance0
Nikon D3X,D65,HM02,-0.5,appearance2
Nikon D3X,A,HM02,-0.5,appearance2
Nikon D3X,FL2,HM02,-0.5,appearance2
Nikon D3X,FL11,HM02,-0.5,appearance2
Nikon D3X,D65,HM02,0.0,appearance2
Nikon D3X,A,HM02,0.0,appearance2
Nikon D3X,FL2,HM02,0.0,appearance2
Nikon D3X,FL11,HM02,0.0,appearance2
Nikon D3X,D65,HM02,0.5,appearance2
Nikon D3X,A,HM02,0.5,appearance2
Nikon D3X,FL2,HM02,0.5,appearance2
Nikon D3X,FL11,HM02,0.5,appearance2
Nikon D3X,D65,HM03,-0.5,appearance0
Nikon D3X,A,HM03,-0.5,appearance0
Nikon D3X,FL2,HM03,-0.5,appearance0
Nikon D3X,FL11,HM03,-0.5,appearance0
Nikon D3X,D65,HM03,0.0,appearance0
Nikon D3X,A,HM03,0.0,appearance0
Nikon D3X,FL2,HM03,0.0,appearance0
Nikon D3X,FL11,HM03,0.0,appearance0
Nikon D3X,D65,HM03,0.5,appearance0
Nikon D3X,A,HM03,0.5,appearance0
Nikon D3X,FL2,HM03,0.5,appearance0
Nikon D3X,FL11,HM03,0.5,appearance0
Nikon D3X,D65,HM03,-0.5,appearance2
Nikon D3X,A,HM03,-0.5,appearance2
Nikon D3X,FL2,HM03,-0.5,appearance2
Nikon D3X,FL11,HM03,-0.5,appearance2
Nikon D3X,D65,HM03,0.0,appearance2
Nikon D3X,A,HM03,0.0,appearance2
Nikon D3X,FL2,HM03,0.0,appearance2
Nikon D3X,FL11,HM03,0.0,appearance2
Nikon D3X,D65,HM03,0.5,appearance2
Nikon D3X,A,HM03,0.5,appearance2
Nikon D3X,FL2,HM03,0.5,appearance2
Nikon D3X,FL11,HM03,0.5,appearance2
Nikon D3X,D65,HM04,-0.5,appearance0
Nikon D3X,A,HM04,-0.5,appearance0
Nikon D3X,FL2,HM04,-0.5,appearance0
Nikon D3X,FL11,HM04,-0.5,appearance0
Nikon D3X,D65,HM04,0.0,appearance0
Nikon D3X,A,HM04,0.0,appearance0
Nikon D3X,FL2,HM04,0.0,appearance0
Nikon D3X,FL11,HM04,0.0,appearance0
Nikon D3X,D65,HM04,0.5,appearance0
Nikon D3X,A,HM04,0.5,appearance0
Nikon D3X,FL2,HM04,0.5,appearance0
Nikon D3X,FL11,HM04,0.5,appearance0
Nikon D3X,D65,HM04,-0.5,appearance2
Nikon D3X,A,HM04,-0.5,appearance2
Nikon D3X,FL2,HM04,-0.5,appearance2
Nikon D3X,FL11,HM04,-0.5,appearance2
Nikon D3X,D65,HM04,0.0,appearance2
Nikon D3X,A,HM04,0.0,appearance2
Nikon D3X,FL2,HM04,0.0,appearance2
Nikon D3X,FL11,HM04,0.0,appearance2
Nikon D3X,D65,HM04,0.5,appearance2
Nikon D3X,A,HM04,0.5,appearance2
Nikon D3X,FL2,HM04,0.5,appearance2
Nikon D3X,FL11,HM04,0.5,appearance2
Nikon D3X,D65,HM05,-0.5,appearance0
Nikon D3X,A,HM05,-0.5,appearance0
Nikon D3X,FL2,HM05,-0.5,appearance0
Nikon D3X,FL11,HM05,-0.5,appearance0
Nikon D3X,D65,HM05,0.0,appearance0
Nikon D3X,A,HM05,0.0,appearance0
Nikon D3X,FL2,HM05,0.0,appearance0
Nikon D3X,FL11,HM05,0.0,appearance0
Nikon D3X,D65,HM05,0.5,appearance0
Nikon D3X,A,HM05,0.5,appearance0
Nikon D3X,FL2,HM05,0.5,appearance0
Nikon D3X,FL11,HM05,0.5,appearance0
Nikon D3X,D65,HM05,-0.5,appearance2
Nikon D3X,A,HM05,-0.5,appearance2
Nikon D3X,FL2,HM05,-0.5,appearance2
Nikon D3X,FL11,HM05,-0.5,appearance2
Nikon D3X,D65,HM05,0.0,appearance2
Nikon D3X,A,HM05,0.0,appearance2
Nikon D3X,FL2,HM05,0.0,appearance2
Nikon D3X,FL11,HM05,0.0,appearance2
Nikon D3X,D65,HM05,0.5,appearance2
Nikon D3X,A,HM05,0.5,appearance2
Nikon D3X,FL2,HM05,0.5,appearance2
Nikon D3X,FL11,HM05,0.5,appearance2
Nikon D3X,D65,HM06,-0.5,appearance0
Nikon D3X,A,HM06,-0.5,appearance0
Nikon D3X,FL2,HM06,-0.5,appearance0
Nikon D3X,FL11,HM06,-0.5,appearance0
Nikon D3X,D65,HM06,0.0,appearance0
Nikon D3X,A,HM06,0.0,appearance0
Nikon D3X,FL2,HM06,0.0,appearance0
Nikon D3X,FL11,HM06,0.0,appearance0
Nikon D3X,D65,HM06,0.5,appearance0
Nikon D3X,A,HM06,0.5,appearance0
Nikon D3X,FL2,HM06,0.5,appearance0
Nikon D3X,FL11,HM06,0.5,appearance0
Nikon D3X,D65,HM06,-0.5,appearance2
Nikon D3X,A,HM06,-0.5,appearance2
Nikon D3X,FL2,HM06,-0.5,appearance2
Nikon D3X,FL11,HM06,-0.5,appearance2
Nikon D3X,D65,HM06,0.0,appearance2
Nikon D3X,A,HM06,0.0,appearance2
Nikon D3X,FL2,HM06,0.0,appearance2
Nikon D3X,FL11,HM06,0.0,appearance2
Nikon D3X,D65,HM06,0.5,appearance2
Nikon D3X,A,HM06,0.5,appearance2
Nikon D3X,FL2,HM06,0.5,appearance2
Nikon D3X,FL11,HM06,0.5,appearance2
Nikon D3X,D65,HM07,-0.5,appearance0
Nikon D3X,A,HM07,-0.5,appearance0
Nikon D3X,FL2,HM07,-0.5,appearance0
Nikon D3X,FL11,HM07,-0.5,appearance0
Nikon D3X,D65,HM07,0.0,appearance0
Nikon D3X,A,HM07,0.0,appearance0
Nikon D3X,FL2,HM07,0.0,appearance0
Nikon D3X,FL11,HM07,0.0,appearance0
Nikon D3X,D65,HM07,0.5,appearance0
Nikon D3X,A,HM07,0.5,appearance0
Nikon D3X,FL2,HM07,0.5,appearance0
Nikon D3X,FL11,HM07,0.5,appearance0
Nikon D3X,D65,HM07,-0.5,appearance2
Nikon D3X,A,HM07,-0.5,appearance2
Nikon D3X,FL2,HM07,-0.5,appearance2
Nikon D3X,FL11,HM07,-0.5,appearance2
Nikon D3X,D65,HM07,0.0,appearance2
Nikon D3X,A,HM07,0.0,appearance2
Nikon D3X,FL2,HM07,0.0,appearance2
Nikon D3X,FL11,HM07,0.0,appearance2
Nikon D3X,D65,HM07,0.5,appearance2
Nikon D3X,A,HM07,0.5,appearance2
Nikon D3X,FL2,HM07,0.5,appearance2
Nikon D3X,FL11,HM07,0.5,appearance2
Nikon D3X,D65,HM08,-0.5,appearance0
Nikon D3X,A,HM08,-0.5,appearance0
Nikon D3X,FL2,HM08,-0.5,appearance0
Nikon D3X,FL11,HM08,-0.5,appearance0
Nikon D3X,D65,HM08,0.0,appearance0
Nikon D3X,A,HM08,0.0,appearance0
Nikon D3X,FL2,HM08,0.0,appearance0
Nikon D3X,FL11,HM08,0.0,appearance0
Nikon D3X,D65,HM08,0.5,appearance0
Nikon D3X,A,HM08,0.5,appearance0
Nikon D3X,FL2,HM08,0.5,appearance0
Nikon D3X,FL11,HM08,0.5,appearance0
Nikon D3X,D65,HM08,-0.5,appearance2
Nikon D3X,A,HM08,-0.5,appearance2
Nikon D3X,FL2,HM08,-0.5,appearance2
Nikon D3X,FL11,HM08,-0.5,appearance2
Nikon D3X,D65,HM08,0.0,appearance2
Nikon D3X,A,HM08,0.0,appearance2
Nikon D3X,FL2,HM08,0.0,appearance2
Nikon D3X,FL11,HM08,0.0,appearance2
Nikon D3X,D65,HM08,0.5,appearance2
Nikon D3X,A,HM08,0.5,appearance2
Nikon D3X,FL2,HM08,0.5,appearance2
Nikon D3X,FL11,HM08,0.5,appearance2
Nikon D3X,D65,HM09,-0.5,appearance0
Nikon D3X,A,HM09,-0.5,appearance0
Nikon D3X,FL2,HM09,-0.5,appearance0
Nikon D3X,FL11,HM09,-0.5,appearance0
Nikon D3X,D65,HM09,0.0,appearance0
Nikon D3X,A,HM09,0.0,appearance0
Nikon D3X,FL2,HM09,0.0,appearance0
Nikon D3X,FL11,HM09,0.0,appearance0
Nikon D3X,D65,HM09,0.5,appearance0
Nikon D3X,A,HM09,0.5,appearance0
Nikon D3X,FL2,HM09,0.5,appearance0
Nikon D3X,FL11,HM09,0.5,appearance0
Nikon D3X,D65,HM09,-0.5,appearance2
Nikon D3X,A,HM09,-0.5,appearance2
Nikon D3X,FL2,HM09,-0.5,appearance2
Nikon D3X,FL11,HM09,-0.5,appearance2
Nikon D3X,D65,HM09,0.0,appearance2
Nikon D3X,A,HM09,0.0,appearance2
Nikon D3X,FL2,HM09,0.0,appearance2
Nikon D3X,FL11,HM09,0.0,appearance2
Nikon D3X,D65,HM09,0.5,appearance2
Nikon D3X,A,HM09,0.5,appearance2
Nikon D3X,FL2,HM09,0.5,appearance2
Nikon D3X,FL11,HM09,0.5,appearance2
Nikon D3X,D65,HM10,-0.5,appearance0
Nikon D3X,A,HM10,-0.5,appearance0
Nikon D3X,FL2,HM10,-0.5,appearance0
Nikon D3X,FL11,HM10,-0.5,appearance0
Nikon D3X,D65,HM10,0.0,appearance0
Nikon D3X,A,HM10,0.0,appearance0
Nikon D3X,FL2,HM10,0.0,appearance0
Nikon D3X,FL11,HM10,0.0,appearance0
Nikon D3X,D65,HM10,0.5,appearance0
Nikon D3X,A,HM10,0.5,appearance0
Nikon D3X,FL2,HM10,0.5,appearance0
Nikon D3X,FL11,HM10,0.5,appearance0
Nikon D3X,D65,HM10,-0.5,appearance2
Nikon D3X,A,HM10,-0.5,appearance2
Nikon D3X,FL2,HM10,-0.5,appearance2
Nikon D3X,FL11,HM10,-0.5,appearance2
Nikon D3X,D65,HM10,0.0,appearance2
Nikon D3X,A,HM10,0.0,appearance2
Nikon D3X,FL2,HM10,0.0,appearance2
Nikon D3X,FL11,HM10,0.0,appearance2
Nikon D3X,D65,HM10,0.5,appearance2
Nikon D3X,A,HM10,0.5,appearance2
Nikon D3X,FL2,HM10,0.5,appearance2
Nikon D3X,FL11,HM10,0.5,appearance2
Nikon D3X,D65,HM11,-0.5,appearance0
Nikon D3X,A,HM11,-0.5,appearance0
Nikon D3X,FL2,HM11,-0.5,appearance0
Nikon D3X,FL11,HM11,-0.5,appearance0
Nikon D3X,D65,HM11,0.0,appearance0
Nikon D3X,A,HM11,0.0,appearance0
Nikon D3X,FL2,HM11,0.0,appearance0
Nikon D3X,FL11,HM11,0.0,appearance0
Nikon D3X,D65,HM11,0.5,appearance0
Nikon D3X,A,HM11,0.5,appearance0
Nikon D3X,FL2,HM11,0.5,appearance0
Nikon D3X,FL11,HM11,0.5,appearance0
Nikon D3X,D65,HM11,-0.5,appearance2
Nikon D3X,A,HM11,-0.5,appearance2
Nikon D3X,FL2,HM11,-0.5,appearance2
Nikon D3X,FL11,HM11,-0.5,appearance2
Nikon D3X,D65,HM11,0.0,appearance2
Nikon D3X,A,HM11,0.0,appearance2
Nikon D3X,FL2,HM11,0.0,appearance2
Nikon D3X,FL11,HM11,0.0,appearance2
Nikon D3X,D65,HM11,0.5,appearance2
Nikon D3X,A,HM11,0.5,appearance2
Nikon D3X,FL2,HM11,0.5,appearance2
Nikon D3X,FL11,HM11,0.5,appearance2
Canon 20D,D65,HM00,-0.5,appearance0
Canon 20D,A,HM00,-0.5,appearance0
Canon 20D,FL2,HM00,-0.5,appearance0
Canon 20D,FL11,HM00,-0.5,appearance0
Canon 20D,D65,HM00,0.0,appearance0
Canon 20D,A,HM00,0.0,appearance0
Canon 20D,FL2,HM00,0.0,appearance0
Canon 20D,FL11,HM00,0.0,appearance0
Canon 20D,D65,HM00,0.5,appearance0
Canon 20D,A,HM00,0.5,appearance0
Canon 20D,FL2,HM00,0.5,appearance0
Canon 20D,FL11,HM00,0.5,appearance0
Canon 20D,D65,HM00,-0.5,appearance2
Canon 20D,A,HM00,-0.5,appearance2
Canon 20D,FL2,HM00,-0.5,appearance2
Canon 20D,FL11,HM00,-0.5,appearance2
Canon 20D,D65,HM00,0.0,appearance2
Canon 20D,A,HM00,0.0,appearance2
Canon 20D,FL2,HM00,0.0,appearance2
Canon 20D,FL11,HM00,0.0,appearance2
Canon 20D,D65,HM00,0.5,appearance2
Canon 20D,A,HM00,0.5,appearance2
Canon 20D,FL2,HM00,0.5,appearance2
Canon 20D,FL11,HM00,0.5,appearance2
Canon 20D,D65,HM01,-0.5,appearance0
Canon 20D,A,HM01,-0.5,appearance0
Canon 20D,FL2,HM01,-0.5,appearance0
Canon 20D,FL11,HM01,-0.5,appearance0
Canon 20D,D65,HM01,0.0,appearance0
Canon 20D,A,HM01,0.0,appearance0
Canon 20D,FL2,HM01,0.0,appearance0
Canon 20D,FL11,HM01,0.0,appearance0
Canon 20D,D65,HM01,0.5,appearance0
Canon 20D,A,HM01,0.5,appearance0
Canon 20D,FL2,HM01,0.5,appearance0
Canon 20D,FL11,HM01,0.5,appearance0
Canon 20D,D65,HM01,-0.5,appearance2
Canon 20D,A,HM01,-0.5,appearance2
Canon 20D,FL2,HM01,-0.5,appearance2
Canon 20D,FL11,HM01,-0.5,appearance2
Canon 20D,D65,HM01,0.0,appearance2
Canon 20D,A,HM01,0.0,appearance2
Canon 20D,FL2,HM01,0.0,appearance2
Canon 20D,FL11,HM01,0.0,appearance2
Canon 20D,D65,HM01,0.5,appearance2
Canon 20D,A,HM01,0.5,appearance2
Canon 20D,FL2,HM01,0.5,appearance2
Canon 20D,FL11,HM01,0.5,appearance2
Canon 20D,D65,HM02,-0.5,appearance0
Canon 20D,A,HM02,-0.5,appearance0
Canon 20D,FL2,HM02,-0.5,appearance0
Canon 20D,FL11,HM02,-0.5,appearance0
Canon 20D,D65,HM02,0.0,appearance0
Canon 20D,A,HM02,0.0,appearance0
Canon 20D,FL2,HM02,0.0,appearance0
Canon 20D,FL11,HM02,0.0,appearance0
Canon 20D,D65,HM02,0.5,appearance0
Canon 20D,A,HM02,0.5,appearance0
Canon 20D,FL2,HM02,0.5,appearance0
Canon 20D,FL11,HM02,0.5,appearance0
Canon 20D,D65,HM02,-0.5,appearance2
Canon 20D,A,HM02,-0.5,appearance2
Canon 20D,FL2,HM02,-0.5,appearance2
Canon 20D,FL11,HM02,-0.5,appearance2
Canon 20D,D65,HM02,0.0,appearance2
Canon 20D,A,HM02,0.0,appearance2
Canon 20D,FL2,HM02,0.0,appearance2
Canon 20D,FL11,HM02,0.0,appearance2
Canon 20D,D65,HM02,0.5,appearance2
Canon 20D,A,HM02,0.5,appearance2
Canon 20D,FL2,HM02,0.5,appearance2
Canon 20D,FL11,HM02,0.5,appearance2
Canon 20D,D65,HM03,-0.5,appearance0
Canon 20D,A,HM03,-0.5,appearance0
Canon 20D,FL2,HM03,-0.5,appearance0
Canon 20D,FL11,HM03,-0.5,appearance0
Canon 20D,D65,HM03,0.0,appearance0
Canon 20D,A,HM03,0.0,appearance0
Canon 20D,FL2,HM03,0.0,appearance0
Canon 20D,FL11,HM03,0.0,appearance0
Canon 20D,D65,HM03,0.5,appearance0
Canon 20D,A,HM03,0.5,appearance0
Canon 20D,FL2,HM03,0.5,appearance0
Canon 20D,FL11,HM03,0.5,appearance0
Canon 20D,D65,HM03,-0.5,appearance2
Canon 20D,A,HM03,-0.5,appearance2
Canon 20D,FL2,HM03,-0.5,appearance2
Canon 20D,FL11,HM03,-0.5,appearance2
Canon 20D,D65,HM03,0.0,appearance2
Canon 20D,A,HM03,0.0,appearance2
Canon 20D,FL2,HM03,0.0,appearance2
Canon 20D,FL11,HM03,0.0,appearance2
Canon 20D,D65,HM03,0.5,appearance2
Canon 20D,A,HM03,0.5,appearance2
Canon 20D,FL2,HM03,0.5,appearance2
Canon 20D,FL11,HM03,0.5,appearance2
Canon 20D,D65,HM04,-0.5,appearance0
Canon 20D,A,HM04,-0.5,appearance0
Canon 20D,FL2,HM04,-0.5,appearance0
Canon 20D,FL11,HM04,-0.5,appearance0
Canon 20D,D65,HM04,0.0,appearance0
Canon 20D,A,HM04,0.0,appearance0
Canon 20D,FL2,HM04,0.0,appearance0
Canon 20D,FL11,HM04,0.0,appearance0
Canon 20D,D65,HM04,0.5,appearance0
Canon 20D,A,HM04,0.5,appearance0
Canon 20D,FL2,HM04,0.5,appearance0
Canon 20D,FL11,HM04,0.5,appearance0
Canon 20D,D65,HM04,-0.5,appearance2
Canon 20D,A,HM04,-0.5,appearance2
Canon 20D,FL2,HM04,-0.5,appearance2
Canon 20D,FL11,HM04,-0.5,appearance2
Canon 20D,D65,HM04,0.0,appearance2
Canon 20D,A,HM04,0.0,appearance2
Canon 20D,FL2,HM04,0.0,appearance2
Canon 20D,FL11,HM04,0.0,appearance2
Canon 20D,D65,HM04,0.5,appearance2
Canon 20D,A,HM04,0.5,appearance2
Canon 20D,FL2,HM04,0.5,appearance2
Canon 20D,FL11,HM04,0.5,appearance2
Canon 20D,D65,HM05,-0.5,appearance0
Canon 20D,A,HM05,-0.5,appearance0
Canon 20D,FL2,HM05,-0.5,appearance0
Canon 20D,FL11,HM05,-0.5,appearance0
Canon 20D,D65,HM05,0.0,appearance0
Canon 20D,A,HM05,0.0,appearance0
Canon 20D,FL2,HM05,0.0,appearance0
Canon 20D,FL11,HM05,0.0,appearance0
Canon 20D,D65,HM05,0.5,appearance0
Canon 20D,A,HM05,0.5,appearance0
Canon 20D,FL2,HM05,0.5,appearance0
Canon 20D,FL11,HM05,0.5,appearance0
Canon 20D,D65,HM05,-0.5,appearance2
Canon 20D,A,HM05,-0.5,appearance2
Canon 20D,FL2,HM05,-0.5,appearance2
Canon 20D,FL11,HM05,-0.5,appearance2
Canon 20D,D65,HM05,0.0,appearance2
Canon 20D,A,HM05,0.0,appearance2
Canon 20D,FL2,HM05,0.0,appearance2
Canon 20D,FL11,HM05,0.0,appearance2
Canon 20D,D65,HM05,0.5,appearance2
Canon 20D,A,HM05,0.5,appearance2
Canon 20D,FL2,HM05,0.5,appearance2
Canon 20D,FL11,HM05,0.5,appearance2
