camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,original_sample_id,variable_isolation,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 20D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,R,0.43493571877479553,0.44850838601589205,0.47345310151576997,0.537656307220459,0.5978995263576508,0.6319541931152344,0.535491943359375,0.0389101542532444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.535491943359375,0.0389101542532444,0.43493571877479553,0.6319541931152344
Canon 20D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,G,0.26421743631362915,0.27538769751787184,0.2953253224492073,0.33833566308021545,0.3823752447962761,0.40306994318962097,0.33794504404067993,0.027034210041165352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33794504404067993,0.027034210041165352,0.26421743631362915,0.40306994318962097
Canon 20D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,B,0.06352004408836365,0.07002230942249298,0.08020132556557655,0.10099945962429047,0.12687998861074448,0.13925714790821075,0.10236848145723343,0.014034336432814598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10236848145723343,0.014034336432814598,0.06352004408836365,0.13925714790821075
Canon 300D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,R,0.43075495958328247,0.44430226385593413,0.4690739542245865,0.5328020453453064,0.5925916045904159,0.6262613534927368,0.5306391716003418,0.03860851004719734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306391716003418,0.03860851004719734,0.43075495958328247,0.6262613534927368
Canon 300D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,G,0.26770153641700745,0.2789431783556938,0.29900315403938293,0.3424074649810791,0.38681088536977765,0.40782517194747925,0.3419952690601349,0.027282189577817917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3419952690601349,0.027282189577817917,0.26770153641700745,0.40782517194747925
Canon 300D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,B,0.03803171217441559,0.04526788935065269,0.054676469415426254,0.07478144019842148,0.10000888220965862,0.11416679620742798,0.07592809945344925,0.013747463934123516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07592809945344925,0.013747463934123516,0.03803171217441559,0.11416679620742798
Canon 40D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,R,0.43541789054870605,0.4489874592423439,0.4738976389169693,0.538152277469635,0.5983944326639176,0.6324970722198486,0.5359767079353333,0.03893023356795311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5359767079353333,0.03893023356795311,0.43541789054870605,0.6324970722198486
Canon 40D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,G,0.26611900329589844,0.2773481795191765,0.297447007894516,0.3406921625137329,0.38502460420131684,0.4058782160282135,0.3403138518333435,0.027204403653740883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3403138518333435,0.027204403653740883,0.26611900329589844,0.4058782160282135
Canon 40D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,B,0.05015300214290619,0.05686158310621977,0.06651675477623939,0.08654762804508209,0.11166817285120487,0.12481346726417542,0.08780724555253983,0.013639516197144985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08780724555253983,0.013639516197144985,0.05015300214290619,0.12481346726417542
Canon 500D,FL2,L019,0.4664382001135704,appearance0,0.0,0.0,0,0.0,0.0,L019_A2,camera_only,R,0.43028563261032104,0.4437501737475395,0.4683624342083931,0.5320062935352325,0.5916256546974182,0.6252602934837341,0.5298284888267517,0.038523826748132706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298284888267517,0.038523826748132706,0.43028563261032104,0.6252602934837341
