camera_name,original_sample_id,light_name,variable_isolation
Canon 20D,L019_A2,FL2,camera_only
Canon 300D,L019_A2,FL2,camera_only
Canon 40D,L019_A2,FL2,camera_only
Canon 500D,L019_A2,FL2,camera_only
Canon 600D,L019_A2,FL2,camera_only
Canon 60D,L019_A2,FL2,camera_only
Nikon D200,L019_A2,FL2,camera_only
Nikon D3,L019_A2,FL2,camera_only
Nikon D300s,L019_A2,FL2,camera_only
Nikon D3X,L019_A2,FL2,camera_only
Nikon D700,L019_A2,FL2,camera_only
Nikon D90,L019_A2,FL2,camera_only
Pentax K-5,L019_A2,FL2,camera_only
Canon 20D,L030_A4,FL2,camera_only
Canon 300D,L030_A4,FL2,camera_only
Canon 40D,L030_A4,FL2,camera_only
Canon 500D,L030_A4,FL2,camera_only
Canon 600D,L030_A4,FL2,camera_only
Canon 60D,L030_A4,FL2,camera_only
Nikon D200,L030_A4,FL2,camera_only
Nikon D3,L030_A4,FL2,camera_only
Nikon D300s,L030_A4,FL2,camera_only
Nikon D3X,L030_A4,FL2,camera_only
Nikon D700,L030_A4,FL2,camera_only
Nikon D90,L030_A4,FL2,camera_only
Pentax K-5,L030_A4,FL2,camera_only
Canon 20D,L031_A0,FL2,camera_only
Canon 300D,L031_A0,FL2,camera_only
Canon 40D,L031_A0,FL2,camera_only
Canon 500D,L031_A0,FL2,camera_only
Canon 600D,L031_A0,FL2,camera_only
Canon 60D,L031_A0,FL2,camera_only
Nikon D200,L031_A0,FL2,camera_only
Nikon D3,L031_A0,FL2,camera_only
Nikon D300s,L031_A0,FL2,camera_only
Nikon D3X,L031_A0,FL2,camera_only
Nikon D700,L031_A0,FL2,camera_only
Nikon D90,L031_A0,FL2,camera_only
Pentax K-5,L031_A0,FL2,camera_only
Canon 20D,L031_A3,FL2,camera_only
Canon 300D,L031_A3,FL2,camera_only
Canon 40D,L031_A3,FL2,camera_only
Canon 500D,L031_A3,FL2,camera_only
Canon 600D,L031_A3,FL2,camera_only
