sample_id,latent_id,latent_split,camera_name,light_name,acquisition_role,low_clip_fraction,high_clip_fraction,all_zero_fraction,all_one_fraction,nonfinite_count
L000_A0,L000,train_like_id,Canon 5DMarkII,D65,reference,0.0,0.0,0.0,0.0,0
L000_A1,L000,train_like_id,Nikon D80,D65,camera_only,0.0,0.0,0.0,0.0,0
L000_A2,L000,train_like_id,Canon 5DMarkII,A,light_only,0.0,0.0004018147786458333,0.0,0.0,0
L000_A3,L000,train_like_id,Canon 5DMarkII,D65,appearance_only,0.0,1.0172526041666666e-05,0.0,0.0,0
L000_A4,L000,train_like_id,Nikon D80,A,joint,0.0,0.0,0.0,0.0,0
L001_A0,L001,train_like_id,Nikon D80,A,reference,0.0,0.001983642578125,0.0,0.0,0
L001_A1,L001,train_like_id,Olympus E-PL2,A,camera_only,0.0,0.005366007486979167,0.0,0.0,0
L001_A2,L001,train_like_id,Nikon D80,FL2,light_only,0.0,0.0,0.0,0.0,0
L001_A3,L001,train_like_id,Nikon D80,A,appearance_only,0.0,0.0,0.0,0.0,0
L001_A4,L001,train_like_id,Olympus E-PL2,FL2,joint,0.0,0.0,0.0,0.0,0
L002_A0,L002,train_like_id,Olympus E-PL2,FL2,reference,0.0,0.0,0.0,0.0,0
L002_A1,L002,train_like_id,Canon 300D,FL2,camera_only,0.0,0.0,0.0,0.0,0
L002_A2,L002,train_like_id,Olympus E-PL2,D65,light_only,0.0,0.0,0.0,0.0,0
L002_A3,L002,train_like_id,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0.0,0.0,0
L002_A4,L002,train_like_id,Canon 300D,D65,joint,0.0,5.0862630208333336e-05,0.0,0.0,0
L003_A0,L003,train_like_id,Canon 300D,D65,reference,0.0,0.0,0.0,0.0,0
L003_A1,L003,train_like_id,Canon 5DMarkII,D65,camera_only,0.0,0.0,0.0,0.0,0
L003_A2,L003,train_like_id,Canon 300D,A,light_only,0.0,0.0,0.0,0.0,0
L003_A3,L003,train_like_id,Canon 300D,D65,appearance_only,0.0,0.0,0.0,0.0,0
L003_A4,L003,train_like_id,Canon 5DMarkII,A,joint,0.0,0.0,0.0,0.0,0
L004_A0,L004,train_like_id,Canon 5DMarkII,FL2,reference,0.0,0.0,0.0,0.0,0
L004_A1,L004,train_like_id,Nikon D80,FL2,camera_only,0.0,0.0,0.0,0.0,0
