camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,m_base,h_base,AUDIT_ONLY,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 5DMarkII,D65,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.3846297860145569,0.390740966796875,0.3981437385082245,0.4461948275566101,0.497175395488739,0.5343709588050842,0.4461655020713806,0.029636137187480927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4461655020713806,0.029636137187480927,0.3846297860145569,0.5343709588050842
Canon 5DMarkII,D65,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.20520417392253876,0.2110508494079113,0.21959465742111206,0.2539406567811966,0.2931784987449646,0.3289565145969391,0.2548859119415283,0.022084079682826996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2548859119415283,0.022084079682826996,0.20520417392253876,0.3289565145969391
Canon 5DMarkII,D65,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.04918510466814041,0.05329212881624699,0.06024678144603968,0.0838230550289154,0.11531574465334415,0.2514033615589142,0.08613378554582596,0.01951499655842781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08613378554582596,0.01951499655842781,0.04918510466814041,0.2514033615589142
Canon 5DMarkII,A,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.4168308675289154,0.42256799042224885,0.4302045404911041,0.4812564551830292,0.5354697853326797,0.5737176537513733,0.4812270998954773,0.03140392154455185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4812270998954773,0.03140392154455185,0.4168308675289154,0.5737176537513733
Canon 5DMarkII,A,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.2050764411687851,0.2109988033771515,0.21949144825339317,0.2536882311105728,0.2925751805305481,0.328965425491333,0.25457361340522766,0.0219586119055748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25457361340522766,0.0219586119055748,0.2050764411687851,0.328965425491333
Canon 5DMarkII,A,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.07456846535205841,0.07834650725126266,0.0851771105080843,0.10886114090681076,0.14094458892941475,0.2581363022327423,0.111149862408638,0.01876419223845005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111149862408638,0.01876419223845005,0.07456846535205841,0.2581363022327423
Canon 5DMarkII,FL2,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.3536834418773651,0.3599606424570084,0.36760473251342773,0.4130707085132599,0.461392380297184,0.4982243478298187,0.4130902588367462,0.028156626969575882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4130902588367462,0.028156626969575882,0.3536834418773651,0.4982243478298187
Canon 5DMarkII,FL2,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.2237807810306549,0.22994650900363922,0.23828472942113876,0.2735060304403305,0.31329094618558884,0.34630072116851807,0.274252712726593,0.022518545389175415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274252712726593,0.022518545389175415,0.2237807810306549,0.34630072116851807
Canon 5DMarkII,FL2,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.029818687587976456,0.033706620521843436,0.04091592691838741,0.0644647590816021,0.09574370086193085,0.24653269350528717,0.06682248413562775,0.02043558843433857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06682248413562775,0.02043558843433857,0.029818687587976456,0.24653269350528717
Canon 5DMarkII,FL11,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.38595324754714966,0.39212464094161986,0.3999492824077606,0.44839827716350555,0.5000939965248108,0.5384206771850586,0.44844603538513184,0.030007924884557724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44844603538513184,0.030007924884557724,0.38595324754714966,0.5384206771850586
Canon 5DMarkII,FL11,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.20923325419425964,0.2151944264769554,0.2235426865518093,0.2578113377094269,0.2966942861676216,0.3316705822944641,0.2586539387702942,0.021968357264995575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586539387702942,0.021968357264995575,0.20923325419425964,0.3316705822944641
Canon 5DMarkII,FL11,HM00,-0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.03288596123456955,0.03693273849785328,0.044356136582791805,0.06811561062932014,0.09958297200500965,0.2473675012588501,0.07045100629329681,0.020313963294029236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07045100629329681,0.020313963294029236,0.03288596123456955,0.2473675012588501
Canon 5DMarkII,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.45292747020721436,0.45998803079128264,0.46854083985090256,0.5240568220615387,0.5829573273658752,0.6259313225746155,0.5240229368209839,0.03424018993973732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240229368209839,0.03424018993973732,0.45292747020721436,0.6259313225746155
Canon 5DMarkII,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.24562759697437286,0.2523825570940971,0.26225367188453674,0.30193541944026947,0.3472689688205719,0.38860517740249634,0.30302751064300537,0.02551490068435669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30302751064300537,0.02551490068435669,0.24562759697437286,0.38860517740249634
Canon 5DMarkII,D65,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.06537054479122162,0.070115602388978,0.0781506821513176,0.10538959503173828,0.1417747586965561,0.2990039587020874,0.10805929452180862,0.02254670299589634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10805929452180862,0.02254670299589634,0.06537054479122162,0.2990039587020874
Canon 5DMarkII,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.49013108015060425,0.4967594683170319,0.50558240711689,0.5645653307437897,0.6272008866071701,0.6713905930519104,0.5645314455032349,0.036282606422901154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5645314455032349,0.036282606422901154,0.49013108015060425,0.6713905930519104
Canon 5DMarkII,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.245480015873909,0.2523224398493767,0.2621344327926636,0.3016437739133835,0.3465719148516655,0.3886154890060425,0.30266672372817993,0.02536994218826294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30266672372817993,0.02536994218826294,0.245480015873909,0.3886154890060425
Canon 5DMarkII,A,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.09469727426767349,0.0990622453391552,0.10695400275290012,0.13431741297245026,0.17138510942459106,0.30678287148475647,0.1369616985321045,0.021679259836673737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1369616985321045,0.021679259836673737,0.09469727426767349,0.30678287148475647
Canon 5DMarkII,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.41717350482940674,0.4244259029626846,0.4332575127482414,0.4857867658138275,0.5416153222322464,0.5841692090034485,0.4858093559741974,0.032530833035707474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4858093559741974,0.032530833035707474,0.41717350482940674,0.5841692090034485
Canon 5DMarkII,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.2670901119709015,0.27421371191740035,0.28384730964899063,0.32454031705856323,0.3705059289932251,0.408643901348114,0.32540303468704224,0.02601686306297779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32540303468704224,0.02601686306297779,0.2670901119709015,0.408643901348114
Canon 5DMarkII,FL2,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.042120568454265594,0.047208968177437784,0.055816725827753544,0.08302393183112144,0.11916214786469936,0.2933765947818756,0.08574110269546509,0.023621683940291405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08574110269546509,0.023621683940291405,0.042120568454265594,0.2933765947818756
Canon 5DMarkII,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.45445650815963745,0.46158666759729383,0.4706268832087517,0.526602566242218,0.586329385638237,0.6306102275848389,0.52665776014328,0.03466973826289177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52665776014328,0.03466973826289177,0.45445650815963745,0.6306102275848389
Canon 5DMarkII,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.2502825856208801,0.25716985017061234,0.26681505143642426,0.3064074218273163,0.3513309434056282,0.3917408883571625,0.30738091468811035,0.02538120001554489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30738091468811035,0.02538120001554489,0.2502825856208801,0.3917408883571625
Canon 5DMarkII,FL11,HM00,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.04616463929414749,0.05117667503654957,0.05979138147085905,0.08724195137619972,0.12359785288572311,0.294341117143631,0.08993887901306152,0.023472057655453682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08993887901306152,0.023472057655453682,0.04616463929414749,0.294341117143631
Canon 5DMarkII,D65,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.5318353772163391,0.53999283015728,0.54987433552742,0.6140148341655731,0.6820657253265381,0.7317158579826355,0.6139757037162781,0.0395594947040081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6139757037162781,0.0395594947040081,0.5318353772163391,0.7317158579826355
Canon 5DMarkII,D65,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.29233089089393616,0.30013528019189833,0.311539888381958,0.3573862910270691,0.40976253151893616,0.457520455121994,0.35864806175231934,0.029478708282113075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35864806175231934,0.029478708282113075,0.29233089089393616,0.457520455121994
Canon 5DMarkII,D65,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.08407042920589447,0.08955265022814274,0.09883599728345871,0.13030654937028885,0.17234424874186516,0.35399943590164185,0.13339099287986755,0.02604939416050911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13339099287986755,0.02604939416050911,0.08407042920589447,0.35399943590164185
Canon 5DMarkII,A,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.5748186707496643,0.5824767768383026,0.5926703810691833,0.660816490650177,0.7331826090812683,0.7842373251914978,0.6607773303985596,0.04191920533776283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607773303985596,0.04191920533776283,0.5748186707496643,0.7842373251914978
Canon 5DMarkII,A,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.29216039180755615,0.30006580203771593,0.3114021345973015,0.3570493459701538,0.40895719826221466,0.4575323462486267,0.35823121666908264,0.029311230406165123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35823121666908264,0.029311230406165123,0.29216039180755615,0.4575323462486267
Canon 5DMarkII,A,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.11795315146446228,0.12299622893333435,0.1321139931678772,0.16372837871313095,0.20655465126037598,0.36298683285713196,0.16678345203399658,0.025047192350029945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16678345203399658,0.025047192350029945,0.11795315146446228,0.36298683285713196
Canon 5DMarkII,FL2,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.49052694439888,0.49890600591897966,0.5091096311807632,0.5697994530200958,0.6343011558055878,0.6834658980369568,0.5698255896568298,0.037584587931632996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5698255896568298,0.037584587931632996,0.49052694439888,0.6834658980369568
Canon 5DMarkII,FL2,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.31712770462036133,0.3253579407930374,0.33648815006017685,0.38350293040275574,0.4366094321012497,0.4806722104549408,0.3844996690750122,0.03005865402519703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3844996690750122,0.03005865402519703,0.31712770462036133,0.4806722104549408
Canon 5DMarkII,FL2,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.057208508253097534,0.06308740489184857,0.07303239963948727,0.10446632280945778,0.1462187059223652,0.3474978506565094,0.10760562121868134,0.027291376143693924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10760562121868134,0.027291376143693924,0.057208508253097534,0.3474978506565094
Canon 5DMarkII,FL11,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.5336019396781921,0.5418398082256317,0.5522844195365906,0.6169560849666595,0.6859616190195084,0.73712158203125,0.6170198321342468,0.0400557741522789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6170198321342468,0.0400557741522789,0.5336019396781921,0.73712158203125
Canon 5DMarkII,FL11,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.29770907759666443,0.305666284263134,0.31680987775325775,0.36255304515361786,0.4144555404782295,0.46114328503608704,0.3636777698993683,0.029324239119887352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636777698993683,0.029324239119887352,0.29770907759666443,0.46114328503608704
Canon 5DMarkII,FL11,HM00,0.5,appearance0,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.06188083812594414,0.06767151057720185,0.07762453146278858,0.1093396246433258,0.15134350582957268,0.3486121892929077,0.11245552450418472,0.0271185040473938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11245552450418472,0.0271185040473938,0.06188083812594414,0.3486121892929077
Canon 5DMarkII,D65,HM00,-0.5,appearance2,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.3494090139865875,0.3648897111415863,0.3825420141220093,0.4459698498249054,0.4997074753046036,0.5306292176246643,0.4449380040168762,0.03532743826508522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4449380040168762,0.03532743826508522,0.3494090139865875,0.5306292176246643
Canon 5DMarkII,D65,HM00,-0.5,appearance2,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.19295263290405273,0.2040976993739605,0.21258514747023582,0.25339291989803314,0.2924702987074852,0.31967347860336304,0.25342392921447754,0.024185428395867348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25342392921447754,0.024185428395867348,0.19295263290405273,0.31967347860336304
Canon 5DMarkII,D65,HM00,-0.5,appearance2,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.042939797043800354,0.05260368380695581,0.05946697108447552,0.08305680379271507,0.11128418520092964,0.13060206174850464,0.0837210938334465,0.015109696425497532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0837210938334465,0.015109696425497532,0.042939797043800354,0.13060206174850464
Canon 5DMarkII,A,HM00,-0.5,appearance2,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.3775855600833893,0.39375259429216386,0.4132799506187439,0.48117101192474365,0.5381620079278946,0.5704445242881775,0.4800015687942505,0.037611208856105804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4800015687942505,0.037611208856105804,0.3775855600833893,0.5704445242881775
Canon 5DMarkII,A,HM00,-0.5,appearance2,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,G,0.19299522042274475,0.20398521795868874,0.21248209848999977,0.25314125418663025,0.2918843626976013,0.3186279237270355,0.253109872341156,0.024076057597994804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253109872341156,0.024076057597994804,0.19299522042274475,0.3186279237270355
Canon 5DMarkII,A,HM00,-0.5,appearance2,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,B,0.06705159693956375,0.07687597945332528,0.08333081379532814,0.10821510851383209,0.13758248090744019,0.15823514759540558,0.10900339484214783,0.015943564474582672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10900339484214783,0.015943564474582672,0.06705159693956375,0.15823514759540558
Canon 5DMarkII,FL2,HM00,-0.5,appearance2,0.0,0.0,0,0.0,0.0,0.75,0.1875,True,R,0.3230733573436737,0.3377385184168816,0.35337334126234055,0.41266562044620514,0.4637552499771118,0.4939119219779968,0.4118470549583435,0.0332929827272892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4118470549583435,0.0332929827272892,0.3230733573436737,0.4939119219779968
