camera_name,min_sam_to_fixed_seen,mean_sam_to_fixed_seen,aggregate_seen_pairwise_sam_if_added,tv_coverage_increment,worst_channel_zero_fraction,worst_channel_one_fraction,worst_overall_low_clip_fraction,worst_overall_high_clip_fraction,selection_rank
Canon 300D,0.19848129710211646,0.21303778754846278,1.3741508427559377,0.11729747882931753,0.0,0.0,0.0,0.0,1
Pentax K-5,0.17100920206249046,0.19152413896882525,1.3096098970170251,0.11018525887671855,0.006866455078125,0.0,0.002288818359375,0.0,2
Nikon D3X,0.14402544755179214,0.1818490528101687,1.2805846385410553,0.09933458401035951,0.0,0.0,0.0,0.0,3
Canon 20D,0.1428924719676572,0.18463397244128107,1.2889393974343926,0.1020524294963776,0.0,0.0,0.0,0.0,4
Nikon D90,0.13793933291994362,0.17711140395126623,1.266371691964348,0.10074983554754609,0.0,0.0,0.0,0.0,5
Canon 500D,0.13541970226962927,0.24596600417164902,1.4729354926254963,0.14870965353387297,0.060272216796875,0.0,0.020090738932291668,0.0,6
Nikon D300s,0.1261009173700187,0.16422912232568262,1.2277248470875972,0.09585219698556602,0.0,0.0,0.0,0.0,7
Nikon D700,0.12420507896927907,0.17837261801217474,1.2701553341470735,0.10022935325916366,0.0,0.0,0.0,0.0,8
Nikon D3,0.12256720362740155,0.18193404129479118,1.2808396039949228,0.10301921025242311,0.0,0.0,0.0,0.0,9
Nikon D200,0.12206232095362783,0.1908199598626874,1.3074973596986115,0.10779820369663995,0.0655670166015625,0.0,0.021855672200520832,0.0,10
Canon 40D,0.1037422358468888,0.19295352798156665,1.3138980640552491,0.1082212805873104,0.0,0.0,0.0,0.0,11
Canon 600D,0.09817280822773677,0.2024272749935887,1.3423193050913154,0.11189879007800795,0.0,0.0,0.0,0.0,12
Canon 60D,0.09752544612467906,0.19825506355919265,1.3298026707881272,0.1096904422528146,0.01324462890625,0.0,0.004414876302083333,0.0,13
