AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,sample_id,latent_id,latent_split,acquisition_id,acquisition_role,camera,light,camera_role,light_role,M_mean,H_mean,M_base,H_base,mask_category,valid_skin_fraction,original_exposure_ev,final_exposure,attempt_count,rejection_reason,final_P_mean,final_P_max,final_S_mean,valid_pixel_count,high_clip_element_fraction,high_clip_pixel_any_fraction,high_clip_pixel_all_fraction,low_clip_element_fraction,low_clip_pixel_any_fraction,low_clip_pixel_all_fraction,R_high_clip_fraction,R_low_clip_fraction,G_high_clip_fraction,G_low_clip_fraction,B_high_clip_fraction,B_low_clip_fraction,finite,nonfinite_count
True,True,True,True,L000_A0,L000,train_like_id,A0,reference,Canon 5DMarkII,D65,seen,seen,0.02092340961098671,0.02080516703426838,0.020833333333333332,0.020833333333333332,Full,1.0,-0.053256313051935567,0.0757891302036513,1,,0.0006196330650709569,0.07411184906959534,1.0,65536,0.0005950927734375,0.0017852783203125,0.0,0.0,0.0,0.0,0.0017852783203125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L000_A1,L000,train_like_id,A1,camera_only,Nikon D80,D65,seen,seen,0.02092340961098671,0.02080516703426838,0.020833333333333332,0.020833333333333332,Full,1.0,-0.053256313051935567,-0.13351310985414894,1,,0.0006196330650709569,0.07411184906959534,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L000_A2,L000,train_like_id,A2,light_only,Canon 5DMarkII,A,seen,seen,0.02092340961098671,0.02080516703426838,0.020833333333333332,0.020833333333333332,Full,1.0,-0.053256313051935567,0.1526832893825243,1,,0.0006196330650709569,0.07411184906959534,1.0,65536,0.012852986653645834,0.0385589599609375,0.0,0.0,0.0,0.0,0.0385589599609375,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L000_A3,L000,train_like_id,A3,appearance_only,Canon 5DMarkII,D65,seen,seen,0.02092340961098671,0.02080516703426838,0.020833333333333332,0.020833333333333332,Full,1.0,0.17962934835092148,-0.4046478832308244,1,,0.0,0.0,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L000_A4,L000,train_like_id,A4,joint,Nikon D80,A,seen,seen,0.02092340961098671,0.02080516703426838,0.020833333333333332,0.020833333333333332,Full,1.0,-0.401532918673288,0.15928725204756444,1,,0.0,0.0,1.0,65536,0.037638346354166664,0.1129150390625,0.0,0.0,0.0,0.0,0.1129150390625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L001_A0,L001,train_like_id,A0,reference,Nikon D80,A,seen,seen,0.06238316744565964,0.31124943494796753,0.0625,0.3125,Full,1.0,0.20575182274671933,0.2872826857785682,1,,0.0,0.0,1.0,65536,0.0443115234375,0.1329345703125,0.0,0.0,0.0,0.0,0.1329345703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L001_A1,L001,train_like_id,A1,camera_only,Olympus E-PL2,A,seen,seen,0.06238316744565964,0.31124943494796753,0.0625,0.3125,Full,1.0,0.20575182274671933,-0.48692384285594353,1,,0.0,0.0,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L001_A2,L001,train_like_id,A2,light_only,Nikon D80,FL2,seen,seen,0.06238316744565964,0.31124943494796753,0.0625,0.3125,Full,1.0,0.20575182274671933,-0.15671302143244586,1,,0.0,0.0,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L001_A3,L001,train_like_id,A3,appearance_only,Nikon D80,A,seen,seen,0.06238316744565964,0.31124943494796753,0.0625,0.3125,Full,1.0,0.17174965944994292,-0.2214863113420497,1,,0.0,0.0,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L001_A4,L001,train_like_id,A4,joint,Olympus E-PL2,FL2,seen,seen,0.06238316744565964,0.31124943494796753,0.0625,0.3125,Full,1.0,-0.3941284834228982,0.2912450886526582,1,,0.0002499365946277976,0.027868319302797318,1.0,65536,0.0013020833333333333,0.00390625,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L002_A0,L002,train_like_id,A0,reference,Olympus E-PL2,FL2,seen,seen,0.10390853136777878,0.6039610505104065,0.10416666666666667,0.6041666666666666,Full,1.0,-0.2414350554121728,-0.3465308263807174,1,,0.0006172306602820754,0.07683760672807693,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L002_A1,L002,train_like_id,A1,camera_only,Canon 300D,FL2,seen,seen,0.10390853136777878,0.6039610505104065,0.10416666666666667,0.6041666666666666,Full,1.0,-0.2414350554121728,-0.13718868977088433,1,,0.0006172306602820754,0.07683760672807693,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L002_A2,L002,train_like_id,A2,light_only,Olympus E-PL2,D65,seen,seen,0.10390853136777878,0.6039610505104065,0.10416666666666667,0.6041666666666666,Full,1.0,-0.2414350554121728,-0.07226232366801655,1,,0.0006172306602820754,0.07683760672807693,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L002_A3,L002,train_like_id,A3,appearance_only,Olympus E-PL2,FL2,seen,seen,0.10390853136777878,0.6039610505104065,0.10416666666666667,0.6041666666666666,Full,1.0,-0.2245483321906081,0.09743288328252064,1,,0.0006064741755835712,0.06097156181931496,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L002_A4,L002,train_like_id,A4,joint,Canon 300D,D65,seen,seen,0.10390853136777878,0.6039610505104065,0.10416666666666667,0.6041666666666666,Full,1.0,0.11744073848892123,-0.49247678048851495,1,,8.913069905247539e-05,0.02798188291490078,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
