AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,latent_id,latent_split,m_base,h_base,M_mean,H_mean,mask_hash
True,True,True,True,L000,train_like_id,0.020833333333333332,0.020833333333333332,0.02092340961098671,0.02080516703426838,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L001,train_like_id,0.0625,0.3125,0.06238316744565964,0.31124943494796753,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L002,train_like_id,0.10416666666666667,0.6041666666666666,0.10390853136777878,0.6039610505104065,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L003,train_like_id,0.14583333333333334,0.8958333333333334,0.14627191424369812,0.8958166837692261,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L004,train_like_id,0.1875,0.1875,0.18724393844604492,0.1873900294303894,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L005,train_like_id,0.22916666666666666,0.4791666666666667,0.22789019346237183,0.4788760244846344,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L006,train_like_id,0.2708333333333333,0.7708333333333334,0.2705046534538269,0.7708182334899902,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L007,train_like_id,0.3125,0.0625,0.31254762411117554,0.06252941489219666,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L008,train_like_id,0.3541666666666667,0.3541666666666667,0.3542335331439972,0.35419145226478577,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L009,train_like_id,0.3958333333333333,0.6458333333333334,0.3961254954338074,0.6454343795776367,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L010,train_like_id,0.4375,0.9375,0.43793147802352905,0.9376364946365356,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L011,train_like_id,0.4791666666666667,0.22916666666666666,0.4791778326034546,0.22908633947372437,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,L012,train_like_id,0.5208333333333334,0.5208333333333334,0.520555317401886,0.5201461911201477,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
