AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,sample_id,latent_id,latent_split,acquisition_id,acquisition_role,camera,light,camera_role,light_role,M_mean,H_mean,M_base,H_base,mask_category,valid_skin_fraction,original_exposure_ev,final_exposure,attempt_count,rejection_reason,final_P_mean,final_P_max,final_S_mean,valid_pixel_count,high_clip_element_fraction,high_clip_pixel_any_fraction,high_clip_pixel_all_fraction,low_clip_element_fraction,low_clip_pixel_any_fraction,low_clip_pixel_all_fraction,R_high_clip_fraction,R_low_clip_fraction,G_high_clip_fraction,G_low_clip_fraction,B_high_clip_fraction,B_low_clip_fraction,finite,nonfinite_count
True,True,True,True,R1V000_A0,R1V000,train_like_id,A0,reference,Canon 5DMarkII,D65,seen,seen,0.010370396077632904,0.010447253473103046,0.010416666666666666,0.010416666666666666,Full,1.0,0.31536873421744616,0.30459741106047156,1,,0.00024211459094658494,0.027755895629525185,1.0,65536,0.0006663004557291666,0.0019989013671875,0.0,0.0,0.0,0.0,0.0019989013671875,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V000_A1,R1V000,train_like_id,A1,camera_only,Nikon D80,D65,seen,seen,0.010370396077632904,0.010447253473103046,0.010416666666666666,0.010416666666666666,Full,1.0,0.31536873421744616,0.1039927543502549,1,,0.00024211459094658494,0.027755895629525185,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V000_A2,R1V000,train_like_id,A2,light_only,Canon 5DMarkII,A,seen,seen,0.010370396077632904,0.010447253473103046,0.010416666666666666,0.010416666666666666,Full,1.0,0.31536873421744616,-0.10650898454551949,1,,0.00024211459094658494,0.027755895629525185,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V000_A3,R1V000,train_like_id,A3,appearance_only,Canon 5DMarkII,D65,seen,seen,0.010370396077632904,0.010447253473103046,0.010416666666666666,0.010416666666666666,Full,1.0,0.30680300180913167,0.10230309885285482,1,,0.0005400330992415547,0.06756306439638138,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V000_A4,R1V000,train_like_id,A4,joint,Nikon D80,A,seen,seen,0.010370396077632904,0.010447253473103046,0.010416666666666666,0.010416666666666666,Full,1.0,-0.4187672206666393,0.19620227397693246,1,,0.0003496492572594434,0.05669531226158142,1.0,65536,0.045583089192708336,0.136749267578125,0.0,0.0,0.0,0.0,0.136749267578125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V001_A0,R1V001,train_like_id,A0,reference,Nikon D80,A,seen,seen,0.0312192440032959,0.15642458200454712,0.03125,0.15625,Full,1.0,0.3379093928483087,0.2505409363051052,1,,0.0,0.0,1.0,65536,0.0284881591796875,0.0854644775390625,0.0,0.0,0.0,0.0,0.0854644775390625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V001_A1,R1V001,train_like_id,A1,camera_only,Olympus E-PL2,A,seen,seen,0.0312192440032959,0.15642458200454712,0.03125,0.15625,Full,1.0,0.3379093928483087,0.12451008511894057,1,,0.0,0.0,1.0,65536,0.0010833740234375,0.0032501220703125,0.0,0.0,0.0,0.0,0.0032501220703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V001_A2,R1V001,train_like_id,A2,light_only,Nikon D80,FL2,seen,seen,0.0312192440032959,0.15642458200454712,0.03125,0.15625,Full,1.0,0.3379093928483087,-0.4217681476130683,1,,0.0,0.0,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V001_A3,R1V001,train_like_id,A3,appearance_only,Nikon D80,A,seen,seen,0.0312192440032959,0.15642458200454712,0.03125,0.15625,Full,1.0,-0.24510311888844794,-0.28263559995918525,1,,0.0,0.0,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V001_A4,R1V001,train_like_id,A4,joint,Olympus E-PL2,FL2,seen,seen,0.0312192440032959,0.15642458200454712,0.03125,0.15625,Full,1.0,0.4866836585598484,-0.4008471243474409,1,,0.0,0.0,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V002_A0,R1V002,train_like_id,A0,reference,Olympus E-PL2,FL2,seen,seen,0.05208373814821243,0.3018946051597595,0.052083333333333336,0.3020833333333333,Full,1.0,-0.44267587947266207,0.12466327867011395,1,,0.0005679508321918547,0.046869710087776184,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V002_A1,R1V002,train_like_id,A1,camera_only,Canon 300D,FL2,seen,seen,0.05208373814821243,0.3018946051597595,0.052083333333333336,0.3020833333333333,Full,1.0,-0.44267587947266207,-0.06806301260076225,1,,0.0005679508321918547,0.046869710087776184,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,R1V002_A2,R1V002,train_like_id,A2,light_only,Olympus E-PL2,D65,seen,seen,0.05208373814821243,0.3018946051597595,0.052083333333333336,0.3020833333333333,Full,1.0,-0.44267587947266207,-0.023879244688002677,1,,0.0005679508321918547,0.046869710087776184,1.0,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
