AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,latent_id,latent_split,m_base,h_base,M_mean,H_mean,mask_hash
True,True,True,True,R1V000,train_like_id,0.010416666666666666,0.010416666666666666,0.010370396077632904,0.010447253473103046,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V001,train_like_id,0.03125,0.15625,0.0312192440032959,0.15642458200454712,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V002,train_like_id,0.052083333333333336,0.3020833333333333,0.05208373814821243,0.3018946051597595,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V003,train_like_id,0.07291666666666667,0.4479166666666667,0.07287731766700745,0.44816866517066956,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V004,train_like_id,0.09375,0.59375,0.09376463294029236,0.5932866930961609,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V005,train_like_id,0.11458333333333333,0.7395833333333334,0.11498910188674927,0.7399826049804688,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V006,train_like_id,0.13541666666666666,0.8854166666666666,0.13550619781017303,0.8859260082244873,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V007,train_like_id,0.15625,0.03125,0.1562059074640274,0.03132350742816925,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V008,train_like_id,0.17708333333333334,0.17708333333333334,0.1772472858428955,0.17676138877868652,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V009,train_like_id,0.19791666666666666,0.3229166666666667,0.19767817854881287,0.3228674530982971,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V010,train_like_id,0.21875,0.46875,0.2177886962890625,0.4694370627403259,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V011,train_like_id,0.23958333333333334,0.6145833333333334,0.24028050899505615,0.6149855256080627,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V012,train_like_id,0.2604166666666667,0.7604166666666666,0.26039862632751465,0.7605004906654358,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V013,train_like_id,0.28125,0.90625,0.28068339824676514,0.9066109657287598,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V014,train_like_id,0.3020833333333333,0.052083333333333336,0.30185651779174805,0.051981259137392044,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V015,train_like_id,0.3229166666666667,0.19791666666666666,0.32234281301498413,0.19769945740699768,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V016,train_like_id,0.34375,0.34375,0.34357714653015137,0.34395498037338257,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V017,train_like_id,0.3645833333333333,0.4895833333333333,0.36412423849105835,0.48919177055358887,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V018,train_like_id,0.3854166666666667,0.6354166666666666,0.38587501645088196,0.6351386308670044,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V019,train_like_id,0.40625,0.78125,0.4058278501033783,0.7819311618804932,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V020,train_like_id,0.4270833333333333,0.9270833333333334,0.42621445655822754,0.9269512295722961,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V021,train_like_id,0.4479166666666667,0.07291666666666667,0.4477611482143402,0.07261552661657333,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V022,train_like_id,0.46875,0.21875,0.468181848526001,0.21838700771331787,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V023,train_like_id,0.4895833333333333,0.3645833333333333,0.48917102813720703,0.36406904458999634,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V024,train_like_id,0.5104166666666666,0.5104166666666666,0.5097761750221252,0.5104938745498657,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V025,train_like_id,0.53125,0.65625,0.5315518379211426,0.656191885471344,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V026,train_like_id,0.5520833333333334,0.8020833333333334,0.5523235201835632,0.8026220798492432,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V027,train_like_id,0.5729166666666666,0.9479166666666666,0.5738744735717773,0.9479052424430847,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V028,train_like_id,0.59375,0.09375,0.5941551923751831,0.09363406151533127,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V029,train_like_id,0.6145833333333334,0.23958333333333334,0.6140372157096863,0.23905447125434875,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V030,train_like_id,0.6354166666666666,0.3854166666666667,0.6361595392227173,0.3852907717227936,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V031,train_like_id,0.65625,0.53125,0.6566280722618103,0.5309417247772217,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
True,True,True,True,R1V032,train_like_id,0.6770833333333334,0.6770833333333334,0.6775602698326111,0.6757696270942688,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff
