AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,pair_id,latent_id,m_hash_equal,h_hash_equal,mask_hash_equal
True,True,True,True,R1V000_A0_A1,R1V000,True,True,True
True,True,True,True,R1V000_A0_A2,R1V000,True,True,True
True,True,True,True,R1V000_A0_A3,R1V000,True,True,True
True,True,True,True,R1V000_A0_A4,R1V000,True,True,True
True,True,True,True,R1V001_A0_A1,R1V001,True,True,True
True,True,True,True,R1V001_A0_A2,R1V001,True,True,True
True,True,True,True,R1V001_A0_A3,R1V001,True,True,True
True,True,True,True,R1V001_A0_A4,R1V001,True,True,True
True,True,True,True,R1V002_A0_A1,R1V002,True,True,True
True,True,True,True,R1V002_A0_A2,R1V002,True,True,True
True,True,True,True,R1V002_A0_A3,R1V002,True,True,True
True,True,True,True,R1V002_A0_A4,R1V002,True,True,True
True,True,True,True,R1V003_A0_A1,R1V003,True,True,True
True,True,True,True,R1V003_A0_A2,R1V003,True,True,True
True,True,True,True,R1V003_A0_A3,R1V003,True,True,True
True,True,True,True,R1V003_A0_A4,R1V003,True,True,True
True,True,True,True,R1V004_A0_A1,R1V004,True,True,True
True,True,True,True,R1V004_A0_A2,R1V004,True,True,True
True,True,True,True,R1V004_A0_A3,R1V004,True,True,True
True,True,True,True,R1V004_A0_A4,R1V004,True,True,True
True,True,True,True,R1V005_A0_A1,R1V005,True,True,True
True,True,True,True,R1V005_A0_A2,R1V005,True,True,True
True,True,True,True,R1V005_A0_A3,R1V005,True,True,True
True,True,True,True,R1V005_A0_A4,R1V005,True,True,True
True,True,True,True,R1V006_A0_A1,R1V006,True,True,True
True,True,True,True,R1V006_A0_A2,R1V006,True,True,True
True,True,True,True,R1V006_A0_A3,R1V006,True,True,True
True,True,True,True,R1V006_A0_A4,R1V006,True,True,True
True,True,True,True,R1V007_A0_A1,R1V007,True,True,True
True,True,True,True,R1V007_A0_A2,R1V007,True,True,True
True,True,True,True,R1V007_A0_A3,R1V007,True,True,True
True,True,True,True,R1V007_A0_A4,R1V007,True,True,True
True,True,True,True,R1V008_A0_A1,R1V008,True,True,True
True,True,True,True,R1V008_A0_A2,R1V008,True,True,True
True,True,True,True,R1V008_A0_A3,R1V008,True,True,True
True,True,True,True,R1V008_A0_A4,R1V008,True,True,True
True,True,True,True,R1V009_A0_A1,R1V009,True,True,True
True,True,True,True,R1V009_A0_A2,R1V009,True,True,True
True,True,True,True,R1V009_A0_A3,R1V009,True,True,True
True,True,True,True,R1V009_A0_A4,R1V009,True,True,True
True,True,True,True,R1V010_A0_A1,R1V010,True,True,True
True,True,True,True,R1V010_A0_A2,R1V010,True,True,True
True,True,True,True,R1V010_A0_A3,R1V010,True,True,True
True,True,True,True,R1V010_A0_A4,R1V010,True,True,True
True,True,True,True,R1V011_A0_A1,R1V011,True,True,True
True,True,True,True,R1V011_A0_A2,R1V011,True,True,True
True,True,True,True,R1V011_A0_A3,R1V011,True,True,True
True,True,True,True,R1V011_A0_A4,R1V011,True,True,True
True,True,True,True,R1V012_A0_A1,R1V012,True,True,True
True,True,True,True,R1V012_A0_A2,R1V012,True,True,True
True,True,True,True,R1V012_A0_A3,R1V012,True,True,True
True,True,True,True,R1V012_A0_A4,R1V012,True,True,True
True,True,True,True,R1V013_A0_A1,R1V013,True,True,True
True,True,True,True,R1V013_A0_A2,R1V013,True,True,True
True,True,True,True,R1V013_A0_A3,R1V013,True,True,True
True,True,True,True,R1V013_A0_A4,R1V013,True,True,True
True,True,True,True,R1V014_A0_A1,R1V014,True,True,True
True,True,True,True,R1V014_A0_A2,R1V014,True,True,True
True,True,True,True,R1V014_A0_A3,R1V014,True,True,True
True,True,True,True,R1V014_A0_A4,R1V014,True,True,True
True,True,True,True,R1V015_A0_A1,R1V015,True,True,True
True,True,True,True,R1V015_A0_A2,R1V015,True,True,True
True,True,True,True,R1V015_A0_A3,R1V015,True,True,True
True,True,True,True,R1V015_A0_A4,R1V015,True,True,True
True,True,True,True,R1V016_A0_A1,R1V016,True,True,True
True,True,True,True,R1V016_A0_A2,R1V016,True,True,True
True,True,True,True,R1V016_A0_A3,R1V016,True,True,True
True,True,True,True,R1V016_A0_A4,R1V016,True,True,True
True,True,True,True,R1V017_A0_A1,R1V017,True,True,True
True,True,True,True,R1V017_A0_A2,R1V017,True,True,True
True,True,True,True,R1V017_A0_A3,R1V017,True,True,True
True,True,True,True,R1V017_A0_A4,R1V017,True,True,True
True,True,True,True,R1V018_A0_A1,R1V018,True,True,True
True,True,True,True,R1V018_A0_A2,R1V018,True,True,True
True,True,True,True,R1V018_A0_A3,R1V018,True,True,True
True,True,True,True,R1V018_A0_A4,R1V018,True,True,True
True,True,True,True,R1V019_A0_A1,R1V019,True,True,True
True,True,True,True,R1V019_A0_A2,R1V019,True,True,True
True,True,True,True,R1V019_A0_A3,R1V019,True,True,True
True,True,True,True,R1V019_A0_A4,R1V019,True,True,True
True,True,True,True,R1V020_A0_A1,R1V020,True,True,True
True,True,True,True,R1V020_A0_A2,R1V020,True,True,True
True,True,True,True,R1V020_A0_A3,R1V020,True,True,True
True,True,True,True,R1V020_A0_A4,R1V020,True,True,True
True,True,True,True,R1V021_A0_A1,R1V021,True,True,True
True,True,True,True,R1V021_A0_A2,R1V021,True,True,True
True,True,True,True,R1V021_A0_A3,R1V021,True,True,True
True,True,True,True,R1V021_A0_A4,R1V021,True,True,True
True,True,True,True,R1V022_A0_A1,R1V022,True,True,True
True,True,True,True,R1V022_A0_A2,R1V022,True,True,True
True,True,True,True,R1V022_A0_A3,R1V022,True,True,True
True,True,True,True,R1V022_A0_A4,R1V022,True,True,True
True,True,True,True,R1V023_A0_A1,R1V023,True,True,True
True,True,True,True,R1V023_A0_A2,R1V023,True,True,True
True,True,True,True,R1V023_A0_A3,R1V023,True,True,True
True,True,True,True,R1V023_A0_A4,R1V023,True,True,True
True,True,True,True,R1V024_A0_A1,R1V024,True,True,True
