latent_id,M_mean,H_mean,camera,light,latent_split,acquisition_role,attempt_count,rejection_reason,final_exposure,final_P_mean,final_P_max,final_S_mean
R1V000,0.010370396077632904,0.010447253473103046,Canon 5DMarkII,D65,train_like_id,reference,1,,0.30459741106047156,0.00024211459094658494,0.027755895629525185,1.0
R1V000,0.010370396077632904,0.010447253473103046,Nikon D80,D65,train_like_id,camera_only,1,,0.1039927543502549,0.00024211459094658494,0.027755895629525185,1.0
R1V000,0.010370396077632904,0.010447253473103046,Canon 5DMarkII,A,train_like_id,light_only,1,,-0.10650898454551949,0.00024211459094658494,0.027755895629525185,1.0
R1V000,0.010370396077632904,0.010447253473103046,Canon 5DMarkII,D65,train_like_id,appearance_only,1,,0.10230309885285482,0.0005400330992415547,0.06756306439638138,1.0
R1V000,0.010370396077632904,0.010447253473103046,Nikon D80,A,train_like_id,joint,1,,0.19620227397693246,0.0003496492572594434,0.05669531226158142,1.0
R1V001,0.0312192440032959,0.15642458200454712,Nikon D80,A,train_like_id,reference,1,,0.2505409363051052,0.0,0.0,1.0
R1V001,0.0312192440032959,0.15642458200454712,Olympus E-PL2,A,train_like_id,camera_only,1,,0.12451008511894057,0.0,0.0,1.0
R1V001,0.0312192440032959,0.15642458200454712,Nikon D80,FL2,train_like_id,light_only,1,,-0.4217681476130683,0.0,0.0,1.0
R1V001,0.0312192440032959,0.15642458200454712,Nikon D80,A,train_like_id,appearance_only,1,,-0.28263559995918525,0.0,0.0,1.0
R1V001,0.0312192440032959,0.15642458200454712,Olympus E-PL2,FL2,train_like_id,joint,1,,-0.4008471243474409,0.0,0.0,1.0
R1V002,0.05208373814821243,0.3018946051597595,Olympus E-PL2,FL2,train_like_id,reference,1,,0.12466327867011395,0.0005679508321918547,0.046869710087776184,1.0
R1V002,0.05208373814821243,0.3018946051597595,Canon 300D,FL2,train_like_id,camera_only,1,,-0.06806301260076225,0.0005679508321918547,0.046869710087776184,1.0
R1V002,0.05208373814821243,0.3018946051597595,Olympus E-PL2,D65,train_like_id,light_only,1,,-0.023879244688002677,0.0005679508321918547,0.046869710087776184,1.0
R1V002,0.05208373814821243,0.3018946051597595,Olympus E-PL2,FL2,train_like_id,appearance_only,1,,0.22965839034501023,0.0002694362192414701,0.056766852736473083,1.0
R1V002,0.05208373814821243,0.3018946051597595,Canon 300D,D65,train_like_id,joint,1,,0.3078492044999327,0.00016615641652606428,0.02830747328698635,1.0
R1V003,0.07287731766700745,0.44816866517066956,Canon 300D,D65,train_like_id,reference,1,,-0.384525509131346,0.0,0.0,1.0
R1V003,0.07287731766700745,0.44816866517066956,Canon 5DMarkII,D65,train_like_id,camera_only,1,,-0.4729192206318781,0.0,0.0,1.0
R1V003,0.07287731766700745,0.44816866517066956,Canon 300D,A,train_like_id,light_only,1,,0.07991379937351095,0.0,0.0,1.0
R1V003,0.07287731766700745,0.44816866517066956,Canon 300D,D65,train_like_id,appearance_only,1,,0.1766519797876971,0.00011512412311276421,0.028218815103173256,1.0
R1V003,0.07287731766700745,0.44816866517066956,Canon 5DMarkII,A,train_like_id,joint,1,,0.12338082848525422,0.0003693535691127181,0.0776272639632225,1.0
R1V004,0.09376463294029236,0.5932866930961609,Canon 5DMarkII,FL2,train_like_id,reference,1,,-0.3141568768443973,0.00014401375665329397,0.01686401292681694,1.0
R1V004,0.09376463294029236,0.5932866930961609,Nikon D80,FL2,train_like_id,camera_only,1,,0.23362820793757488,0.00014401375665329397,0.01686401292681694,1.0
R1V004,0.09376463294029236,0.5932866930961609,Canon 5DMarkII,D65,train_like_id,light_only,1,,-0.014664921507447415,0.00014401375665329397,0.01686401292681694,1.0
