AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,failed_sample_id,camera,light,variable_isolation,original_camera,exposure_ev,valid_pixel_count,high_clip_pixel_any_fraction,high_clip_pixel_all_fraction,low_clip_pixel_any_fraction,low_clip_pixel_all_fraction,R_high_clip_fraction,R_low_clip_fraction,G_high_clip_fraction,G_low_clip_fraction,B_high_clip_fraction,B_low_clip_fraction,finite,nonfinite_count
True,True,True,True,L024_A1,Canon 5DMarkII,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.0143585205078125,0.0,0.0,0.0,0.0143585205078125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Nikon D80,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.0201416015625,0.0,0.0,0.0,0.0201416015625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Olympus E-PL2,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.0265655517578125,0.0,0.0,0.0,0.0265655517578125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Canon 300D,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.016754150390625,0.0,0.0,0.0,0.016754150390625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Canon 1DMarkIII,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.0171051025390625,0.0,0.0,0.0,0.0171051025390625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,Nikon D5100,D65,camera_only,Nikon D80,0.23844806080941439,65536,0.02032470703125,0.0,0.0,0.0,0.02032470703125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Canon 5DMarkII,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.166534423828125,0.0,0.0,0.0,0.166534423828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Nikon D80,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.20233154296875,0.0,0.0,0.0,0.20233154296875,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Olympus E-PL2,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.2173614501953125,0.0,0.0,0.0,0.2173614501953125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Canon 300D,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.1815338134765625,0.0,0.0,0.0,0.1815338134765625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Canon 1DMarkIII,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.18743896484375,0.0,0.0,0.0,0.18743896484375,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A2,Nikon D5100,A,camera_only,Canon 5DMarkII,0.3028134892998191,65536,0.2017974853515625,0.0,0.0,0.0,0.2017974853515625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L040_A4,Canon 5DMarkII,A,camera_only,Canon 1DMarkIII,0.467814299193375,65536,0.426544189453125,0.0,0.0,0.0,0.426544189453125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L040_A4,Nikon D80,A,camera_only,Canon 1DMarkIII,0.467814299193375,65536,0.47418212890625,0.0,0.0,0.0,0.47418212890625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L040_A4,Olympus E-PL2,A,camera_only,Canon 1DMarkIII,0.467814299193375,65536,0.4943084716796875,0.0,0.0,0.0,0.4943084716796875,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L040_A4,Canon 300D,A,camera_only,Canon 1DMarkIII,0.467814299193375,65536,0.44635009765625,0.0,0.0,0.0,0.44635009765625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L040_A4,Canon 1DMarkIII,A,camera_only,Canon 1DMarkIII,0.467814299193375,65536,0.4530181884765625,0.0,0.0,0.0,0.4530181884765625,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L040_A4,Nikon D5100,A,camera_only,Canon 1DMarkIII,0.467814299193375,65536,0.4733428955078125,0.0,0.0,0.0,0.4733428955078125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L048_A2,Canon 5DMarkII,FL11,camera_only,Canon 5DMarkII,-0.003953918544967738,65536,0.0016937255859375,0.0,0.0,0.0,0.0016937255859375,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L048_A2,Nikon D80,FL11,camera_only,Canon 5DMarkII,-0.003953918544967738,65536,0.0035247802734375,0.0,0.0,0.0,0.0035247802734375,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L048_A2,Olympus E-PL2,FL11,camera_only,Canon 5DMarkII,-0.003953918544967738,65536,0.0048370361328125,0.0,0.0,0.0,0.0048370361328125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L048_A2,Canon 300D,FL11,camera_only,Canon 5DMarkII,-0.003953918544967738,65536,0.003662109375,0.0,0.0,0.0,0.003662109375,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L048_A2,Canon 1DMarkIII,FL11,camera_only,Canon 5DMarkII,-0.003953918544967738,65536,0.0033721923828125,0.0,0.0,0.0,0.0033721923828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L048_A2,Nikon D5100,FL11,camera_only,Canon 5DMarkII,-0.003953918544967738,65536,0.0038604736328125,0.0,0.0,0.0,0.0038604736328125,0.0,0.0,0.0,0.0,0.0,True,0
