AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,failed_sample_id,kind,exposure_ev,p_scale,appearance,variable_isolation,valid_pixel_count,high_clip_element_fraction,high_clip_pixel_any_fraction,high_clip_pixel_all_fraction,low_clip_element_fraction,low_clip_pixel_any_fraction,low_clip_pixel_all_fraction,R_high_clip_fraction,R_low_clip_fraction,G_high_clip_fraction,G_low_clip_fraction,B_high_clip_fraction,B_low_clip_fraction,finite,nonfinite_count
True,True,True,True,L024_A1,exposure,-0.5,1.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,exposure,0.0,1.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,exposure,0.5,1.0,original,exposure_specular_or_appearance_only,65536,0.123931884765625,0.371795654296875,0.0,0.0,0.0,0.0,0.371795654296875,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,exposure,0.46812571243388923,1.0,original,exposure_specular_or_appearance_only,65536,0.1030120849609375,0.3090362548828125,0.0,0.0,0.0,0.0,0.3090362548828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,specular,0.46812571243388923,0.0,original,exposure_specular_or_appearance_only,65536,0.1030120849609375,0.3090362548828125,0.0,0.0,0.0,0.0,0.3090362548828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,specular,0.46812571243388923,0.25,original,exposure_specular_or_appearance_only,65536,0.1030120849609375,0.3090362548828125,0.0,0.0,0.0,0.0,0.3090362548828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,specular,0.46812571243388923,0.5,original,exposure_specular_or_appearance_only,65536,0.1030120849609375,0.3090362548828125,0.0,0.0,0.0,0.0,0.3090362548828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,specular,0.46812571243388923,0.75,original,exposure_specular_or_appearance_only,65536,0.1030120849609375,0.3090362548828125,0.0,0.0,0.0,0.0,0.3090362548828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,specular,0.46812571243388923,1.0,original,exposure_specular_or_appearance_only,65536,0.1030120849609375,0.3090362548828125,0.0,0.0,0.0,0.0,0.3090362548828125,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,-0.5,0.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,-0.5,0.25,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,-0.5,0.5,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,-0.5,0.75,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,-0.5,1.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,0.0,0.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,0.0,0.25,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,0.0,0.5,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,0.0,0.75,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,0.0,1.0,original,exposure_specular_or_appearance_only,65536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
True,True,True,True,L024_A1,joint,0.5,0.0,original,exposure_specular_or_appearance_only,65536,0.123931884765625,0.371795654296875,0.0,0.0,0.0,0.0,0.371795654296875,0.0,0.0,0.0,0.0,0.0,True,0
