camera,panel,latent_id,m_base,h_base,mask_category,replicate,light,valid_skin_fraction,mask_hash,appearance_seed,attempt_count,retry_exhausted,exposure_ev,canonical_metadata_hash,high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction
Canon 500D,A,AM4_A_M0.95_H0.02_Full_0,0.95,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,2299036797446777769,128,True,-0.09670844503178566,02b7ee30d9a79e79a7ed6d15728d30ae,0.0,0.13976542154947916,0,False,False,0.0,0.0,0.0,0.0,0.4190216064453125,0.0
Canon 50D,A,AM4_A_M0.95_H0.02_Full_0,0.95,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,17761960192410997485,128,True,-0.4691829394326872,6a3f1a78d44d9a899fa0f2cd50b49ec7,0.0,0.3300272623697917,0,False,False,0.0,0.0,0.0,0.0,0.9900665283203125,0.0
Canon 60D,A,AM4_A_M0.98_H0.02_Full_0,0.98,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,1101426259725393952,128,True,-0.22291499026398492,e6eca222a31d8320ee6df26241bd1164,0.0,0.3242696126302083,0,False,False,0.0,0.0,0.0,0.0,0.972808837890625,0.0
Nikon D3X,A,AM4_A_M0.98_H0.02_Full_0,0.98,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,9784502888752676804,128,True,-0.09484019540871841,d6340731673222e821dca28510e34a0d,0.0,0.2744344075520833,0,False,False,0.0,0.0,0.0,0.0,0.823089599609375,0.0
Nikon D200,A,AM4_A_M0.98_H0.02_Full_0,0.98,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,14013649107777632069,128,True,-0.1914510878953975,8a280daf1af01fe608c6799bffe05af7,0.0,0.3045806884765625,0,False,False,0.0,0.0,0.0,0.0,0.913726806640625,0.0
Nikon D3,A,AM4_A_M0.98_H0.02_Full_0,0.98,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,9943802048840817902,128,True,-0.2721223637677268,7b41faaa8f3768285b17bec006094c4f,0.0,0.2886149088541667,0,False,False,0.0,0.0,0.0,0.0,0.86566162109375,0.0
Nikon D40,A,AM4_A_M0.90_H0.02_Full_0,0.9,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,4348594622535707068,128,True,-0.08550986028798863,45a966f1e2980e921ba792493ee3ff92,0.0,0.3259633382161458,0,False,False,0.0,0.0,0.0,0.0,0.9778900146484375,0.0
Nikon D50,A,AM4_A_M0.90_H0.02_Full_0,0.9,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,10593482355634146305,128,True,-0.031281235008563224,ee2fc215186b2f0ad7af3cfa8e8be31d,0.0,0.24804178873697916,0,False,False,0.0,0.0,0.0,0.0,0.7440185546875,0.0
Nikon D700,A,AM4_A_M0.98_H0.02_Full_0,0.98,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,18091535802649527177,128,True,-0.4977110882653022,c525e95620507b40a8e97ef521ab4ca3,0.0,0.3323008219401042,0,False,False,0.0,0.0,0.0,0.0,0.99688720703125,0.0
Pentax K-5,A,AM4_A_M0.98_H0.02_Full_0,0.98,0.02,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,8710095737957332525,128,True,-0.07733422004601986,986ca39f5219607d45f45054bfae6c3a,0.0,0.326416015625,0,False,False,0.0,0.0,0.0,0.0,0.979248046875,0.0
Phase One,B,AM4_B_247,0.9876953125,0.001953125,Full,0,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,1012276537462613256,128,True,0.10740066910651325,c55914a9341771a484b77e35bdf47e28,0.0,0.3112691243489583,0,False,False,0.0,0.0,0.0,0.0,0.9337158203125,0.0
