panel,latent_id,m_base,h_base,mask_category,replicate,camera,light,valid_skin_fraction,mask_hash,appearance_seed,attempt_count,retry_exhausted,exposure_ev,canonical_metadata_hash,high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction
A,AM4_A_M0.90_H0.02_Full_0,0.9,0.02,Full,0,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,9753193887537273817,1,False,0.23736467742265976,65eaf0182426bed8d2646e63a6967d34,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_0,0.9,0.02,Full,0,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,3117975845312672513,1,False,0.024574318797831673,5c8fe4cd0c47d7b1f13a945e4f6aa652,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_0,0.9,0.02,Full,0,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,13122454939200639460,1,False,-0.031799196487752535,276959f5da2887cd14f804a20fd09c6f,0.0,0.0001373291015625,0,False,False,0.0,0.0,0.0,0.0,0.0004119873046875,0.0
A,AM4_A_M0.90_H0.02_Full_0,0.9,0.02,Full,0,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,10164976687464845777,1,False,-0.1347874079103646,cc7f9c66e591ac986e1d9dde82e3600b,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_1,0.9,0.02,Full,1,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,15292534982017770947,1,False,-0.30366464993587217,1d342bc8f37bf34cd751d4dd516d0ac2,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_1,0.9,0.02,Full,1,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,17536621696256470418,1,False,-0.2587838471268561,f3b49885e1b05fce29c1531072b619a0,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_1,0.9,0.02,Full,1,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,925764085779360087,1,False,0.08747616053993634,060ae730b149f03f684feacc9f2deae6,0.0,0.0005238850911458334,0,False,False,0.0,0.0,0.0,0.0,0.001556396484375,0.0
A,AM4_A_M0.90_H0.02_Full_1,0.9,0.02,Full,1,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,10133796917759848828,1,False,-0.2502178408429955,ba11473fa3433e767e0a18f8deeb27fb,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_2,0.9,0.02,Full,2,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,15178071652105485593,1,False,0.10956431830071034,afe0011a8b2bbd91222649065541e8f1,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_2,0.9,0.02,Full,2,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,13159454828781598356,1,False,0.1533256976731351,038183718268651eb0d2e96fe07de259,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_2,0.9,0.02,Full,2,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,2031495853947614682,1,False,-0.1739744738147696,8fa918b1ad69b088c6cb0dec91e631d8,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_2,0.9,0.02,Full,2,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,6151534250527390796,1,False,-0.4379210594199475,2ad084c3f54379c3b81ebe36c0b1806d,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_3,0.9,0.02,Full,3,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,1448590365661498239,1,False,-0.310784812477652,6ef14c752b905181fcdaa35e73fc7fed,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_3,0.9,0.02,Full,3,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,6671634244043085439,1,False,-0.03464609891422227,0d6f9360db6f2c2a97d23bf75bb6c7c5,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_3,0.9,0.02,Full,3,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,14343595133490039438,1,False,-0.4859933399030018,2e068cf0b3eea076f507b9728ed11941,0.0,6.103515625e-05,0,False,False,0.0,0.0,0.0,0.0,0.00018310546875,0.0
A,AM4_A_M0.90_H0.02_Full_3,0.9,0.02,Full,3,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,7610608839707644285,1,False,-0.3195024224838807,aea1369f3ed508cb6b50d0f421b2db22,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_4,0.9,0.02,Full,4,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,9913946682695224144,1,False,-0.09381266199156313,1cf53665586fc69b78d06758d27b55e4,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_4,0.9,0.02,Full,4,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,3002459199466397934,1,False,0.11672598125450395,b13765c4f9ebd5fd9bcc9d880b81426c,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_4,0.9,0.02,Full,4,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,1456346324260795278,1,False,-0.19021354308270777,5fcd1a0ca8c8c01592d14200ef229d9a,0.0,0.00016276041666666666,0,False,False,0.0,0.0,0.0,0.0,0.00048828125,0.0
A,AM4_A_M0.90_H0.02_Full_4,0.9,0.02,Full,4,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,1804397718951711359,1,False,0.14415937860934547,9d743051dca127958fbffea4548062b0,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_5,0.9,0.02,Full,5,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,489295247797445133,1,False,-0.2940950645500708,3a35b4e08c82499f16c9f8a80265b50e,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_5,0.9,0.02,Full,5,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,14617359600701041216,1,False,0.21000633855967688,2e65f0adbad700788a7b5218b9d2863b,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_5,0.9,0.02,Full,5,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,6206998584728211821,1,False,0.027014664192467674,9296c28cc5e75b6c5d7d488578d8ac0c,0.0,0.0002797444661458333,0,False,False,0.0,0.0,0.0,0.0,0.0008392333984375,0.0
A,AM4_A_M0.90_H0.02_Full_5,0.9,0.02,Full,5,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,17675713187910171086,1,False,-0.46776917138203605,340f514622bdd5f357ce3eb9c6718e5a,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,13510964340948536619,1,False,0.1404124548368818,36e748a284cb01d0c7b79e2ae66ddd67,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,15291421414612318408,1,False,-0.28140618796729056,8e6decceef72b76e8ee38fdb0f401f0c,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,5736776852973794476,1,False,0.06712642830599125,f37a33267859358ea2631df7d31fe569,0.0,8.138020833333333e-05,0,False,False,0.0,0.0,0.0,0.0,0.000244140625,0.0
A,AM4_A_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,8627630595142007597,1,False,0.08744595059393179,9bb05033812255078dac8a36c400b67e,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,13120208064600280278,1,False,-0.26971911005902593,33e3200b79970c1576e6b5897d5efe04,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,3014350592129031845,1,False,-0.07178060701504357,eb4b04a0936e765daf288005e2ae63d8,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,9834158536884234079,1,False,-0.32549273725979483,4915175ce35fdcadb750d6d4c0d2b561,0.0,0.0003560384114583333,0,False,False,0.0,0.0,0.0,0.0,0.001068115234375,0.0
A,AM4_A_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,1311960591359950962,1,False,0.15759799370229,d8d0be31e2f291be740b0cdb8f52c725,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Canon 500D,D65,0.86138916015625,01890d45454c6f004d39663f4b4d43bfffcedcac538d4d4633e6e53d090e6989,7898101733162683813,1,False,0.06574901736522143,3f7f033fbb27fe874f533a3bef6b24ed,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Canon 500D,A,0.86138916015625,01890d45454c6f004d39663f4b4d43bfffcedcac538d4d4633e6e53d090e6989,12662710367807517032,1,False,-0.44492027529684325,5c7714a99af793e6488f2167d59ef4fd,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
