camera,status,planned_acquisition_count,executed_acquisition_count,early_stop,wall_seconds,peak_rss_bytes
Canon 1DMarkIII,SAFE,1888,1888,False,2248.2583563000007,169918464
Canon 20D,SAFE,1888,1888,False,2255.1275848000005,169287680
Canon 40D,SAFE,1888,1888,False,2253.0489323,169295872
Canon 500D,UNSAFE,1888,291,True,527.8359829000037,168374272
Canon 50D,UNSAFE,1888,291,True,528.0505957999994,168824832
Canon 5DMarkII,SAFE,1888,1888,False,2252.235915600002,169488384
Canon 600D,SAFE,1888,1888,False,2255.410226699998,169148416
Canon 60D,UNSAFE,1888,579,True,863.3194127000024,168640512
Hasselblad H2,SAFE,1888,1888,False,2424.226765499996,168345600
Nikon D200,UNSAFE,1888,579,True,823.3475486000025,166834176
Nikon D3,UNSAFE,1888,579,True,822.8812386999998,167464960
Nikon D300s,SAFE,1888,1888,False,2904.9312838999977,168550400
Nikon D3X,UNSAFE,1888,579,True,820.2226769999979,167530496
Nikon D40,UNSAFE,1888,3,True,147.58899989999918,167469056
Nikon D50,UNSAFE,1888,3,True,153.57996319999802,170782720
Nikon D5100,SAFE,1888,1888,False,2832.7597067000024,168517632
Nikon D700,UNSAFE,1888,579,True,1271.8081526000024,170340352
Nikon D80,SAFE,1888,1888,False,2831.0855158999984,168775680
Nikon D90,SAFE,1888,1888,False,2830.521332299999,168624128
Pentax K-5,UNSAFE,1888,579,True,1313.8404257000002,167440384
Phase One,UNSAFE,1888,1855,True,2417.964960199999,169525248
Point Grey Grasshopper2 14S5C,SAFE,1888,1888,False,2758.8837643000006,169328640
