camera,quality_eligible,eligible_for_atlas,exclusion_reason,D65_quality_status,A_quality_status,FL2_quality_status,FL11_quality_status,historical_evidence_status
Canon 1DMarkIII,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Canon 20D,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Canon 300D,True,False,PERMANENT_CAMERA_ARTIFACT,PASS,PASS,PASS,PASS,RESOLVED_ARTIFACT_EXCLUDED
Canon 40D,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Canon 500D,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Canon 50D,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Canon 5DMarkII,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Canon 600D,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Canon 60D,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Hasselblad H2,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D3X,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D200,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D3,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D300s,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D40,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D50,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D5100,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D700,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D80,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nikon D90,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Nokia N900,True,False,PERMANENT_CAMERA_ARTIFACT,PASS,PASS,PASS,PASS,RESOLVED_ARTIFACT_EXCLUDED
Olympus E-PL2,True,False,PERMANENT_CAMERA_ARTIFACT,PASS,PASS,PASS,PASS,RESOLVED_ARTIFACT_EXCLUDED
Pentax K-5,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Pentax Q,True,False,PERMANENT_CAMERA_ARTIFACT,PASS,PASS,PASS,PASS,RESOLVED_ARTIFACT_EXCLUDED
Point Grey Grasshopper 50S5C,False,False,SO0_QUALITY_INELIGIBLE,FAIL,FAIL,FAIL,FAIL,NO_UNRESOLVED_FAILURE
Point Grey Grasshopper2 14S5C,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
Phase One,True,True,eligible,PASS,PASS,PASS,PASS,NO_UNRESOLVED_FAILURE
SONY NEX-5N,True,False,PERMANENT_CAMERA_ARTIFACT,PASS,PASS,PASS,PASS,RESOLVED_ARTIFACT_EXCLUDED
