seen_cameras,minimum_pairwise_sam,mean_pairwise_sam,tie_break_key,selection_rank
"['Canon 5DMarkII', 'Hasselblad H2', 'Nikon D80', 'Point Grey Grasshopper2 14S5C']",0.20560759195239228,0.26277774652938485,Canon 5DMarkII|Hasselblad H2|Nikon D80|Point Grey Grasshopper2 14S5C,1
"['Canon 5DMarkII', 'Hasselblad H2', 'Nikon D90', 'Point Grey Grasshopper2 14S5C']",0.1949377957683456,0.23904482846851918,Canon 5DMarkII|Hasselblad H2|Nikon D90|Point Grey Grasshopper2 14S5C,2
"['Canon 5DMarkII', 'Hasselblad H2', 'Nikon D300s', 'Point Grey Grasshopper2 14S5C']",0.1855187846887418,0.23339524226360261,Canon 5DMarkII|Hasselblad H2|Nikon D300s|Point Grey Grasshopper2 14S5C,3
"['Canon 5DMarkII', 'Canon 20D', 'Hasselblad H2', 'Nikon D80']",0.1428924719676572,0.23492158349608863,Canon 5DMarkII|Canon 20D|Hasselblad H2|Nikon D80,4
"['Canon 5DMarkII', 'Canon 20D', 'Hasselblad H2', 'Point Grey Grasshopper2 14S5C']",0.1428924719676572,0.23122837190420661,Canon 5DMarkII|Canon 20D|Hasselblad H2|Point Grey Grasshopper2 14S5C,5
"['Canon 5DMarkII', 'Canon 20D', 'Nikon D80', 'Point Grey Grasshopper2 14S5C']",0.1428924719676572,0.22485332628004803,Canon 5DMarkII|Canon 20D|Nikon D80|Point Grey Grasshopper2 14S5C,6
"['Canon 5DMarkII', 'Canon 20D', 'Hasselblad H2', 'Nikon D90']",0.1428924719676572,0.213468270742294,Canon 5DMarkII|Canon 20D|Hasselblad H2|Nikon D90,7
"['Canon 5DMarkII', 'Canon 20D', 'Nikon D90', 'Point Grey Grasshopper2 14S5C']",0.1428924719676572,0.2073950247859885,Canon 5DMarkII|Canon 20D|Nikon D90|Point Grey Grasshopper2 14S5C,8
"['Canon 5DMarkII', 'Canon 20D', 'Hasselblad H2', 'Nikon D300s']",0.1428924719676572,0.2065460711601171,Canon 5DMarkII|Canon 20D|Hasselblad H2|Nikon D300s,9
"['Canon 5DMarkII', 'Canon 20D', 'Nikon D300s', 'Point Grey Grasshopper2 14S5C']",0.1428924719676572,0.20008610666191076,Canon 5DMarkII|Canon 20D|Nikon D300s|Point Grey Grasshopper2 14S5C,10
"['Canon 5DMarkII', 'Hasselblad H2', 'Nikon D80', 'Nikon D90']",0.13793933291994362,0.23349526513739138,Canon 5DMarkII|Hasselblad H2|Nikon D80|Nikon D90,11
"['Canon 5DMarkII', 'Nikon D80', 'Nikon D90', 'Point Grey Grasshopper2 14S5C']",0.13793933291994362,0.22575867499682714,Canon 5DMarkII|Nikon D80|Nikon D90|Point Grey Grasshopper2 14S5C,12
"['Canon 5DMarkII', 'Canon 20D', 'Nikon D80', 'Nikon D90']",0.13793933291994362,0.1802438121193776,Canon 5DMarkII|Canon 20D|Nikon D80|Nikon D90,13
"['Canon 5DMarkII', 'Hasselblad H2', 'Nikon D300s', 'Nikon D80']",0.1261009173700187,0.2281058444575957,Canon 5DMarkII|Hasselblad H2|Nikon D300s|Nikon D80,14
"['Canon 5DMarkII', 'Nikon D300s', 'Nikon D80', 'Point Grey Grasshopper2 14S5C']",0.1261009173700187,0.2199825357751307,Canon 5DMarkII|Nikon D300s|Nikon D80|Point Grey Grasshopper2 14S5C,15
"['Canon 5DMarkII', 'Canon 20D', 'Nikon D300s', 'Nikon D80']",0.1261009173700187,0.1731950595204208,Canon 5DMarkII|Canon 20D|Nikon D300s|Nikon D80,16
"['Canon 5DMarkII', 'Canon 40D', 'Hasselblad H2', 'Nikon D80']",0.1037422358468888,0.23977683718715873,Canon 5DMarkII|Canon 40D|Hasselblad H2|Nikon D80,17
"['Canon 5DMarkII', 'Canon 40D', 'Hasselblad H2', 'Point Grey Grasshopper2 14S5C']",0.1037422358468888,0.23182294108000479,Canon 5DMarkII|Canon 40D|Hasselblad H2|Point Grey Grasshopper2 14S5C,18
"['Canon 5DMarkII', 'Canon 40D', 'Nikon D80', 'Point Grey Grasshopper2 14S5C']",0.1037422358468888,0.22871889500497034,Canon 5DMarkII|Canon 40D|Nikon D80|Point Grey Grasshopper2 14S5C,19
"['Canon 5DMarkII', 'Canon 40D', 'Hasselblad H2', 'Nikon D90']",0.1037422358468888,0.213464533624904,Canon 5DMarkII|Canon 40D|Hasselblad H2|Nikon D90,20
"['Canon 5DMarkII', 'Canon 40D', 'Hasselblad H2', 'Nikon D300s']",0.1037422358468888,0.20799342098358733,Canon 5DMarkII|Canon 40D|Hasselblad H2|Nikon D300s,21
