camera_name,camera_name_normalized
Canon 1DMarkIII,canon 1dmarkiii
Canon 20D,canon 20d
Canon 300D,canon 300d
Canon 40D,canon 40d
Canon 500D,canon 500d
Canon 50D,canon 50d
Canon 5DMarkII,canon 5dmarkii
Canon 600D,canon 600d
Canon 60D,canon 60d
Hasselblad H2,hasselblad h2
Nikon D3X,nikon d3x
Nikon D200,nikon d200
Nikon D3,nikon d3
Nikon D300s,nikon d300s
Nikon D40,nikon d40
Nikon D50,nikon d50
Nikon D5100,nikon d5100
Nikon D700,nikon d700
Nikon D80,nikon d80
Nikon D90,nikon d90
Nokia N900,nokia n900
Olympus E-PL2,olympus e pl2
Pentax K-5,pentax k 5
Pentax Q,pentax q
Point Grey Grasshopper 50S5C,point grey grasshopper 50s5c
Point Grey Grasshopper2 14S5C,point grey grasshopper2 14s5c
Phase One,phase one
SONY NEX-5N,sony nex 5n
