camera_name,light_name,camera_role,light_role,split_role,camera_seen,light_seen,colorchecker_qualified,colorchecker_loocv_median,colorchecker_loocv_p95,mh_rank2_fraction,mh_sigma_ratio_min,mh_sigma_ratio_median,resolution_relative_rgb_error_p95,resolution_relative_rgb_error_max,finite,mh_ok,resolution_ok,allowed
Canon 1DMarkIII,A,unseen,seen,CAMERA_OOD,False,True,True,0.971084431463,2.0853440951,1.0,0.0164114913866,0.0408045192487,0.00126568513321,0.00160931169684,True,True,True,True
Canon 1DMarkIII,D65,unseen,seen,CAMERA_OOD,False,True,True,0.952504292039,2.12056808336,1.0,0.0126192176274,0.0294306302663,0.000851932240399,0.000994578881329,True,True,True,True
Canon 1DMarkIII,FL2,unseen,seen,CAMERA_OOD,False,True,True,0.834286334568,1.90748360317,1.0,0.0146598971113,0.033350511395,0.00178143650825,0.00215639991796,True,True,True,True
Nikon D5100,A,unseen,seen,CAMERA_OOD,False,True,True,0.869587092497,2.43008501793,1.0,0.0148624049163,0.0412491738854,0.00108746358244,0.0013384591377,True,True,True,True
Nikon D5100,D65,unseen,seen,CAMERA_OOD,False,True,True,1.05038356365,2.33698541056,1.0,0.0113859125795,0.0305014644606,0.00105965219985,0.00126216197072,True,True,True,True
Nikon D5100,FL2,unseen,seen,CAMERA_OOD,False,True,True,0.74807714977,2.32370615285,1.0,0.0140643387287,0.0338207861713,0.00184062517089,0.00213410935025,True,True,True,True
Canon 5DMarkII,A,seen,seen,ID,True,True,True,1.09265861645,2.24669611332,1.0,0.0147915932485,0.0415474569319,0.000971291419951,0.00122343134813,True,True,True,True
Canon 5DMarkII,D65,seen,seen,ID,True,True,True,0.893758039095,2.10885912648,1.0,0.0114500177735,0.0290796285103,0.000809613416366,0.000974406771683,True,True,True,True
Canon 5DMarkII,FL2,seen,seen,ID,True,True,True,0.706556139943,1.67153758043,1.0,0.012948754496,0.0342210024648,0.00107459888558,0.00131949874873,True,True,True,True
Nikon D80,A,seen,seen,ID,True,True,True,0.971904310103,2.62608212688,1.0,0.0189300943505,0.0408806361946,0.0015483730434,0.00193880605412,True,True,True,True
Nikon D80,D65,seen,seen,ID,True,True,True,1.21917283565,2.36699659905,1.0,0.0148557062712,0.0314880508408,0.000960480661057,0.00115377828922,True,True,True,True
Nikon D80,FL2,seen,seen,ID,True,True,True,0.919934923589,2.8814540847,1.0,0.0168108813123,0.0348399611824,0.00134828134514,0.00158964011472,True,True,True,True
Nokia N900,A,seen,seen,ID,True,True,True,0.894485716981,2.23821731497,1.0,0.0143665763102,0.0434072290782,0.000532477574821,0.000609715152205,True,True,True,True
Nokia N900,D65,seen,seen,ID,True,True,True,1.05253212613,2.73094650615,1.0,0.0114207270135,0.0325584082211,0.000722985136222,0.000785231751199,True,True,True,True
Nokia N900,FL2,seen,seen,ID,True,True,True,0.970712022189,1.87268372636,1.0,0.0126002596411,0.0351434737434,0.00103446175682,0.00109037175893,True,True,True,True
Olympus E-PL2,A,seen,seen,ID,True,True,True,1.1771886874,3.0758494006,1.0,0.0167287501903,0.0438923022361,0.000676738141118,0.000800195829593,True,True,True,True
Olympus E-PL2,D65,seen,seen,ID,True,True,True,1.20772521384,2.83986599639,1.0,0.0133815325881,0.0327188181863,0.00066130384271,0.000759069435588,True,True,True,True
Olympus E-PL2,FL2,seen,seen,ID,True,True,True,1.03928954564,3.08563953019,1.0,0.0166435275531,0.0373214806306,0.000955036567495,0.00115279160305,True,True,True,True
Pentax Q,A,seen,seen,ID,True,True,True,1.09426836292,2.97137130751,1.0,0.0127059829875,0.0416398909016,0.000391749739487,0.000462200438956,True,True,True,True
Pentax Q,D65,seen,seen,ID,True,True,True,1.34321447832,3.05604061406,1.0,0.00978685962958,0.0302284432333,0.000628499634219,0.000774683561909,True,True,True,True
Pentax Q,FL2,seen,seen,ID,True,True,True,1.05839343785,2.27628341286,1.0,0.0117239831026,0.0330612428468,0.000747808068947,0.0009066761198,True,True,True,True
SONY NEX-5N,A,seen,seen,ID,True,True,True,0.853164297077,1.68477459239,1.0,0.0144956247633,0.0399407951312,0.00109742419456,0.00135063385943,True,True,True,True
SONY NEX-5N,D65,seen,seen,ID,True,True,True,0.671863097883,1.84714150263,1.0,0.0108035195907,0.0279494144396,0.000772266131214,0.000956938741559,True,True,True,True
SONY NEX-5N,FL2,seen,seen,ID,True,True,True,0.667299349063,1.59040600601,1.0,0.0132402655928,0.031384114634,0.00119881368567,0.00150731918166,True,True,True,True
Canon 1DMarkIII,FL11,unseen,unseen,JOINT_OOD,False,False,True,0.774383329521,1.94706272172,1.0,0.0189937664285,0.0438364226692,0.00277110388357,0.00309450253816,True,True,True,True
Nikon D5100,FL11,unseen,unseen,JOINT_OOD,False,False,True,0.611703678421,2.02690083443,1.0,0.0174242243026,0.0433513734612,0.00269457572193,0.00311597236522,True,True,True,True
Canon 5DMarkII,FL11,seen,unseen,LIGHT_OOD,True,False,True,0.626272531848,1.74979680575,1.0,0.0163265849605,0.0436287558008,0.00406727020343,0.00490432457295,True,True,True,True
Nikon D80,FL11,seen,unseen,LIGHT_OOD,True,False,True,0.808135334482,2.95706607707,1.0,0.0214252727392,0.0433129324185,0.00392837012828,0.00503630664582,True,True,True,True
Nokia N900,FL11,seen,unseen,LIGHT_OOD,True,False,True,0.566942751728,1.55212628348,1.0,0.0150282631255,0.0452126254403,0.00309383481182,0.00381816126064,True,True,True,True
Olympus E-PL2,FL11,seen,unseen,LIGHT_OOD,True,False,True,0.810193921157,2.54824740525,1.0,0.0196709545429,0.0459547479381,0.00598783501198,0.00737441319543,True,True,True,True
Pentax Q,FL11,seen,unseen,LIGHT_OOD,True,False,True,0.658177227607,1.61963462257,1.0,0.0138406074008,0.0427742064905,0.000818825544019,0.00086381255733,True,True,True,True
SONY NEX-5N,FL11,seen,unseen,LIGHT_OOD,True,False,True,0.614038989502,1.66377026375,1.0,0.0172302302648,0.0424075380653,0.00144627804342,0.00152780973216,True,True,True,True
