,Canon 1DMarkIII,Canon 20D,Canon 300D,Canon 40D,Canon 500D,Canon 50D,Canon 5DMarkII,Canon 600D,Canon 60D,Hasselblad H2,Nikon D3X,Nikon D200,Nikon D3,Nikon D300s,Nikon D40,Nikon D50,Nikon D5100,Nikon D700,Nikon D80,Nikon D90,Nokia N900,Olympus E-PL2,Pentax K-5,Pentax Q,Point Grey Grasshopper 50S5C,Point Grey Grasshopper2 14S5C,Phase One,SONY NEX-5N
Canon 1DMarkIII,0.0,0.14071071889430273,0.18691967116385233,0.14139855637948717,0.2212554060301383,0.1885139985276841,0.1578544827517647,0.1577215616437756,0.14935725757284868,0.2693786748363998,0.18645486652240809,0.19787080508416618,0.18372217774968372,0.17379562869902596,0.2326510719387802,0.2224492895709426,0.21309122693348925,0.18194462998693625,0.22852806816220037,0.1782553154747533,0.30275896008453146,0.2366013524460723,0.18544600160592206,0.2565758772611539,0.5440555860006272,0.26995089873994704,0.2624063740746449,0.217653357095291
Canon 20D,0.14071071889430273,0.0,0.19337636435225647,0.08632370633107712,0.2111428255217658,0.18424464549110797,0.1428924719676572,0.1273425504318174,0.1540543765635625,0.24515885422584302,0.18894425419654573,0.16447969869105106,0.15051791936687298,0.14851743523879535,0.23641684920910766,0.21145297986360526,0.1592923135826415,0.15841129103123644,0.18897427343897985,0.1695525242030076,0.2948386041732296,0.22203517191720615,0.1661823257214498,0.2657754101788102,0.49114043883787023,0.23153175197545403,0.2679341041471311,0.23251178357999333
Canon 300D,0.18691967116385233,0.19337636435225647,0.0,0.19874860465189506,0.22510721606992115,0.2183469479997354,0.19848129710211646,0.1860801887735051,0.17441838873761947,0.25194047554600774,0.1812379603888279,0.2052111768785582,0.19910362580636878,0.17022295024868508,0.17134500948574835,0.17984049012186176,0.19208795695250033,0.19498887829515496,0.2309515554718168,0.18356621172413465,0.30507747778154765,0.20968051007145508,0.16117694024164742,0.2724587506377734,0.5590989863300151,0.22173693378484952,0.20892072991027222,0.13966026893636832
Canon 40D,0.14139855637948717,0.08632370633107712,0.19874860465189506,0.0,0.1650388620464601,0.13516662040890934,0.1037422358468888,0.07269349262108842,0.10992942354590089,0.26948673471206513,0.20617007783689675,0.1916866714761105,0.17504141567898937,0.17202388981416306,0.2475686144256641,0.23075886096196493,0.16587455876870977,0.18165601501924647,0.2329281512199467,0.18435245713321383,0.2993172354390006,0.24219019687786447,0.1575613725898811,0.23264380157873013,0.4903921408619308,0.24992152266478943,0.26825149141557264,0.22790821724451102
Canon 500D,0.2212554060301383,0.2111428255217658,0.22510721606992115,0.1650388620464601,0.0,0.057786649695684256,0.13541970226962927,0.11090715543987766,0.10958710153768403,0.32874939015148985,0.25821788786076444,0.2870112484335748,0.27149652229588217,0.23776062021488462,0.28568536912756254,0.29018723263732676,0.2527838422536173,0.26487824082344846,0.31277516686305123,0.2470661482630466,0.3138273552168754,0.2897031433822666,0.2234191050138489,0.23269147240621438,0.5255305141318073,0.3174009439283148,0.22385320477077778,0.23958030676810438
Canon 50D,0.1885139985276841,0.18424464549110797,0.2183469479997354,0.13516662040890934,0.057786649695684256,0.0,0.11166061058014187,0.08841225059855413,0.08115704787587741,0.3075053114484992,0.2330323659215582,0.25931325700228297,0.24480796936960914,0.2175387079031654,0.2684455994175909,0.2687310430211122,0.2367388532097343,0.23848173790040206,0.29139878593630925,0.21994756354467784,0.28803577337027214,0.268001634944576,0.20260213058309695,0.20084747927171356,0.5190206517341176,0.29827883062065247,0.24243255244470466,0.22923262809711528
Canon 5DMarkII,0.1578544827517647,0.1428924719676572,0.19848129710211646,0.1037422358468888,0.13541970226962927,0.11166061058014187,0.0,0.09817280822773677,0.09752544612467906,0.29267741749690335,0.2170367261864142,0.23194760279060767,0.2111066803298296,0.1855187846887418,0.2457781481100569,0.23771341142575644,0.22327709456943035,0.2061593806381743,0.2471664744183318,0.1949377957683456,0.3061780515997964,0.25404182903065115,0.19028472995220583,0.23916325545278724,0.5272595688751395,0.26950214380698984,0.2563808965594237,0.2198714619219433
Canon 600D,0.1577215616437756,0.1273425504318174,0.1860801887735051,0.07269349262108842,0.11090715543987766,0.08841225059855413,0.09817280822773677,0.0,0.059131143863740944,0.2925204987781238,0.20905607799420287,0.2121591630506434,0.1956340320143689,0.18207547695418105,0.2478104505726265,0.24100355224425477,0.18293648883007688,0.19635533347758546,0.255679099063534,0.1921110006660329,0.3070060340035085,0.25342991768949535,0.1588196486494536,0.22905743889253918,0.5063378830795372,0.270301258265919,0.24527991235601657,0.21726824474312378
Canon 60D,0.14935725757284868,0.1540543765635625,0.17441838873761947,0.10992942354590089,0.10958710153768403,0.08115704787587741,0.09752544612467906,0.059131143863740944,0.0,0.28689435664142593,0.18983923744059564,0.22288083252274996,0.20580014776071123,0.18435947061119065,0.2285082339033191,0.22634662911811929,0.21772821143404966,0.19553656839801112,0.25988194839361617,0.181371572107217,0.28748670621979944,0.23735779615928265,0.1709382325046999,0.20209824904562537,0.5176502224715195,0.261147307634414,0.24724972726354555,0.19662914887018687
Hasselblad H2,0.2693786748363998,0.24515885422584302,0.25194047554600774,0.26948673471206513,0.32874939015148985,0.3075053114484992,0.29267741749690335,0.2925204987781238,0.28689435664142593,0.0,0.2537282778139916,0.27248630186287026,0.25853542847090644,0.2245114633427618,0.28845075149088023,0.23670683972200557,0.3026112522714468,0.25576381571247303,0.2926600094288167,0.23559056079200724,0.26020170270880494,0.20522449097555337,0.27725184544359077,0.2991763579585891,0.4422488030451079,0.20560759195239228,0.32390994089510095,0.2910473028208421
