,Canon 1DMarkIII,Canon 20D,Canon 300D,Canon 40D,Canon 500D,Canon 50D,Canon 5DMarkII,Canon 600D,Canon 60D,Hasselblad H2,Nikon D3X,Nikon D200,Nikon D3,Nikon D300s,Nikon D40,Nikon D50,Nikon D5100,Nikon D700,Nikon D80,Nikon D90,Nokia N900,Olympus E-PL2,Pentax K-5,Pentax Q,Point Grey Grasshopper 50S5C,Point Grey Grasshopper2 14S5C,Phase One,SONY NEX-5N
Canon 1DMarkIII,0.0,0.06003902744954393,0.09589695775838906,0.07176971441838648,0.1416337893129889,0.12290139295639434,0.0802862111570814,0.09097442274422875,0.08757013926439054,0.14616167437490166,0.09625434705936502,0.09775295746223493,0.08944403464743099,0.08353111027617342,0.11575704253748413,0.1034686049590215,0.10670604663024068,0.08564135728612711,0.11722182981107727,0.08407762147824782,0.18029332964706937,0.12374673269157459,0.0956222812740844,0.16210827821561324,0.29300903804395245,0.1368974112100004,0.1566964987111521,0.11856992398143888
Canon 20D,0.06003902744954393,0.0,0.10655794421205016,0.04737276399574777,0.13409598868844738,0.11569922750038042,0.07045692786837529,0.07551844143263363,0.08075923439705747,0.1392301516316747,0.09808709658792068,0.09302450878021613,0.08698261482325154,0.08320141992503712,0.13005847053944805,0.11192101529397767,0.08684337163800097,0.08777133614441873,0.10804440092725202,0.08939904513542635,0.1835000000377149,0.12765595969350554,0.09251199094767881,0.16010553829635063,0.2673498654845238,0.12514961448854212,0.16243766135790674,0.12399460125663675
Canon 300D,0.09589695775838906,0.10655794421205016,0.0,0.11187343659230616,0.14017695524465895,0.13654391645672004,0.11302451095807087,0.1112739781303671,0.10473784714098329,0.13781315663188606,0.09182321282523842,0.11311115177098029,0.11099780363414946,0.08733269890408131,0.09612335106988025,0.09988020088130323,0.10052263336519862,0.1057782347473707,0.12817298224232168,0.09267991589846514,0.18315717603310913,0.11069494328756006,0.08884094215929615,0.16355315748832824,0.2985517728029355,0.11791791061211876,0.13315146932510014,0.08322806005467868
Canon 40D,0.07176971441838648,0.04737276399574777,0.11187343659230616,0.0,0.1084371961975612,0.08950364706269227,0.05138307808186294,0.04255273169463422,0.053779603153757995,0.14233164558119513,0.11545554066441278,0.11762537812007323,0.10916080786431541,0.09664845822416455,0.13603521375824515,0.12019647132695392,0.09337888155423535,0.10943117674281738,0.14010894708749466,0.10003732922414339,0.17951211914400708,0.13317181659257357,0.08695172452418866,0.13932340335260515,0.26281075008393584,0.12900884107566815,0.15897029984979502,0.12042567590908498
Canon 500D,0.1416337893129889,0.13409598868844738,0.14017695524465895,0.1084371961975612,0.0,0.026464651419846923,0.0825866161691995,0.07234420946510611,0.0702128226084779,0.16896193897033954,0.16411191689450536,0.1853331240117404,0.17796632368009987,0.14322007894107425,0.16909854395256577,0.17066034739384592,0.1489388089871608,0.17017626828798416,0.19137613997080394,0.15078639980454267,0.17727074076663632,0.17216620446161549,0.13285441938832218,0.12736535540309915,0.2847884002436239,0.1812277532465322,0.1290716361906801,0.1335216356205711
Canon 50D,0.12290139295639434,0.11569922750038042,0.13654391645672004,0.08950364706269227,0.026464651419846923,0.0,0.069193035782856,0.05764178914606971,0.05545773705555227,0.16297482293328955,0.15021854533585627,0.16785630623634148,0.16092252802266171,0.13267268422608744,0.16316805968191436,0.15832390691294027,0.13816175678285392,0.15453727306187406,0.18128183402823903,0.13449274930028832,0.16353460243382367,0.15593509788161375,0.12238280560166444,0.10988258306567245,0.2800754193623995,0.17267561157982092,0.13561228981038329,0.1301143403787466
Canon 5DMarkII,0.0802862111570814,0.07045692786837529,0.11302451095807087,0.05138307808186294,0.0825866161691995,0.069193035782856,0.0,0.04899555525568611,0.04841958015420408,0.15254691515386845,0.12391970946404222,0.1336355664497801,0.12333920528061727,0.10276795052454261,0.1356899888847298,0.12420660061960266,0.1126108633526406,0.11876285457713469,0.14500042044711406,0.10847537637721698,0.1796793858789698,0.14296202004284764,0.09790049828471115,0.14394853598406962,0.2854204360515131,0.14208689806462527,0.15253698575147442,0.11442922096058479
Canon 600D,0.09097442274422875,0.07551844143263363,0.1112739781303671,0.04255273169463422,0.07234420946510611,0.05764178914606971,0.04899555525568611,0.0,0.022929642499022,0.14721843527000608,0.11722795714308915,0.12802939860916818,0.119639558461344,0.1008256796442339,0.13566918641609257,0.12624198984831506,0.1000528006571225,0.11726866234177158,0.14851957503677862,0.10628403944357902,0.18138262005452888,0.1381812399415591,0.08519494690170337,0.12932112987490615,0.2662617510286678,0.13935611648903387,0.14266732414392413,0.11160211155640869
Canon 60D,0.08757013926439054,0.08075923439705747,0.10473784714098329,0.053779603153757995,0.0702128226084779,0.05545773705555227,0.04841958015420408,0.022929642499022,0.0,0.14569937549718365,0.10955422206749527,0.13503522879720767,0.12382092052435496,0.10104388244748393,0.12841320147671134,0.12172534131041139,0.10959927871794094,0.11841928543517448,0.15074956941811138,0.10474714215699864,0.1696560389346511,0.12990217718612834,0.08817175646771287,0.11783361397781918,0.274476025675856,0.13924883065820598,0.13857362630054063,0.10415045301295779
Hasselblad H2,0.14616167437490166,0.1392301516316747,0.13781315663188606,0.14233164558119513,0.16896193897033954,0.16297482293328955,0.15254691515386845,0.14721843527000608,0.14569937549718365,0.0,0.14415734890494392,0.15199255935641606,0.1399012192217225,0.11708730350847645,0.14904153679894896,0.12486234651426471,0.15835502975759316,0.13761323057495636,0.15853062808307053,0.1279886205639346,0.14619749992786585,0.13002622596801752,0.1484219874038081,0.16482080545011238,0.23420145470126288,0.12279860359500953,0.16051707606370313,0.15596551596294164
