camera_name,R_peak_wavelength_nm,R_spectral_centroid_nm,R_spectral_std_nm,R_coverage_min_nm,R_coverage_max_nm,R_area,G_peak_wavelength_nm,G_spectral_centroid_nm,G_spectral_std_nm,G_coverage_min_nm,G_coverage_max_nm,G_area,B_peak_wavelength_nm,B_spectral_centroid_nm,B_spectral_std_nm,B_coverage_min_nm,B_coverage_max_nm,B_area,R_G_cosine_overlap,G_B_cosine_overlap,R_B_cosine_overlap
Canon 1DMarkIII,590.0,601.0358450719084,35.70100032594914,400.0,720.0,4.2898684760000005,530.0,531.1816650112713,37.82481961615099,400.0,720.0,9.237907025999998,460.0,467.04691877726395,30.030550512497143,400.0,720.0,6.9452468202,0.3576597334642894,0.38512360755182323,0.021395134466653146
Canon 20D,600.0,600.8364694989382,40.666940496205534,400.0,720.0,4.919125330000001,530.0,535.1466198338927,38.78343675553128,400.0,720.0,9.194226826,470.0,472.0387243515335,30.039360469583695,400.0,720.0,6.038151828,0.400820679408949,0.3830588886308864,0.04090855498286742
Canon 300D,590.0,603.7755396186594,35.998602222611424,400.0,720.0,5.03713864,530.0,525.5016263335596,42.22643773013829,400.0,720.0,9.809662911999999,470.0,465.4574265425979,34.33216266087642,400.0,720.0,9.317234721,0.2560838848526122,0.49763930596338046,0.026804674079591955
Canon 40D,600.0,603.5835767780181,40.08094931439998,400.0,720.0,4.495069729999999,530.0,534.2117422849337,39.155342483232765,400.0,720.0,9.794401059999998,460.0,473.5462735091046,35.143902023107266,400.0,720.0,7.462426778999999,0.4155246374622006,0.4377479328093495,0.057763402349600805
Canon 500D,580.0,590.1335332062267,46.49831018174432,400.0,720.0,5.480389639999999,530.0,532.9701725678401,44.2131763800967,400.0,720.0,11.08500518,460.0,480.8613039257798,47.46434555441006,400.0,720.0,8.7702093,0.5878253875825763,0.572308981726234,0.20310615231825674
Canon 50D,590.0,591.8054345016099,45.711812036847675,400.0,720.0,5.3015849600000005,530.0,534.3228724092073,43.27554972714677,400.0,720.0,10.977298527,460.0,479.856220856338,46.93228588112863,400.0,720.0,8.907580386,0.5657183124040328,0.5338449205086248,0.1902064326907896
Canon 5DMarkII,600.0,597.4574997461157,41.0094347010814,400.0,720.0,4.9235,510.0,533.7978042562047,40.40191587738478,400.0,720.0,9.6095,460.0,469.74888319537513,34.40640573905662,400.0,720.0,6.0888,0.49070874152011934,0.42697344439051904,0.057364785762892806
Canon 600D,590.0,599.4660436604346,41.53159234714416,400.0,720.0,4.66655364,530.0,533.5641583555961,41.909154724757535,400.0,720.0,10.3872098,460.0,474.1828187416226,38.305424134917445,400.0,720.0,7.121079406000001,0.46767478611911756,0.4839673828492849,0.08233327673203719
Canon 60D,590.0,599.0656799941238,41.7110555596813,400.0,720.0,4.72383538,530.0,533.385899544342,41.64484661288805,400.0,720.0,10.435807009999998,460.0,471.45792774459534,38.86210696954155,400.0,720.0,7.498768475000001,0.45958826441819695,0.4635880860343518,0.08008671173907364
Hasselblad H2,610.0,601.8010990497149,49.644389489198694,400.0,720.0,3.3658531999999997,530.0,535.8831094798674,36.48306279152532,400.0,720.0,8.4860945,480.0,473.24327434966,41.46743280781194,400.0,720.0,8.538778720000002,0.2749832978175166,0.4393623471728937,0.11448620566215235
Nikon D3X,600.0,597.254577653302,46.77768932783332,400.0,720.0,4.49097521,540.0,529.4075907340182,40.83584193137827,400.0,720.0,9.79124388,470.0,466.923821987513,32.003561981152856,400.0,720.0,7.449905983,0.2592961711110961,0.41469994325156473,0.07376820438247816
Nikon D200,590.0,597.7511998460085,47.34135578841358,400.0,720.0,5.031545679999999,530.0,530.6254766728472,38.2100247899555,400.0,720.0,8.66205989,450.0,464.7985685225065,26.311581256684693,400.0,720.0,6.320958898,0.24853381790426082,0.32558200028436085,0.07110210605866821
Nikon D3,590.0,596.8399720510267,48.01961196437567,400.0,720.0,4.7893995700000005,530.0,532.0219808694309,36.02730217877679,400.0,720.0,8.62278267,460.0,466.01867935630355,27.67845754042233,400.0,720.0,6.744241073,0.24777754323881288,0.3198819701228934,0.07605702714042904
Nikon D300s,590.0,592.687135909354,50.91138807982637,400.0,720.0,5.79013605,530.0,531.1249548158203,39.00803537441984,400.0,720.0,8.757462310000001,460.0,469.8101922123494,32.7376528580129,400.0,720.0,7.349859072,0.3000058905545292,0.4175394929035928,0.10164762598088452
Nikon D40,590.0,598.9241387964153,47.01325143180173,400.0,720.0,4.180739099999999,530.0,526.8192219576927,40.68470071832117,400.0,720.0,8.911960099999998,460.0,457.02246659354216,31.037809812218,400.0,720.0,7.04686804,0.27788876470248924,0.33564937577483495,0.04427889696868507
Nikon D50,590.0,601.8500142991844,48.48820366094877,400.0,720.0,4.107576900000001,530.0,529.6273880293264,40.59879323574588,400.0,720.0,8.836742399999999,460.0,458.9519123401616,31.42092897645206,400.0,720.0,6.940104782,0.2752945801009476,0.3321890629824281,0.04527800391016677
Nikon D5100,590.0,594.8430234930045,48.08916171749207,400.0,720.0,4.83714802,530.0,527.9670389504578,42.02325474190362,400.0,720.0,9.580863,450.0,472.0963100088636,31.65175814624803,400.0,720.0,7.210630735,0.3213665895524764,0.4879860541866302,0.10142777350835203
Nikon D700,590.0,597.2743011422615,48.64034598585439,400.0,720.0,5.02577178,530.0,532.216126915491,37.04246587650985,400.0,720.0,8.8512946,460.0,465.1823659020648,27.73824061579346,400.0,720.0,6.945847938999999,0.2564217507926315,0.32234743288979534,0.07462818612295428
Nikon D80,590.0,600.0171005080321,43.83980600843812,400.0,720.0,4.4723232699999995,530.0,530.9956151513462,37.067373339587064,400.0,720.0,8.182076015,470.0,466.42067013390556,26.065274675336777,400.0,720.0,5.470200730999999,0.22699581221920062,0.31251603990908805,0.049042794442430204
Nikon D90,590.0,591.2440081181378,53.605091901122876,400.0,720.0,4.72702494,530.0,529.3279323505452,39.29608646697817,400.0,720.0,8.747564259,460.0,468.6032256415154,32.31020234201235,400.0,720.0,7.4227628228,0.28559551127566724,0.41904824561549786,0.11619291315002794
Nokia N900,600.0,604.5117812501629,36.406653907155146,400.0,720.0,7.4398556000000005,530.0,544.2060446727862,42.74775911102295,400.0,720.0,9.2777065,460.0,485.3933957993311,59.924894499863356,400.0,720.0,7.286976640000001,0.43263852992199026,0.4984512565658825,0.20873107139761873
Olympus E-PL2,610.0,609.8912448338489,30.79282742269079,400.0,720.0,7.31181909,530.0,537.178024532389,42.44127539133724,400.0,720.0,9.44297922,470.0,471.9159296134538,43.198560986422386,400.0,720.0,7.17310036,0.27061809802819486,0.40903800589042366,0.05765890759810822
Pentax K-5,590.0,596.8424969739402,52.06463668334676,400.0,720.0,4.77968112,530.0,527.6681207504837,44.17340149498173,400.0,720.0,10.05603425,470.0,468.603567422619,33.78390069644236,400.0,720.0,6.670692077,0.31701628225735107,0.48006061444916964,0.10200116147195044
Pentax Q,610.0,603.1390131335892,46.04689672171728,400.0,720.0,7.9343201,520.0,541.9401814576963,46.45984277755032,400.0,720.0,11.800670039999998,470.0,481.05789259523897,53.69152597927043,400.0,720.0,7.42269833,0.4436801142987961,0.48712179250511894,0.17288292133627264
Point Grey Grasshopper 50S5C,620.0,635.0465618243516,49.204896687361604,400.0,720.0,5.03919688,550.0,555.7009217411057,49.4477193637591,400.0,720.0,5.216853159999999,480.0,485.2172642386574,41.67514876086508,400.0,720.0,9.41690249,0.2803950969500513,0.41886075272329565,0.0611637017312393
