artifact_role,path,exists,size_bytes,sha256,protocol_version,status,required
so0_config,src/skin_optics_so0/configs/so0/forward_model_mvp.yaml,True,1888,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,inherited,READABLE,True
so0_version,outputs/SO0_Forward_Model_v1.1/FROZEN.json,True,1152,5f10ad0e337de3ee8f6ce9995c3681cf5e6de37a3073902033a8d08585965c20,inherited,READABLE,True
a0_freeze,config/so_r1/frozen_camera_light_split_v1.yaml,True,2544,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,inherited,READABLE,True
am2_selected_camera,reports/so_r1_a0_am2_lite/selected_fourth_seen_camera.json,True,436,28891b7d5135bbedcfea1bd64e09e5bcb74ca449ac7c7fab38eacbc74a1c0f06,inherited,READABLE,True
am2_24pair_candidate,reports/so_r1_a0_am2_lite/camera_light_24pair_allowlist_v1_1.csv,True,3078,b2550de4ec167a894a989fc3694a894d84b0d80b3c226f02d2ecf18c5c04d5bb,inherited,READABLE,True
c2_config,config/so_r1/so_r1_a2_p0_c2_mask_benchmark_closure_v1.yaml,True,1640,70dcdba0f16eda64f66efd5a86249141b25f5edc82bd21376a256cda15b4e87b,inherited,READABLE,True
c2_acceptance,data/processed/SO_R1_A2_P0_C2_MaskBenchmarkClosure_v1/C2_ACCEPTANCE.json,True,1139,94cda32c1df222b98dd9faf672b97ceb11eb07946ed8b0133ca8fc8df83e64cf,inherited,READABLE,True
c2_resource_projection,reports/so_r1_a2_p0_c2_mask_benchmark_closure/full_scale_projection.json,True,1114,a078373c0cf4c404023617671cf8d5eeed562a35263067dd7bff1030b6c78091,inherited,READABLE,True
r1_acceptance,data/processed/SO_R1_A0_AM2_Lite_R1_HighClipAudit_v1/R1_ACCEPTANCE.json,True,3023,687cb1c30f6b2b7983ca4d88726f50e109dcd41a04743d77ca4528e9965fa0ad,inherited,READABLE,True
r1_p0_v6,data/processed/SO_R1_A0_AM2_Lite_R1_HighClipAudit_v1/P0_CONSOLIDATED_ACCEPTANCE_v6.json,True,256,ef5fd1d718ef0ee0a4bf9033ea3c3a020d079c4d46d6b33051d2debb287427a3,inherited,READABLE,True
r1_attribution,reports/so_r1_a0_am2_lite_r1/four_case_attribution_decisions.csv,True,404,d304ee153b81fbdb0f645f69510f79b9010bc3b0552b0ea295cd918509bb4c75,inherited,READABLE,True
r1_response_curve,reports/so_r1_a0_am2_lite_r1/exposure_specular_response_curves.csv,True,20974,c7a2e2f0f2272586d9b9a3f809b5934f91231f73a5b4a489964f1d0ac88d73fc,inherited,READABLE,True
r1_corrected64,data/processed/SO_R1_A0_AM2_Lite_R1_CorrectedRegression64_v1/ACCEPTANCE.json,True,526,6f5de1d18be0005d606209971c31d50960304e7aa4932fe992d2c1743ca9a479,inherited,READABLE,True
r1_independent128,data/processed/SO_R1_A0_AM2_Lite_R1_IndependentValidation128_v1/ACCEPTANCE.json,True,527,16d0aead2a96d9a8f41422f72db180cc2b775be725c87e87f7141c33a31953d2,inherited,READABLE,True
r1_nuisance_candidate,reports/so_r1_a0_am2_lite_r1/acquisition_nuisance_sampling_candidate_v2.yaml,True,429,977d8e45089e14a3bbd22a0e0e5a6f388d51e5e4bb2426c4945ccb04f876fa31,inherited,READABLE,True
