latent_id,split,split_order,mask_class,latent_seed,mh_seed,mask_seed,protocol_id,protocol_version,split_index,m_base,h_base,mask_category,m_seed,h_seed,camera_schedule_seed,light_schedule_seed,appearance0_seed,appearance1_seed,appearance2_seed,c0,c1,l0,l1
F00000,Train,0,Full,17078939623348110432,8288463715488640335,2390429502412686701,SO-R1-A2-D0-AM1,1.1,0,5e-05,0.20375,Full,8288463715488640335,11985009955872175415,12696874436941550127,546446923032203671,9470885114677263868,2232957082556689795,7457011217955976154,Canon 5DMarkII,Hasselblad H2,D65,A
F00001,Train,1,Strong,673796536303699971,10871872410246939954,16418293922753824794,SO-R1-A2-D0-AM1,1.1,1,0.00015,0.02635,Strong,10871872410246939954,5627947389226323035,13577163885509773395,9522159088975572091,5730171953931418392,12645105376942043546,17530167308007792092,Hasselblad H2,Nikon D80,D65,A
F00002,Train,2,Mild,17711997697217175230,10416401742404408070,14867175947004668235,SO-R1-A2-D0-AM1,1.1,2,0.00025,0.58655,Mild,10416401742404408070,2041491744919354760,5021097476214470847,7078026884519868634,13033681956875960129,3752063938141841571,4817328888649400727,Nikon D80,Point Grey Grasshopper2 14S5C,D65,A
F00003,Train,3,Mild,6169934268272807039,10123494308515290792,15380959495003199096,SO-R1-A2-D0-AM1,1.1,3,0.00035,0.77065,Mild,10123494308515290792,9783602716945377430,13239782620571688173,7461930929705954006,6758255958611163345,5801151765673731896,16853861028424912482,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,D65,A
F00004,Train,4,Full,7173875535319154455,13153773075438403603,4840787414339829240,SO-R1-A2-D0-AM1,1.1,4,0.00045,0.89985,Full,13153773075438403603,1847802524591231055,17134050465428973101,152751866368814283,3483813811730506339,80058453559146704,7711094307015965360,Canon 5DMarkII,Hasselblad H2,A,FL2
F00005,Train,5,Full,3828984858359630767,2099689833238296132,10791545141090776901,SO-R1-A2-D0-AM1,1.1,5,0.00055,0.52895,Full,2099689833238296132,1227751883534839500,6048779571551745086,5300049676480513887,4655085219156004597,17994085069793822071,6502075651951653522,Hasselblad H2,Nikon D80,A,FL2
F00006,Train,6,Mild,4219213433744598535,11594133960882444769,16940973040257661334,SO-R1-A2-D0-AM1,1.1,6,0.00065,0.23055,Mild,11594133960882444769,18437039711471776762,7317375600597119119,5823243677070868274,12721501379344320018,4670497226174777603,12170388320488424112,Nikon D80,Point Grey Grasshopper2 14S5C,A,FL2
F00007,Train,7,Mild,17740478516779659972,30317062141149380,8980124608584799988,SO-R1-A2-D0-AM1,1.1,7,0.00075,0.94135,Mild,30317062141149380,5951641560174952837,2799587227562895938,17883171951294255184,7653135625135433390,6178731199221497304,5964871505322590447,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,A,FL2
F00008,Train,8,Full,6151351951970772599,7587784186158880811,15920127463567340607,SO-R1-A2-D0-AM1,1.1,8,0.00085,0.62435,Full,7587784186158880811,547979501810881577,4041120096133725246,1294531217268814089,12941286821971381376,7435144734263759661,6137677574057783941,Canon 5DMarkII,Hasselblad H2,FL2,D65
F00009,Train,9,Mild,1387007828115175955,10466669676395302453,17795283130437689063,SO-R1-A2-D0-AM1,1.1,9,0.00095,0.46815,Mild,10466669676395302453,9673261687901562420,15184311032498931439,1507424172572333041,4264363339645972572,2825433898985312116,14732510322875904407,Hasselblad H2,Nikon D80,FL2,D65
F00010,Train,10,Full,11239009986737216472,9353733247855189316,14679460409111576205,SO-R1-A2-D0-AM1,1.1,10,0.00105,0.08065,Full,9353733247855189316,7903421894792289242,5561199379079357241,13821264465847907292,4005249821062563646,2043355776649427413,1299057429080094657,Nikon D80,Point Grey Grasshopper2 14S5C,FL2,D65
F00011,Train,11,Mild,1799820611624423133,3432863230002103759,1020907213538482676,SO-R1-A2-D0-AM1,1.1,11,0.00115,0.34205,Mild,3432863230002103759,15707555786395589708,12249108127595846244,5149879198527881254,18099904212936099990,1067346701410805829,14888473770634623609,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,FL2,D65
F00012,Train,12,Strong,9340647227919509572,9637131766027774973,5211442495204560839,SO-R1-A2-D0-AM1,1.1,12,0.00125,0.00295,Strong,9637131766027774973,6515283211744016896,9333274808598996736,13172800289666882818,14023450653600007155,1127405171957759566,5233431566040605796,Canon 5DMarkII,Hasselblad H2,D65,A
F00013,Train,13,Strong,13035674375765143092,12242752645902929926,10244310545932177665,SO-R1-A2-D0-AM1,1.1,13,0.00135,0.43825,Strong,12242752645902929926,8916228401383801917,14418345160325687253,7210850061711653576,15390473387227236952,8499879953062129329,13618167853000358315,Hasselblad H2,Nikon D80,D65,A
F00014,Train,14,Mild,4554340985869662441,2853123957737650835,3433277899361796563,SO-R1-A2-D0-AM1,1.1,14,0.00145,0.19975,Mild,2853123957737650835,1205525394200074747,11932243356459837877,16745681776278676413,4409475816775992032,11559148534794497410,16065934197223344445,Nikon D80,Point Grey Grasshopper2 14S5C,D65,A
F00015,Train,15,Strong,14367272494087953041,7732755851423471917,16538985045459771684,SO-R1-A2-D0-AM1,1.1,15,0.00155,0.30525,Strong,7732755851423471917,15473430449734055290,2325644479443742332,11876327799258725115,11877682507852122722,18411735977862764313,6906555532919572346,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,D65,A
F00016,Train,16,Mild,13764022032640875221,12821874288181603931,4202941381092941188,SO-R1-A2-D0-AM1,1.1,16,0.00165,0.24325,Mild,12821874288181603931,16108920965046833146,13356225790939821154,11426796634884102069,10619421762291086587,16091096773846228008,922825157732303255,Canon 5DMarkII,Hasselblad H2,A,FL2
F00017,Train,17,Full,4852237782450607273,17097562721795722239,9601339330003133236,SO-R1-A2-D0-AM1,1.1,17,0.00175,0.38425,Full,17097562721795722239,9621474571149352469,7519695283544075105,14482190260768185007,2770804113468072817,12995427371945370156,9166992672488514870,Hasselblad H2,Nikon D80,A,FL2
F00018,Train,18,Mild,3700732111620722984,16057980595585736889,6567794998733198899,SO-R1-A2-D0-AM1,1.1,18,0.00185,0.39335,Mild,16057980595585736889,1661879342575469981,2462349039411310946,12304663229220461421,1795890519915548367,8654272511530341257,838221895197948181,Nikon D80,Point Grey Grasshopper2 14S5C,A,FL2
F00019,Train,19,Strong,7891398037167244485,15860695173878080274,10132558397676115090,SO-R1-A2-D0-AM1,1.1,19,0.00195,0.39255,Strong,15860695173878080274,12183259543576088065,9887037782885888838,7905201577341640540,8390081581363893154,14755456479419090998,524190847382807523,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,A,FL2
F00020,Train,20,Mild,13299524270040536818,10507207413241413832,8375642555269861795,SO-R1-A2-D0-AM1,1.1,20,0.00205,0.88915,Mild,10507207413241413832,7753743116223108103,5261880986578538912,14449934822036662608,10347363087430681316,9380629503738015185,252308705723106819,Canon 5DMarkII,Hasselblad H2,FL2,D65
F00021,Train,21,Mild,4699820682929543228,14418970278454636580,8738762679413360601,SO-R1-A2-D0-AM1,1.1,21,0.00215,0.00245,Mild,14418970278454636580,15051993931599316401,1117803668171100718,526531002489249772,5011077962693333429,434244045810925241,14273338242589332059,Hasselblad H2,Nikon D80,FL2,D65
F00022,Train,22,Full,13266513218190403731,16358662380510961802,17542446967999216006,SO-R1-A2-D0-AM1,1.1,22,0.00225,0.52445,Full,16358662380510961802,16316094581343150662,2194870109809485196,10583837765328292255,4611866153493252063,1394114139852391437,3648985681190876701,Nikon D80,Point Grey Grasshopper2 14S5C,FL2,D65
F00023,Train,23,Full,13424643222278726145,17494668681749665244,152589949377520462,SO-R1-A2-D0-AM1,1.1,23,0.00235,0.44025,Full,17494668681749665244,8363573730847132543,11073787306532779262,13522648188477126933,6127422036520788299,11915192392529801031,850335679383302321,Point Grey Grasshopper2 14S5C,Canon 5DMarkII,FL2,D65
F00024,Train,24,Full,11039590828459883183,2637062973857002909,1940081386580508531,SO-R1-A2-D0-AM1,1.1,24,0.00245,0.87955,Full,2637062973857002909,9046301178890190893,9985883915037022927,13942473565688075082,10769593920420024523,7230788998664331274,5480127066348190974,Canon 5DMarkII,Hasselblad H2,D65,A
