sample_id,latent_id,latent_split,acquisition_id,acquisition_role,camera_name,camera_seen,light_name,light_seen,acquisition_domain_role,appearance_id,appearance_seed,shading_hash,specular_hash,appearance_hash,exposure_ev,exposure_multiplier,m_hash,h_hash,mask_hash,so0_version,so0_config_hash,camera_light_freeze_hash,srgb_hash,linear_rgb_float32_hash,linear_rgb_float16_hash,valid_skin_fraction,rgb_mean_valid,rgb_std_valid,luminance_mean_valid,luminance_std_valid,low_clip_fraction,high_clip_fraction,all_zero_fraction,all_one_fraction,nonfinite_count,output_path
L019_A2,L019,train_like_id,A2,light_only,Nokia N900,True,FL2,True,ID,appearance0,1139282150772834885,476d098ba826d8c1c36b40606baa55944b46f527493593b05a6aff02bab4068b,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90,2a155bd6c3ffd7893abf874d28163fa30a42a9c5d6e4f8407bbcc6af436420c0,0.4664382001135704,1.381694056262274,569e7be9527d5aa3af5c265e0f3e89be1e1c65f3b4ce7427e6f31b2f55f9cb18,ee6f73ae254a3133a57899077d3d73fd290103b28b5d4c705845b6a5793b2c21,41ec5439ab2be7a9c964a2406f49797e31776abdb150da59c0cfeb3af7ba157d,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,f692da9f8a2632b921d5de5dfe9a783c7bcc89260fb533aa5a298d3a3cbc602c,ff3a5dd75315313088ae69791afd2d09bccf7887fef4131bbfce55b8298fc20b,c292ccd6612faef96b5d1f76b3b72d803d87b0ec0ca36585e0e7ed4741aa7420,0.60675048828125,0.2964796721935272,0.2202766984701156,0.3575416802179292,0.0280009194706292,0.1025034586588541,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/train_like_id/L019/acquisitions.npz
L030_A4,L030,validation_like_id,A4,joint,Nokia N900,True,FL2,True,ID,appearance2,13720826997819598982,a1f73cd785cc1bdb37f735d6be45ba3ca02e75c33f2b172e6b2bb8e4da4f9d9e,a96cc261d61354551126559114d442631bfdde226c7706fca61bf93ea86c64bf,8a8e24abfa1dcd70a82492ee64472b5aad87fd7d82bbcb8532e6afefdece1418,-0.0039225276175316,0.9972848038722671,e103fa0f1e75955ce16159b3e1593cb9f8b099cf73c8ebec08240aed1ca1f374,33b887052a20a85babdfa545af9457388749d8ef97d271d1e035021c16a5c24a,a54b5abfcde995683783c1b56ca5bee9ff29ba1c6be9dc8c8ce53db2bc46d1d4,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,2802c1a475483d5a5edad591fcf89f6da9d53d749aec930e8031bb1821b8d385,cdcd668d7ca39f548f27298a80d04551e349c37f02dc010a4d9fea8ef7a03d41,ccddca93bc9d05d4ddab254db2ec6ffe24ad83e5488e7760c915cb5afd856d63,0.5064239501953125,0.2685612440109253,0.1910382658243179,0.3255457421077229,0.0173785305346852,0.1538899739583333,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/validation_like_id/L030/acquisitions.npz
L031_A0,L031,validation_like_id,A0,reference,Nokia N900,True,FL2,True,ID,appearance0,3483645261554607735,3662523145a8cb55bf76c8b03e7f92018931edd7c972ed03fdbff1102e1e7057,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90,30701ef22667d02dc278062c44568dde5a5124798f89012eaaf9f8176e6975f8,-0.2630662848115773,0.833314919517136,bbdfbf6986f84cb69f445208772da7973a6b28ae9dec85dad7bed5e26ab9d2aa,bc2049d598c9bd092dd2b2b8906573311a94ad69b05420a9dd886391aaec86e0,6e503719d0247d05f9f6ba293e6053bdefed10825ba1357ea9b88d5c5c40f253,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,5803a8384e6a4bc115105d5b8c55c76c1d07b9f089fb55f5c2f106b5c487e54b,18c95bc545a3e03a2d7da19c11fe00b2c38b4aace3a80c59ceb3cbedabc060f7,98ce5610d78f8e8ee45c41220bb8eeef39bdf8ee30968355a0855a35629c3fb8,0.5666046142578125,0.2019982486963272,0.1583418250083923,0.241636898039613,0.0231998923414077,0.3333333333333333,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/validation_like_id/L031/acquisitions.npz
L031_A3,L031,validation_like_id,A3,appearance_only,Nokia N900,True,FL2,True,ID,appearance1,2154944949332385661,11e187fb675d48b7575ac80572325ec77d7d13a2d735508193f37d774068e489,45918bd6920bb9a805e55f0d3ac5b7e8e58bae64352f48e2eba42d10396f295f,1741a46e3e9535a2fb1dfd2015ac675584242f3d2960f20c958d398ce2333679,-0.1368097167441055,0.9095282054780678,bbdfbf6986f84cb69f445208772da7973a6b28ae9dec85dad7bed5e26ab9d2aa,bc2049d598c9bd092dd2b2b8906573311a94ad69b05420a9dd886391aaec86e0,6e503719d0247d05f9f6ba293e6053bdefed10825ba1357ea9b88d5c5c40f253,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,77c0b03bab3a5089d4da1d2a2f0bdda232550324a461ed75c4b9a9ee594c0eac,24054290f13ab8c8adf4cde0a671dd7c8ac8f5741c1ab5439bcc88d45cc06499,5941a107944022848f496680437f46bb762d5cbd983ddb67e3afa3a6c4dd2085,0.5666046142578125,0.2168769091367721,0.1671668291091919,0.2591142827381781,0.0189504240960595,0.3270416259765625,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/validation_like_id/L031/acquisitions.npz
L039_A0,L039,id_test,A0,reference,Nokia N900,True,FL2,True,ID,appearance0,3978077854824485629,5fad95d38e084cf8d0f0cfe09fc26a916cc3c274282e80fabec495ce92969524,3566bbe9732e55560fc43f949fb924d40c2720d6a560535724f45a73148f3797,f6f4bd2545c40d2ee4686207a886062c3bcb8d22a06c0382bcaf7aa154eafc23,0.0815447376292295,1.0581504281835266,4c74fec6456ce50f8730d0fc92a259deab6ae333c639c575b73fa94b84fe44e5,61984ef185dbb3dbabc674ebe99dc54d4b8b6a2cb955483ef35203416982e998,f88605634d57235a4034e6a75a5b7fab76ffc18239e1e3d1c638b2636a317cef,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,fa9fe60a715dccc56efde58324ebb557c3ddd949c628453a512d6dfe20768eb1,4719febfc97b672ca8b23aabf08265b221fd567f1ab79331ef27e41bddac2dd4,e0a910f7635b39c5e6fedd119f9a0debdc21775231842c5ceb88cbc49d552794,0.4724578857421875,0.2318453043699264,0.1784344762563705,0.2775617422008268,0.0163639986376172,0.3262736002604167,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/id_test/L039/acquisitions.npz
L039_A3,L039,id_test,A3,appearance_only,Nokia N900,True,FL2,True,ID,appearance1,560017152952811699,ac7984000013c2bd38459935347a575574a2797cb614cb71b7a6984fd4875f94,5fc71e9e929ae6e5a029c24c803512a7125077f58cfd8262cdcd6e18d49d7768,7bee798526a08be2e289bec8d71a532266344a4114c5bad34044005e5c5ad9a9,-0.1801577790011309,0.8826064655771607,4c74fec6456ce50f8730d0fc92a259deab6ae333c639c575b73fa94b84fe44e5,61984ef185dbb3dbabc674ebe99dc54d4b8b6a2cb955483ef35203416982e998,f88605634d57235a4034e6a75a5b7fab76ffc18239e1e3d1c638b2636a317cef,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,24803be1f0b5204b18f8eb50a1fa007b76ae846d0a449de96172238833411e2f,d2b011283fd886988a2b729db749d2721ca3c99019d7fc8e024f8a09bc20f303,ac90278e8e1c8e9b057c98ac9c0730dd54b12679075cb1604c2b58793d35714a,0.4724578857421875,0.2138069719076156,0.1634808927774429,0.2546924342331944,0.0194244403891772,0.3227793375651042,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/id_test/L039/acquisitions.npz
L047_A0,L047,camera_ood,A0,reference,Nokia N900,True,FL2,True,ID,appearance0,17894777585181312430,7331b5fbc1462aee6e4610a1e46d876fa82e7d9c82b9eb24b12e25db24e24b69,99a034c077d242d248aa293aa494f0807e62993f6ec43b5b6a9a691a4e33058e,eade0eba13e9b8044ccd1b5f4588236ac832535adf85bfd83a6d86f031d46a2f,-0.4759500340349091,0.7189931674346982,0cd13bb8722b4cef19a57ffc1cc8135425af5d4c22eede5c51b9eda1a0498f04,73d0cb04dd0e35b9280e0695e986154466f152845a89fd64f0986a7c0888e612,6cffe58e1f61686761ff99a85d760c9a5da255872616bf13502dd64080867cc0,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,c17de55233a26961aaf54155c3731acccf6cc4b3930c90f7a3a65ade21b0a6d7,1a8443282b875ca936a6e4074aff0ea8a968d8d307f2e51e8008ebfffd8a55ee,b879db2b797cdf2d58b992d58a7ca10d106a64acfb5a8be8f5403fb8b8d60d22,0.5192413330078125,0.1784539222717285,0.1421724557876587,0.2077658134847055,0.010880386385395,0.3296966552734375,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/camera_ood/L047/acquisitions.npz
L047_A3,L047,camera_ood,A3,appearance_only,Nokia N900,True,FL2,True,ID,appearance1,6406266735547489859,33991a16151268e3f58d160f162eb1609d5c71c976ee2efe0e266f1387ccb033,18718c11e3582027d92ae056ac54b4e5cfcd48cab73536df4a64b3102401f5fe,22c851755f8ad21b6eeb0cccb6803291f5f93952cc08d363b09e49df13f04a70,-0.0838528759636813,0.943534466323594,0cd13bb8722b4cef19a57ffc1cc8135425af5d4c22eede5c51b9eda1a0498f04,73d0cb04dd0e35b9280e0695e986154466f152845a89fd64f0986a7c0888e612,6cffe58e1f61686761ff99a85d760c9a5da255872616bf13502dd64080867cc0,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,eecc54fb12ba7e7ef1ace077aab5e515e59e0d48ddc8a8af9528702f34b42cd8,a827d159b47c3448f3d290adb8c0857824d79304a759955ead4fada0d96b016b,84972ecf3237d4802868499987140b9083b46cf90cabbffb3efc2cf93d13e4c4,0.5192413330078125,0.206346333026886,0.1615407615900039,0.2405683010079179,0.0108554246355999,0.3185526529947917,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/camera_ood/L047/acquisitions.npz
L055_A0,L055,light_ood,A0,reference,Nokia N900,True,FL2,True,ID,appearance0,946286928825697488,1a948fd4f3321d3097cce1eef52f56a870ef13243adedd0bd046367d63302463,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90,ed8e012d173490e4327e318bdff790338cb5f13d515cbee97d89393c15774e22,0.3889419872807398,1.3094327679619155,949e750d70c2d2e0f3c9fc85afe8b026865976e296cdf04100ba133b9c5f3287,fc1c53193a805f4ac39b982bf69dc989bf2ed711c3fe379eabd81d6fc1f7f7f0,497173db83e5adb837e8505bc85cd49c680776d3b882ff24e8e3e5316935bfc9,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,a52007a4b301bf887bc527fc13b81dc472735919ca7f3e0703172908ba7548bd,c25316736798f550c274bf7332021294b77fe404219de1debe81548bad073f15,1bcbaecc5acd7cbbefc6b82cc4a93a9a1527e0cca77ef7e3da876b35908593bd,0.5821380615234375,0.2365358769893646,0.1890560239553451,0.2778962866023147,0.0274293553778185,0.3333333333333333,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/light_ood/L055/acquisitions.npz
L055_A2,L055,light_ood,A2,light_only,Nokia N900,True,FL11,False,LIGHT_OOD,appearance0,946286928825697488,1a948fd4f3321d3097cce1eef52f56a870ef13243adedd0bd046367d63302463,8a39d2abd3999ab73c34db2476849cddf303ce389b35826850f9a700589b4a90,ed8e012d173490e4327e318bdff790338cb5f13d515cbee97d89393c15774e22,0.3889419872807398,1.3094327679619155,949e750d70c2d2e0f3c9fc85afe8b026865976e296cdf04100ba133b9c5f3287,fc1c53193a805f4ac39b982bf69dc989bf2ed711c3fe379eabd81d6fc1f7f7f0,497173db83e5adb837e8505bc85cd49c680776d3b882ff24e8e3e5316935bfc9,SO0_Forward_Model_v1.1,3a6642557fafb1a9db80bcbb4f9f1a24cd167873b5a4a1b59b24525763740872,99d4e51442d542aed8522547e6c7ef0d59d7f3429edf7ecee698fc5acf873aee,40d3fabd42c585550a94f19fb8de3b831f795a174d6796aaf16ab0e9905777bb,ca57c1353feb5cdff9a746f7d8da06455b7a8c2e80a74235cab77abf0941a562,b5c21ef58d48187e944770570a12b2518f076bc5dd784e8cd2f987cd266f68bf,0.5821380615234375,0.2446200549602508,0.2069557607173919,0.2729379532790102,0.02702430048581,0.3149973551432292,0.0,0.0,0.0,0,data/processed/SO_R1_A1_PairedPilot_v1/latents/light_ood/L055/acquisitions.npz
