epoch,train_masked_smooth_l1,validation_masked_smooth_l1,learning_rate,val_masked_smooth_l1_M,val_mae_M,val_rmse_M,val_mean_predictor_mae_M,val_prediction_mean_M,val_target_mean_M,val_prediction_variance_M,val_target_variance_M,val_variance_ratio_M,val_zero_saturation_fraction_M,val_one_saturation_fraction_M,val_pearson_M,val_spearman_M,val_masked_smooth_l1_H,val_mae_H,val_rmse_H,val_mean_predictor_mae_H,val_prediction_mean_H,val_target_mean_H,val_prediction_variance_H,val_target_variance_H,val_variance_ratio_H,val_zero_saturation_fraction_H,val_one_saturation_fraction_H,val_pearson_H,val_spearman_H
1,0.11072865324728191,0.11082477732749445,0.0009960612933065818,0.01621149812414558,0.04124449135545007,0.06741216306710979,0.2528877476880144,0.4844799042761891,0.4971985989941424,0.08408545607775048,0.08505252677151898,0.9886297241189977,0.0,0.0,0.9915090503437498,0.9932796648255401,0.20543805653084332,0.2521285587972636,0.2961161617896864,0.250338844442905,0.5771910672216667,0.4981203787866298,0.0038798593819965865,0.08396739892706453,0.046206735370791896,0.0,0.0,0.24245249849391887,0.23530958136618887
2,0.09652147725149988,0.08593148114039954,0.0009843072889837514,0.004186545345488501,0.022546549652339744,0.029487442848683713,0.2528877476880144,0.49324667743955536,0.4971985989941424,0.08127577393414767,0.08505252677151898,0.9555950542478651,7.3580593559932126e-09,0.0,0.9961914084987727,0.9965942417491205,0.16767641693531057,0.21310712068462465,0.25777719442467173,0.250338844442905,0.46057429549800816,0.4981203787866298,0.02200598740141549,0.08396739892706453,0.26207775496928576,0.0,0.0,0.4802012554397963,0.4197665619788094
3,0.08863529333509505,0.09114895165036492,0.000964923354701182,0.004153059771529106,0.022666209867168233,0.029087272201224354,0.2528877476880144,0.5049454267683624,0.4971985989941424,0.07912679893031627,0.08505252677151898,0.930328609082699,0.0,0.0,0.9967583640096527,0.9970917384878188,0.17814484352920074,0.2241418207493158,0.2641176865681112,0.250338844442905,0.5524150473532509,0.4981203787866298,0.022090601611125582,0.08396739892706453,0.263085458087297,0.0,0.0,0.4568520863430805,0.4132833521873907
4,0.08608142895661294,0.08585772590465762,0.0009382151866819102,0.0058252241089517395,0.026824529913994862,0.034299784532203254,0.2528877476880144,0.489683292988246,0.4971985989941424,0.0938608045642593,0.08505252677151898,1.1035627996849813,1.103708903398982e-08,0.0,0.9956604257465014,0.9965458138278552,0.16589022770036352,0.21166461633696007,0.2519951820625755,0.250338844442905,0.4852761074408191,0.4981203787866298,0.012600494698925657,0.08396739892706453,0.15006413036410304,0.0,0.0,0.5153578646742223,0.4708998689931926
5,0.08495531773380935,0.08387843336987018,0.0009046039886902867,0.003541166023010185,0.021085318453496364,0.02670990671861545,0.2528877476880144,0.4965941268289261,0.4971985989941424,0.0884013785962264,0.08505252677151898,1.0393739251710137,0.0,0.0,0.996681380432964,0.9973185647897044,0.16421570071673017,0.20988919866318778,0.24967928114201063,0.250338844442905,0.5150775269564803,0.4981203787866298,0.01978262012861015,0.08396739892706453,0.23559882027301643,0.0,0.0,0.5142844426700969,0.48703197438837165
6,0.08317360302060843,0.0805284064686206,0.0008646198293969955,0.004532072223612206,0.023988338982023526,0.030449208109984062,0.2528877476880144,0.5071157637679695,0.4971985989941424,0.08051450166920676,0.08505252677151898,0.9466444410934087,0.0,0.0,0.996259592440625,0.9964415304375398,0.15652474071362898,0.20187338900176613,0.24284617242378193,0.250338844442905,0.5224551833538715,0.4981203787866298,0.02186483477128781,0.08396739892706453,0.2603967140899525,0.0,0.0,0.5566834162601579,0.5343967315120131
7,0.07681793448850513,0.07573452317576645,0.0008188932828794708,0.006697207836872619,0.027752181059930405,0.03741752054117958,0.2528877476880144,0.4971436584566159,0.4971985989941424,0.0851283875039994,0.08505252677151898,1.000891928028008,2.796062555277421e-07,0.0,0.993937010275365,0.9944259975816333,0.1447718385146603,0.18931258080643779,0.23393181461064488,0.250338844442905,0.42553770668558794,0.4981203787866298,0.034138591802351764,0.08396739892706453,0.4065696000897337,0.0,4.433230761985911e-06,0.6482542060543419,0.6456437001502939
8,0.05700805096924305,0.059188684847737164,0.000768145484092009,0.004419556587356584,0.022647960734759595,0.03004033971421983,0.2528877476880144,0.49755018878035406,0.4971985989941424,0.08085670886149765,0.08505252677151898,0.9506679217033402,2.5753207745976246e-07,2.980014039177251e-07,0.9963670480728282,0.9965728704819253,0.11395781310811774,0.15520991871129317,0.2307052721797832,0.250338844442905,0.6057140078284693,0.4981203787866298,0.05357323492973898,0.08396739892706453,0.6380242286208433,3.189718730823058e-06,4.929899768515452e-07,0.7214720200609812,0.7249857595074778
9,0.049914858988206835,0.04613946677613853,0.0007131767561367541,0.0030529957657079625,0.018675183284803484,0.024841810666629167,0.2528877476880144,0.49636520535449774,0.4971985989941424,0.088019400440255,0.08505252677151898,1.0348828398326846,5.408173626655011e-07,0.0,0.997594789548315,0.9977775911644623,0.0892259377865691,0.12919273122667035,0.18287560718081367,0.250338844442905,0.48542155019054156,0.4981203787866298,0.055975420176418045,0.08396739892706453,0.6666327752398191,1.729143948658405e-07,1.0669186066190158e-07,0.781374093660117,0.7681617864842175
10,0.04655481825498864,0.04625314410090446,0.0006548539886902865,0.0029861835042554025,0.01900768261812666,0.02451724841302873,0.2528877476880144,0.49524307583333244,0.4971985989941424,0.08828190200318065,0.08505252677151898,1.037969186269291,3.973352052236335e-07,0.0,0.9976313439754133,0.9978502531222465,0.08952010469755352,0.12778660589332153,0.19634996668613297,0.250338844442905,0.5077099975625279,0.4981203787866298,0.06444446022735278,0.08396739892706453,0.7674938255897423,0.0,2.943223742397285e-07,0.7518281002171655,0.7453858821607445
11,0.045504077802132815,0.04636380985102325,0.0005940969666355698,0.0036623156863739665,0.020751167471625427,0.027161263930788628,0.2528877476880144,0.49341828670043936,0.4971985989941424,0.08994163192749799,0.08505252677151898,1.0574833616538268,4.010142349016301e-07,0.0,0.9972648727900745,0.9978665318507114,0.08906530401567253,0.12809241592994672,0.19529962468939352,0.250338844442905,0.5524009530624105,0.4981203787866298,0.05795744179061724,0.08396739892706453,0.6902374318032648,0.0,1.8395148389983033e-08,0.7696130062733743,0.7657829028471976
12,0.043303316581808034,0.04088922222636913,0.0005318638645048923,0.0029918624015230462,0.01884685057753034,0.024627091210261177,0.2528877476880144,0.501683572399053,0.4971985989941424,0.08879435143253522,0.08505252677151898,1.0439942798062674,1.2692652389088293e-06,0.0,0.9977206592456043,0.9980061865072842,0.0787865820512152,0.11596299667446759,0.1847877748083819,0.250338844442905,0.5435371173021593,0.4981203787866298,0.06084181433065827,0.08396739892706453,0.7245885320742932,0.0,7.3580593559932126e-09,0.7934750320826579,0.7891578604611181
13,0.04199928473699838,0.04209622456285939,0.0004691361354951082,0.00363170267620302,0.021150846030131818,0.027078939581928606,0.2528877476880144,0.507754403364514,0.4971985989941424,0.08430381261748532,0.08505252677151898,0.9911970380839482,2.943223742397285e-08,0.0,0.9971580850304773,0.9977102533694466,0.08056074644951576,0.11845440523657966,0.1809399607038959,0.250338844442905,0.4932450556341718,0.4981203787866298,0.0652855866637578,0.08396739892706453,0.7775111233404519,0.0,3.127175226297115e-07,0.7939094185499112,0.7894542845963188
14,0.040193081298843025,0.03964801091986025,0.00040690303336443076,0.0032946723775627296,0.019329211961593838,0.02575326662350556,0.2528877476880144,0.48375062300271804,0.4971985989941424,0.08250207768815859,0.08505252677151898,0.9700132473405313,3.1639655230770816e-07,0.0,0.9979866153131023,0.9980846113241129,0.07600134946215777,0.11301334290076498,0.18271223755812455,0.250338844442905,0.5410494625592968,0.4981203787866298,0.060962856365092355,0.08396739892706453,0.7260300681463968,0.0,0.0,0.7974120362074479,0.7953544164643882
15,0.03864333465872333,0.037675514187158025,0.0003461460113097141,0.002282707907030934,0.016218638666148793,0.02143832789170767,0.2528877476880144,0.4989328444606362,0.4971985989941424,0.08391683561408084,0.08505252677151898,0.9866471790957015,3.6790296779966065e-08,0.0,0.9980236124534765,0.9980956407938026,0.07306832046728512,0.11035621046358061,0.17433720918311083,0.250338844442905,0.4910796231008849,0.4981203787866298,0.06456765791651795,0.08396739892706453,0.768961034181879,0.0,7.3580593559932126e-09,0.8081746586043631,0.8062203580733777
16,0.03746979302382097,0.0405250229798663,0.00028782324386324637,0.002360119550917737,0.016535428789752088,0.021804670452307794,0.2528877476880144,0.4953378980125203,0.4971985989941424,0.08115192301849408,0.08505252677151898,0.9541388845095303,8.461768259392195e-08,0.0,0.998145545685234,0.998175938571603,0.07868992640881486,0.1153634523909876,0.18633241654719368,0.250338844442905,0.5502051535738508,0.4981203787866298,0.06408394950710689,0.08396739892706453,0.7632003649746404,0.0,4.67236769105569e-07,0.7955695794245197,0.7951390710724087
17,0.03620099380658939,0.035639377800872195,0.00023285451590799116,0.0020928295066286076,0.015488660994844576,0.020519660784553608,0.2528877476880144,0.49579850897851674,0.4971985989941424,0.08283425602473984,0.08505252677151898,0.9739188142788727,3.6790296779966063e-09,0.0,0.9982763057460616,0.9982944578332331,0.06918592609511579,0.10533906926610923,0.1709768489160778,0.250338844442905,0.5232397811559089,0.4981203787866298,0.06368236369723834,0.08396739892706453,0.7584177253430691,0.0,3.127175226297115e-07,0.8202931746772189,0.8167825715466341
18,0.03521158999353647,0.03495100924180222,0.00018210671712052954,0.0024106495878274906,0.01679622729541804,0.02201435340974107,0.2528877476880144,0.495843593998004,0.4971985989941424,0.08822526026156524,0.08505252677151898,1.0373032243776759,7.3580593559932126e-09,0.0,0.9980594646536731,0.998195488501769,0.06749136889577695,0.10324927574528346,0.1654091092327956,0.250338844442905,0.5062850667576031,0.4981203787866298,0.06791682673585381,0.08396739892706453,0.8088475718397266,0.0,3.5686587876567085e-07,0.8308796188150809,0.8261364220710347
19,0.034559160694479944,0.035357245770185355,0.0001363801706030051,0.002040176242500262,0.015250115086712977,0.02028128927259847,0.2528877476880144,0.49769514416642824,0.4971985989941424,0.08474630829129867,0.08505252677151898,0.9963996545212241,1.8395148389983033e-08,0.0,0.9982530203366747,0.9982777396884984,0.06867431529787045,0.10430477098451271,0.17290368231207004,0.250338844442905,0.5418899323479328,0.4981203787866298,0.06714957417303957,0.08396739892706453,0.7997100664195493,0.0,1.8579099873882862e-06,0.824208860982311,0.8229509911543611
20,0.03347454900294542,0.033542778056462365,9.639601130971386e-05,0.00213553999485859,0.015482588671481085,0.020753643727088048,0.2528877476880144,0.4930369304983495,0.4971985989941424,0.08367222101363175,0.08505252677151898,0.9837711375513251,7.3580593559932126e-09,0.0,0.9982685290833975,0.9982758818235735,0.06495001611806614,0.10020665209221934,0.16654754538114133,0.250338844442905,0.5139046542927332,0.4981203787866298,0.06780769172113837,0.08396739892706453,0.8075478410381302,0.0,2.796062555277421e-07,0.8283190262203626,0.8251009900126098
21,0.03264496555682272,0.03338820342045332,6.278481331809018e-05,0.0022039442727593717,0.016182383632258948,0.02105779072796716,0.2528877476880144,0.5031637987793204,0.4971985989941424,0.08489091790952119,0.08505252677151898,0.9980998934642833,0.0,0.0,0.9982558152761466,0.9983192743261377,0.06457246256814728,0.09968556142081987,0.16595123539613543,0.250338844442905,0.5236756880412082,0.4981203787866298,0.06603259432741021,0.08396739892706453,0.7864075244818195,0.0,9.34473538211138e-07,0.8311473562706306,0.8273243456686109
22,0.03209087157640606,0.03287802274988785,3.607664529881847e-05,0.002032141436396567,0.015100210302731572,0.020226283999328663,0.2528877476880144,0.4940485803966025,0.4971985989941424,0.08467767903494308,0.08505252677151898,0.9955927501415347,7.3580593559932126e-09,0.0,0.9983054301149815,0.9983130526108214,0.06372390406337913,0.09884390543972246,0.16261795691498138,0.250338844442905,0.5013872965229283,0.4981203787866298,0.06756447012402456,0.08396739892706453,0.804651221633198,0.0,5.408173626655011e-07,0.8354232320893608,0.8307216412553491
23,0.03182427049963735,0.03257485550925254,1.669271101624884e-05,0.0019830866756796552,0.015138297518999774,0.01997783829802585,0.2528877476880144,0.4991088620290118,0.4971985989941424,0.0844207872051321,0.08505252677151898,0.9925723598067351,0.0,0.0,0.9983126891957486,0.9983255522494022,0.06316662434282543,0.09791752583865895,0.16426342584472392,0.250338844442905,0.5201886874729361,0.4981203787866298,0.06849905742496476,0.08396739892706453,0.8157815807116303,0.0,7.468430246333111e-07,0.8352409031316039,0.8318166720647653
24,0.031742186162248255,0.032341186044536584,4.938706693418358e-06,0.0019549886709057246,0.014904665543773635,0.019840040026707476,0.2528877476880144,0.4970811829476722,0.4971985989941424,0.08439588484020921,0.08505252677151898,0.9922795717395471,3.6790296779966063e-09,0.0,0.998329718492684,0.9983388530563186,0.06272738341816744,0.097436501480088,0.16331880869896273,0.250338844442905,0.516423471731934,0.4981203787866298,0.06904651529087624,0.08396739892706453,0.822301466678171,0.0,6.659043717173858e-07,0.8368201853423284,0.8333636979892189
25,0.030863851072080433,0.032326715149536375,1e-06,0.0019586524653331283,0.014901500479751218,0.019859783922809227,0.2528877476880144,0.49736642095332834,0.4971985989941424,0.08472094781708722,0.08505252677151898,0.9961014802614566,0.0,0.0,0.9983230267681069,0.9983356601665385,0.06269477783373963,0.0973311556161463,0.16328869179666244,0.250338844442905,0.5134482441822239,0.4981203787866298,0.06939078530782977,0.08396739892706453,0.8264015105208123,0.0,6.585463123613925e-07,0.8363224361203229,0.8326877774777404
