model,split,latent_id,pair_type,channel,masked_mae_drift,masked_rmse_drift
Baseline,ID Test,F11000,camera,M,0.012329746969044209,0.013147629797458649
Baseline,ID Test,F11000,camera,H,0.04846644401550293,0.04950685054063797
Baseline,ID Test,F11001,camera,M,0.0050618816167116165,0.0059525733813643456
Baseline,ID Test,F11001,camera,H,0.07728500664234161,0.08115334063768387
Baseline,ID Test,F11002,camera,M,0.001348261022940278,0.0016814885893836617
Baseline,ID Test,F11002,camera,H,0.007438168860971928,0.011025178246200085
Baseline,ID Test,F11003,camera,M,0.0049710823222994804,0.0051076095551252365
Baseline,ID Test,F11003,camera,H,0.1520719975233078,0.15315863490104675
Baseline,ID Test,F11000,light,M,0.016982464119791985,0.018175559118390083
Baseline,ID Test,F11000,light,H,0.036670390516519547,0.0379219688475132
Baseline,ID Test,F11001,light,M,0.006187629885971546,0.006749149411916733
Baseline,ID Test,F11001,light,H,0.024521712213754654,0.03153100982308388
Baseline,ID Test,F11002,light,M,0.003188443835824728,0.0036866723094135523
Baseline,ID Test,F11002,light,H,0.019554397091269493,0.02451569400727749
Baseline,ID Test,F11003,light,M,0.01379450224339962,0.014597135595977306
Baseline,ID Test,F11003,light,H,0.03061234951019287,0.03645755723118782
Baseline,ID Test,F11000,appearance,M,0.0019349459325894713,0.0024807315785437822
Baseline,ID Test,F11000,appearance,H,0.005956798791885376,0.009111534804105759
Baseline,ID Test,F11001,appearance,M,0.010300297290086746,0.011827493086457253
Baseline,ID Test,F11001,appearance,H,0.06732340902090073,0.0722195953130722
Baseline,ID Test,F11002,appearance,M,0.002703709527850151,0.0035727880895137787
Baseline,ID Test,F11002,appearance,H,0.024395588785409927,0.038181472569704056
Baseline,ID Test,F11003,appearance,M,0.0019721961580216885,0.002523350063711405
Baseline,ID Test,F11003,appearance,H,0.02112996205687523,0.025235144421458244
Baseline,ID Test,F11000,joint,M,0.021354597061872482,0.021915173158049583
Baseline,ID Test,F11000,joint,H,0.05283324420452118,0.053696807473897934
Baseline,ID Test,F11001,joint,M,0.005357458721846342,0.006790017243474722
Baseline,ID Test,F11001,joint,H,0.018350806087255478,0.025430474430322647
Baseline,ID Test,F11002,joint,M,0.0034174376633018255,0.0043141948990523815
Baseline,ID Test,F11002,joint,H,0.01906529814004898,0.028003094717860222
Baseline,ID Test,F11003,joint,M,0.014802037738263607,0.015440990217030048
Baseline,ID Test,F11003,joint,H,0.04548767954111099,0.05036488547921181
Proposed,ID Test,F11000,camera,M,0.0027237487956881523,0.0037012891843914986
Proposed,ID Test,F11000,camera,H,0.009130656719207764,0.01084156334400177
Proposed,ID Test,F11001,camera,M,0.0036665250081568956,0.0038821117486804724
Proposed,ID Test,F11001,camera,H,0.07283154875040054,0.074446901679039
