model,split,pair_type,channel,metric,n,mean,median,p25,p75,p95,bootstrap95ci
Baseline,Camera-OOD,appearance,H,masked_mae_drift,500,0.02075991452136077,0.013384503778070211,0.008751049637794495,0.02401736192405224,0.06624336726963519,"[0.01884662349074497, 0.022735617433628067]"
Baseline,Camera-OOD,appearance,H,masked_rmse_drift,500,0.02474143497645855,0.018108805641531944,0.012165669351816177,0.028989968355745077,0.06948669888079162,"[0.022906891534652096, 0.02674967235046206]"
Baseline,Camera-OOD,appearance,M,masked_mae_drift,500,0.006594801031984389,0.006042207358404994,0.004347487702034414,0.00826441403478384,0.012051464756950726,"[0.006265596229257062, 0.0069249880123650655]"
Baseline,Camera-OOD,appearance,M,masked_rmse_drift,500,0.010428312446456402,0.009990650694817305,0.007050514919683337,0.013082927092909813,0.018465117923915374,"[0.010017253875802271, 0.010863344762759517]"
Baseline,Camera-OOD,camera,H,masked_mae_drift,500,0.0553022209048504,0.034096650779247284,0.017161148600280285,0.07479074597358704,0.1641080796718597,"[0.050557701535293015, 0.06024719650727056]"
Baseline,Camera-OOD,camera,H,masked_rmse_drift,500,0.05828886572294868,0.03710309416055679,0.020768716000020504,0.07830945402383804,0.16637283191084834,"[0.05318289134242223, 0.06361019756539608]"
Baseline,Camera-OOD,camera,M,masked_mae_drift,500,0.012857783925486728,0.009352431632578373,0.005536200245842338,0.016518183052539825,0.03779236264526844,"[0.011883844308406695, 0.013834694555055467]"
Baseline,Camera-OOD,camera,M,masked_rmse_drift,500,0.014495815360569396,0.011161189060658216,0.006825045798905194,0.01850038953125477,0.038813539408147316,"[0.013555162487574853, 0.015447092387930024]"
Baseline,Camera-OOD,joint,H,masked_mae_drift,500,0.13523153038322924,0.07856285944581032,0.0359394121915102,0.1643758825957775,0.48232272416353167,"[0.12260372768286616, 0.1497625768778613]"
Baseline,Camera-OOD,joint,H,masked_rmse_drift,500,0.13936849433928727,0.08266246691346169,0.0425509437918663,0.16782700642943382,0.4832850635051722,"[0.12608986048181542, 0.15341186383781025]"
Baseline,Camera-OOD,joint,M,masked_mae_drift,500,0.021611459222156553,0.017048059031367302,0.0118687329813838,0.029391868505626917,0.04925622753798961,"[0.02041662880985532, 0.022886629666318187]"
Baseline,Camera-OOD,joint,M,masked_rmse_drift,500,0.024760528937913476,0.02090428303927183,0.015499605564400554,0.032099924981594086,0.051357309706509084,"[0.02359253814565018, 0.025865197085938416]"
