model,split,latent_id,pair_type,channel,within_drift,between_drift,within_between_ratio,within_lt_between
Baseline,ID Test,F11000,camera,M,0.012329746969044209,0.010752432979643345,1.146693682479775,False
Baseline,ID Test,F11000,camera,H,0.04846644401550293,0.742588460445404,0.06526689626503594,True
Baseline,ID Test,F11000,light,M,0.016982464119791985,0.010752432979643345,1.5794066470298789,False
Baseline,ID Test,F11000,light,H,0.036670390516519547,0.742588460445404,0.049381848048816526,True
Baseline,ID Test,F11000,appearance,M,0.0019349459325894713,0.010752432979643345,0.17995424256563494,True
Baseline,ID Test,F11000,appearance,H,0.005956798791885376,0.742588460445404,0.00802166894475103,True
Baseline,ID Test,F11000,joint,M,0.021354597061872482,0.010752432979643345,1.986024660865248,False
Baseline,ID Test,F11000,joint,H,0.05283324420452118,0.742588460445404,0.07114740804460096,True
Baseline,ID Test,F11001,camera,M,0.0050618816167116165,0.016161438077688217,0.31320737624827033,True
Baseline,ID Test,F11001,camera,H,0.07728500664234161,0.09133827686309814,0.8461404057159936,True
Baseline,ID Test,F11001,light,M,0.006187629885971546,0.016161438077688217,0.3828638179490921,True
Baseline,ID Test,F11001,light,H,0.024521712213754654,0.09133827686309814,0.26847136880531347,True
Baseline,ID Test,F11001,appearance,M,0.010300297290086746,0.016161438077688217,0.6373379176143299,True
Baseline,ID Test,F11001,appearance,H,0.06732340902090073,0.09133827686309814,0.7370777217727463,True
Baseline,ID Test,F11001,joint,M,0.005357458721846342,0.016161438077688217,0.3314964111543154,True
Baseline,ID Test,F11001,joint,H,0.018350806087255478,0.09133827686309814,0.20091036000997128,True
Baseline,ID Test,F11002,camera,M,0.001348261022940278,0.011382528580725193,0.11845004502983457,True
Baseline,ID Test,F11002,camera,H,0.007438168860971928,0.5454348921775818,0.013637134271472718,True
Baseline,ID Test,F11002,light,M,0.003188443835824728,0.011382528580725193,0.2801173582137045,True
Baseline,ID Test,F11002,light,H,0.019554397091269493,0.5454348921775818,0.03585101974903176,True
Baseline,ID Test,F11002,appearance,M,0.002703709527850151,0.011382528580725193,0.2375315386801247,True
Baseline,ID Test,F11002,appearance,H,0.024395588785409927,0.5454348921775818,0.04472685766034061,True
Baseline,ID Test,F11002,joint,M,0.0034174376633018255,0.011382528580725193,0.30023536853567,True
Baseline,ID Test,F11002,joint,H,0.01906529814004898,0.5454348921775818,0.03495430602896181,True
Baseline,ID Test,F11003,camera,M,0.0049710823222994804,0.08664234727621078,0.057374742012147456,True
Baseline,ID Test,F11003,camera,H,0.1520719975233078,0.4219616949558258,0.36039289665671637,True
Baseline,ID Test,F11003,light,M,0.01379450224339962,0.08664234727621078,0.15921200979728245,True
Baseline,ID Test,F11003,light,H,0.03061234951019287,0.4219616949558258,0.07254769775582973,True
Baseline,ID Test,F11003,appearance,M,0.0019721961580216885,0.08664234727621078,0.02276249686235348,True
Baseline,ID Test,F11003,appearance,H,0.02112996205687523,0.4219616949558258,0.05007554550440242,True
Baseline,ID Test,F11003,joint,M,0.014802037738263607,0.08664234727621078,0.1708406824560693,True
Baseline,ID Test,F11003,joint,H,0.04548767954111099,0.4219616949558258,0.10780049489059189,True
Baseline,ID Test,F11004,camera,M,0.0027419826947152615,0.014643271453678608,0.18725205657690888,True
Baseline,ID Test,F11004,camera,H,0.08654961735010147,0.07947906106710434,1.088961245742793,False
Baseline,ID Test,F11004,light,M,0.009645483456552029,0.014643271453678608,0.6586973059308369,True
Baseline,ID Test,F11004,light,H,0.07030325382947922,0.07947906106710434,0.8845506336583674,True
Baseline,ID Test,F11004,appearance,M,0.0036059548147022724,0.014643271453678608,0.24625336121843203,True
Baseline,ID Test,F11004,appearance,H,0.01452786847949028,0.07947906106710434,0.1827886273999182,True
Baseline,ID Test,F11004,joint,M,0.010949893854558468,0.014643271453678608,0.7477764712070328,True
Baseline,ID Test,F11004,joint,H,0.026540078222751617,0.07947906106710434,0.3339254121326845,True
Baseline,ID Test,F11005,camera,M,0.0016949060373008251,0.057289186865091324,0.02958509502486239,True
Baseline,ID Test,F11005,camera,H,0.02531413547694683,0.04640652611851692,0.5454865423948658,True
Baseline,ID Test,F11005,light,M,0.00457519618794322,0.057289186865091324,0.0798614265326757,True
Baseline,ID Test,F11005,light,H,0.022409044206142426,0.04640652611851692,0.48288562149453523,True
Baseline,ID Test,F11005,appearance,M,0.00541968597099185,0.057289186865091324,0.09460224987578396,True
Baseline,ID Test,F11005,appearance,H,0.026027992367744446,0.04640652611851692,0.5608692256186544,True
Baseline,ID Test,F11005,joint,M,0.006492419168353081,0.057289186865091324,0.11332713071389709,True
Baseline,ID Test,F11005,joint,H,0.072060726583004,0.04640652611851692,1.552814498524824,False
Baseline,ID Test,F11006,camera,M,0.0013178972294554114,0.007006618659943342,0.1880931863738776,True
Baseline,ID Test,F11006,camera,H,0.02040911465883255,0.05627302825450897,0.3626802269557483,True
Baseline,ID Test,F11006,light,M,0.004574572667479515,0.007006618659943342,0.6528930557662898,True
Baseline,ID Test,F11006,light,H,0.0821593776345253,0.05627302825450897,1.4600134413051093,False
