canonical_index,case_id,board
1,100037382,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\100037382.png
46,203111429,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\203111429.png
91,205682172,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\205682172.png
137,9301000063,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\9301000063.png
182,A001126672,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\A001126672.png
228,A001605283,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\A001605283.png
273,A001635405,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\A001635405.png
319,A001693188,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\A001693188.png
364,A001840235,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\A001840235.png
410,A001934939,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\A001934939.png
455,A002095165,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\A002095165.png
500,A002366013,reports\so_r2x2_realface_output_quality_audit\fixed_qualitative_boards\A002366013.png
