model,channel,orientation,position,seam_abs_first_difference,seam_abs_first_difference,seam_abs_first_difference,seam_abs_first_difference,seam_abs_first_difference,matched_local_reference_difference,matched_local_reference_difference,matched_local_reference_difference,matched_local_reference_difference,matched_local_reference_difference,seam_amplification_ratio,seam_amplification_ratio,seam_amplification_ratio,seam_amplification_ratio,seam_amplification_ratio
,,,,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,mean,median,<lambda_0>,<lambda_1>,<lambda_2>
B1_baseline,H_sensitive,horizontal,241,0.03289922983944416,0.030407730489969254,0.024152856320142746,0.037794364616274834,0.05485935509204864,0.004312637895345688,0.0040172189474105835,0.0034463871270418167,0.00482899509370327,0.006458939239382743,8.248532120460144,7.680863076540977,5.350822037144624,9.931330821542915,15.080845177063091
B1_baseline,H_sensitive,horizontal,482,0.025289199322462083,0.024850066751241684,0.0206033643335104,0.028905153274536133,0.03671592213213441,0.004732915416359901,0.004551596939563751,0.003951918333768845,0.005346920341253281,0.006865200400352478,5.701819095401165,5.2462280109731,4.130338651042308,6.803566162714089,9.743914802085447
B1_baseline,H_sensitive,horizontal,723,0.03211446055024862,0.031194381415843964,0.024900149554014206,0.03741050697863102,0.05044983960688108,0.003940583758056164,0.003759026527404785,0.0032611340284347534,0.004495516419410706,0.005839525908231733,8.4143257965975,8.025150672560976,6.536157596204946,9.718356431969355,13.579306216944694
B1_baseline,H_sensitive,horizontal,964,0.04334273318201304,0.03660694509744644,0.028113888576626778,0.04860834777355194,0.1056346833705902,0.005790208549238741,0.005420330911874771,0.004635650664567947,0.006470531225204468,0.00890545584261417,7.765904622224597,6.642744420577835,5.070527083484997,8.927949133051204,17.216127362480567
B1_baseline,H_sensitive,vertical,241,0.027755947656929493,0.025661468505859375,0.01927010342478752,0.03362240735441446,0.048056664690375325,0.003100560210645199,0.0030683912336826324,0.0026838984340429306,0.003439396619796753,0.00434422567486763,9.427617411234838,8.457880065949908,6.210748606109544,11.460568523133333,18.283912780811658
B1_baseline,H_sensitive,vertical,482,0.02118724425137043,0.020218588411808014,0.016159549355506897,0.02442164160311222,0.03446874544024466,0.0027859960794448854,0.002691395580768585,0.0023267418146133423,0.0031041204929351807,0.004013571143150326,8.056792503754568,7.330786616165814,5.6595708353777585,9.700297206176089,14.977685727154494
B1_baseline,H_sensitive,vertical,723,0.026839704282581808,0.026128077879548073,0.020732160657644272,0.031425394117832184,0.042057685554027543,0.0032558287009596823,0.0031852349638938904,0.002815399318933487,0.0036166608333587646,0.004434895515441893,8.579966614817083,8.105366600839275,6.29304023415513,10.173567816480865,14.41139438902314
B1_baseline,M_sensitive,horizontal,241,0.022782657012343405,0.01901259645819664,0.013627594336867332,0.02677694521844387,0.05156849175691604,0.004675349986180663,0.004385441541671753,0.0035248976200819016,0.005642347037792206,0.007735523581504821,5.1675218834182415,4.3884169036362755,3.0165746891354495,6.1224308028145344,11.151911573892733
B1_baseline,M_sensitive,horizontal,482,0.022851291080936788,0.021905936300754547,0.017739899456501007,0.02661823481321335,0.037028368562459925,0.006830489827319979,0.006825048476457596,0.0056543368846178055,0.007948026061058044,0.009846644476056099,3.537317631388442,3.2015653426618664,2.6479295297025427,4.03708328017421,6.126718746305679
B1_baseline,M_sensitive,horizontal,723,0.021427241751924158,0.020322062075138092,0.016028838232159615,0.025613797828555107,0.03545299321413039,0.00459334538388066,0.004514593631029129,0.0036635855212807655,0.00550205260515213,0.006938944756984709,4.939260705641058,4.560763972785958,3.6171274745026345,5.783434461885823,8.231274011849948
B1_baseline,M_sensitive,horizontal,964,0.01896287090331316,0.018193453550338745,0.01441405899822712,0.021909279748797417,0.031497159600257875,0.005727692517451942,0.005501221865415573,0.004458490759134293,0.006675196811556816,0.009262075275182724,3.7378068197125023,3.226055274698449,2.441061876295041,4.407987985994174,7.0422664395239245
B1_baseline,M_sensitive,vertical,241,0.026548926966264843,0.021865420043468475,0.01540813036262989,0.032498241402208805,0.0582737393677234,0.0043910569883883,0.004209473729133606,0.0033248700201511383,0.00532197393476963,0.006993484124541281,6.309079225555527,5.250991825167285,3.8781580967130775,7.527085842298801,13.401941392038863
B1_baseline,M_sensitive,vertical,482,0.023763762885704635,0.0195686724036932,0.014817111194133759,0.02778206765651703,0.0512649334967136,0.004591334058903157,0.004348680377006531,0.0035597681999206543,0.005557382479310036,0.007471036538481712,5.578362036795541,4.619691256460353,3.419418928996429,6.32118323644662,11.147547485912416
