case_id,source_mask_shape,source_mask_binary_0_255,source_mask_matches_x1_mask,x1_mask_valid_fraction,source_mask_valid_fraction,rgb_source_shape,b1_source_shape,b2_source_shape,output_rgb_shape,output_b1mh_shape,output_b2mh_shape
100037382,"[1220, 979]",True,False,0.6358361660443075,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
100643124,"[1220, 979]",True,False,0.7103250221872436,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
100960732,"[1220, 979]",True,False,0.6107788141127615,0.9908077831176008,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
101044067,"[1220, 979]",True,False,0.6432165642425359,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
101295911,"[1220, 979]",True,False,0.6597523401262579,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
101377780,"[1220, 979]",True,False,0.6726175923910314,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
101588739,"[1220, 979]",True,False,0.6491393023995713,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
101737098,"[1220, 979]",True,False,0.6503717409869556,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
102400553,"[1220, 979]",True,False,0.6236038781627288,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
200088422,"[1220, 979]",True,False,0.664501247509168,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
200378127,"[1220, 979]",True,False,0.5143095162343643,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
200563014,"[1220, 979]",True,False,0.6062157772233293,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
200732328,"[1220, 979]",True,False,0.6024138046517858,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
200734233,"[1220, 979]",True,False,0.6413319044190291,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
200869357,"[1220, 979]",True,False,0.6372084261290376,0.9788141127614327,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
200887343,"[1220, 979]",True,False,0.5857842562668497,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
200887343-1,"[1220, 979]",True,False,0.6341030492807984,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201091104,"[1220, 979]",True,False,0.6223513454679416,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201239406,"[1220, 979]",True,False,0.568335035750766,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201319100,"[1220, 979]",True,False,0.6437900835579966,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201331515,"[1220, 979]",True,False,0.7270935548150504,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
20134065,"[1220, 979]",True,False,0.5380758217652674,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201368897,"[1220, 979]",True,False,0.5334776201878799,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201380940,"[1220, 979]",True,False,0.5730345451196437,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201428730,"[1220, 979]",True,False,0.6380657747115658,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201537151,"[1220, 979]",True,False,0.6514785914030711,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201551216,"[1220, 979]",True,False,0.6464106900651384,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201562603,"[1220, 979]",True,False,0.6419029119710645,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201562603-1,"[1220, 979]",True,False,0.5998032451983456,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201770004,"[1220, 979]",True,False,0.592689093923207,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201771352,"[1220, 979]",True,False,0.6528826671578559,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
201885444,"[1220, 979]",True,False,0.6527688005492389,1.0,"(1220, 979, 3)","(2, 1220, 979)","(2, 1220, 979)","(3, 320, 256)","(5, 320, 256)","(5, 320, 256)"
