accuracy,balanced_accuracy,condition,fold,inner_best_macro_auc,macro_auc,macro_f1,macro_precision,macro_recall,selected_epoch,selection_epochs_run,sensitivity,specificity,train_control,train_patient,weight_control,weight_patient
0.75,0.7309429700734049,RGB,0,0.8731665228645383,0.8356860530773574,0.6932891669733775,0.6822638146167558,0.7309429700734049,6,16,0.7662337662337663,0.6956521739130435,73,247,2.1917808055877686,0.647773265838623
0.82,0.867871259175607,RGB,1,0.8317515099223467,0.9006211180124223,0.7896213183730716,0.7738545607398066,0.867871259175607,2,12,0.7792207792207793,0.9565217391304348,73,247,2.1917808055877686,0.647773265838623
0.82,0.8068887634105026,RGB,2,0.8472821397756687,0.854884246188594,0.7716894977168949,0.7540906965871903,0.8068887634105026,3,13,0.8311688311688312,0.782608695652174,73,247,2.1917808055877686,0.647773265838623
0.78,0.5979672501411631,RGB,3,0.8498705780845556,0.818746470920384,0.6102055279943303,0.6772216547497446,0.5979672501411631,1,11,0.935064935064935,0.2608695652173913,73,247,2.1917808055877686,0.647773265838623
0.72,0.7724449463579899,RGB,4,0.9387402933563416,0.7967250141163184,0.6880570409982174,0.694949494949495,0.7724449463579899,2,12,0.6753246753246753,0.8695652173913043,73,247,2.1917808055877686,0.647773265838623
0.75,0.7309429700734049,RGB_B1MH,0,0.8628127696289906,0.818746470920384,0.6932891669733775,0.6822638146167558,0.7309429700734049,13,23,0.7662337662337663,0.6956521739130435,73,247,2.1917808055877686,0.647773265838623
0.78,0.7809147374364767,RGB_B1MH,1,0.8455565142364107,0.823828345567476,0.7328800388538126,0.7186813186813187,0.7809147374364767,1,11,0.7792207792207793,0.782608695652174,73,247,2.1917808055877686,0.647773265838623
0.77,0.6219649915302089,RGB_B1MH,2,0.8886971527178602,0.8379446640316206,0.6336996336996337,0.6607142857142857,0.6219649915302089,2,12,0.8961038961038961,0.34782608695652173,73,247,2.1917808055877686,0.647773265838623
0.77,0.637210615471485,RGB_B1MH,3,0.8300258843830888,0.7831733483907397,0.647185151096794,0.6646341463414633,0.637210615471485,5,15,0.8831168831168831,0.391304347826087,73,247,2.1917808055877686,0.647773265838623
0.73,0.7789384528514963,RGB_B1MH,4,0.9490940465918896,0.8255223037831733,0.6970037032880709,0.700487012987013,0.7789384528514963,1,11,0.6883116883116883,0.8695652173913043,73,247,2.1917808055877686,0.647773265838623
0.73,0.6722190852625636,RGB_B2MH,0,0.911993097497843,0.7922077922077922,0.6534462841740469,0.6452380952380952,0.6722190852625636,3,13,0.7792207792207793,0.5652173913043478,73,247,2.1917808055877686,0.647773265838623
0.8,0.7329192546583851,RGB_B2MH,1,0.8610871440897326,0.8836815358554488,0.7258771929824561,0.72,0.7329192546583851,2,12,0.8571428571428571,0.6086956521739131,73,247,2.1917808055877686,0.647773265838623
0.8,0.717673630717109,RGB_B2MH,2,0.8809318377911992,0.83399209486166,0.717673630717109,0.717673630717109,0.717673630717109,2,12,0.8701298701298701,0.5652173913043478,73,247,2.1917808055877686,0.647773265838623
0.79,0.7416713721061547,RGB_B2MH,3,0.8334771354616048,0.8356860530773574,0.7236478484011054,0.7123015873015872,0.7416713721061547,2,12,0.8311688311688312,0.6521739130434783,73,247,2.1917808055877686,0.647773265838623
0.79,0.7874082439299831,RGB_B2MH,4,0.9404659188955996,0.8565782044042913,0.7423629002576371,0.7268270944741533,0.7874082439299831,6,16,0.7922077922077922,0.782608695652174,73,247,2.1917808055877686,0.647773265838623
