comparison,metric,pooled_oof_absolute_difference,fold_delta_mean,fold_delta_sd
B2_MH_ONLY_minus_B1_MH_ONLY,macro_auc,-0.01662337662337665,-0.000451722190852677,0.009099497575669096
B2_MH_ONLY_minus_B1_MH_ONLY,macro_f1,0.009917202961465588,0.013009005200459023,0.0487658599798309
B2_MH_ONLY_minus_B1_MH_ONLY,balanced_accuracy,0.018746470920384062,0.01874647092038397,0.0516713563716481
B2_MH_ONLY_minus_B1_MH_ONLY,sensitivity,-0.023376623376623273,-0.023376623376623364,0.06119074799682988
B2_MH_ONLY_minus_B1_MH_ONLY,specificity,0.060869565217391286,0.0608695652173913,0.13953744813809754
B2_MH_ONLY_minus_B2_M_ONLY,macro_auc,-0.011022021456804088,-0.023037831733483928,0.03483591652991829
B2_MH_ONLY_minus_B2_M_ONLY,macro_f1,-0.025845066734141997,-0.014317571539516894,0.06939772517063092
B2_MH_ONLY_minus_B2_M_ONLY,balanced_accuracy,-0.03523433088650474,-0.03523433088650481,0.07085193849073895
B2_MH_ONLY_minus_B2_M_ONLY,sensitivity,0.007792207792207795,0.007792207792207772,0.05323091306991999
B2_MH_ONLY_minus_B2_M_ONLY,specificity,-0.07826086956521738,-0.07826086956521741,0.15186303649193894
B2_MH_ONLY_minus_B2_H_ONLY,macro_auc,-0.03252399774138903,-0.02292490118577082,0.03414305282887681
B2_MH_ONLY_minus_B2_H_ONLY,macro_f1,-0.038877781005246304,-0.03510114373108384,0.03242550621010344
B2_MH_ONLY_minus_B2_H_ONLY,balanced_accuracy,-0.04432523997741389,-0.04432523997741389,0.046245972789745404
B2_MH_ONLY_minus_B2_H_ONLY,sensitivity,-0.010389610389610393,-0.010389610389610416,0.09561123282756345
B2_MH_ONLY_minus_B2_H_ONLY,specificity,-0.07826086956521738,-0.07826086956521737,0.17227489353181694
