accuracy,balanced_accuracy,condition,fold,inner_best_macro_auc,macro_auc,macro_f1,macro_precision,macro_recall,selected_epoch,selection_epochs_run,sensitivity,specificity,train_control,train_patient,weight_control,weight_patient
0.7,0.652738565782044,B1_MH_ONLY,0,0.8886971527178602,0.7227555053642011,0.6279761904761905,0.6223428312980552,0.652738565782044,11,21,0.7402597402597403,0.5652173913043478,73,247,2.1917808055877686,0.647773265838623
0.77,0.5762281197063805,B1_MH_ONLY,1,0.808455565142364,0.8695652173913043,0.5826528760660498,0.65,0.5762281197063805,2,12,0.935064935064935,0.21739130434782608,73,247,2.1917808055877686,0.647773265838623
0.79,0.7264257481648786,B1_MH_ONLY,2,0.8774805867126834,0.8605307735742519,0.7161778618732261,0.7084199584199584,0.7264257481648786,13,23,0.8441558441558441,0.6086956521739131,73,247,2.1917808055877686,0.647773265838623
0.79,0.7264257481648786,B1_MH_ONLY,3,0.823123382226057,0.8413325804630153,0.7161778618732261,0.7084199584199584,0.7264257481648786,16,26,0.8441558441558441,0.6086956521739131,73,247,2.1917808055877686,0.647773265838623
0.74,0.6177300959909655,B1_MH_ONLY,4,0.917169974115617,0.8260869565217391,0.6212121212121212,0.6256781193490054,0.6177300959909655,11,21,0.8441558441558441,0.391304347826087,73,247,2.1917808055877686,0.647773265838623
0.73,0.7027103331451158,B2_H_ONLY,0,0.8826574633304572,0.8029361942405421,0.6687523003312477,0.659982174688057,0.7027103331451158,4,14,0.7532467532467533,0.6521739130434783,73,247,2.1917808055877686,0.647773265838623
0.83,0.6304347826086957,B2_H_ONLY,1,0.8213977566867989,0.8898927159796726,0.6571889493849566,0.9095744680851063,0.6304347826086957,1,11,1.0,0.2608695652173913,73,247,2.1917808055877686,0.647773265838623
0.78,0.7504234895539243,B2_H_ONLY,2,0.8291630716134599,0.8667419536984755,0.7209538305428715,0.7073398784478728,0.7504234895539243,6,16,0.8051948051948052,0.6956521739130435,73,247,2.1917808055877686,0.647773265838623
0.83,0.7981366459627328,B2_H_ONLY,3,0.8188093183779119,0.8712591756070017,0.7762863534675615,0.7619047619047619,0.7981366459627328,13,23,0.8571428571428571,0.7391304347826086,73,247,2.1917808055877686,0.647773265838623
0.73,0.733201581027668,B2_H_ONLY,4,0.91458153580673,0.8018068887634106,0.6815662224318906,0.6752971137521222,0.733201581027668,11,21,0.7272727272727273,0.7391304347826086,73,247,2.1917808055877686,0.647773265838623
0.65,0.6964991530208922,B2_MH_ONLY,0,0.8714408973252804,0.7238848108413326,0.6178622120318812,0.6394230769230769,0.6964991530208922,1,11,0.6103896103896104,0.782608695652174,73,247,2.1917808055877686,0.647773265838623
0.8,0.6414455110107284,B2_MH_ONLY,1,0.8127696289905091,0.878035008469791,0.6612466124661247,0.7214854111405835,0.6414455110107284,2,12,0.935064935064935,0.34782608695652173,73,247,2.1917808055877686,0.647773265838623
0.77,0.6829474872953134,B2_MH_ONLY,2,0.9033649698015531,0.8514963297571992,0.6801557502433597,0.6776315789473684,0.6829474872953134,4,14,0.8441558441558441,0.5217391304347826,73,247,2.1917808055877686,0.647773265838623
0.79,0.6959345002823263,B2_MH_ONLY,3,0.8291630716134599,0.8492377188029363,0.6989247311827957,0.7022144522144522,0.6959345002823263,9,19,0.8701298701298701,0.5217391304347826,73,247,2.1917808055877686,0.647773265838623
0.76,0.6764539808018069,B2_MH_ONLY,4,0.91458153580673,0.8153585544889892,0.6710526315789473,0.6666666666666667,0.6764539808018069,27,37,0.8311688311688312,0.5217391304347826,73,247,2.1917808055877686,0.647773265838623
0.71,0.7964426877470356,B2_M_ONLY,0,0.8567730802415876,0.800677583286279,0.6871966346672419,0.71,0.7964426877470356,3,13,0.6363636363636364,0.9565217391304348,73,247,2.1917808055877686,0.647773265838623
0.78,0.567476002258611,B2_M_ONLY,1,0.825711820534944,0.8921513269339356,0.5686274509803921,0.6835637480798771,0.567476002258611,2,12,0.961038961038961,0.17391304347826086,73,247,2.1917808055877686,0.647773265838623
0.82,0.745906267645398,B2_M_ONLY,2,0.9163071613459879,0.8644833427442122,0.745906267645398,0.745906267645398,0.745906267645398,8,18,0.8831168831168831,0.6086956521739131,73,247,2.1917808055877686,0.647773265838623
0.8,0.7786561264822134,B2_M_ONLY,3,0.823123382226057,0.8791643139469226,0.7463216641298833,0.7307152875175316,0.7786561264822134,2,12,0.8181818181818182,0.7391304347826086,73,247,2.1917808055877686,0.647773265838623
0.72,0.6809712027103332,B2_M_ONLY,4,0.916307161345988,0.7967250141163185,0.6527777777777778,0.6449570330167345,0.6809712027103332,5,15,0.7532467532467533,0.6086956521739131,73,247,2.1917808055877686,0.647773265838623
