condition,bin_index,bin_range,count,mean_predicted_probability,observed_patient_fraction
RGB,0,"[0.0, 0.1)",25,0.06377157323999999,0.56
RGB,1,"[0.1, 0.2)",34,0.15662173411764707,0.4117647058823529
RGB,2,"[0.2, 0.3)",39,0.24869001512820516,0.5128205128205128
RGB,3,"[0.3, 0.4)",33,0.35686362121212123,0.3333333333333333
RGB,4,"[0.4, 0.5)",29,0.4505497644827586,0.6551724137931034
RGB,5,"[0.5, 0.6)",31,0.5518017693548387,0.5806451612903226
RGB,6,"[0.6, 0.7)",37,0.651737548108108,0.7567567567567568
RGB,7,"[0.7, 0.8)",36,0.7542404777777778,0.8888888888888888
RGB,8,"[0.8, 0.9)",85,0.8530533290588233,0.9294117647058824
RGB,9,"[0.9, 1.0]",151,0.9494063744370863,0.9933774834437086
RGB_B1MH,0,"[0.0, 0.1)",15,0.06466139906666667,0.4
RGB_B1MH,1,"[0.1, 0.2)",34,0.15397329947058824,0.5
RGB_B1MH,2,"[0.2, 0.3)",39,0.24823579589743594,0.5384615384615384
RGB_B1MH,3,"[0.3, 0.4)",27,0.3541901807407408,0.5555555555555556
RGB_B1MH,4,"[0.4, 0.5)",32,0.456124334375,0.53125
RGB_B1MH,5,"[0.5, 0.6)",39,0.5502400312820512,0.6666666666666666
RGB_B1MH,6,"[0.6, 0.7)",33,0.6571766875757576,0.6666666666666666
RGB_B1MH,7,"[0.7, 0.8)",56,0.7524501871428572,0.8571428571428571
RGB_B1MH,8,"[0.8, 0.9)",86,0.8510255527906977,0.8953488372093024
RGB_B1MH,9,"[0.9, 1.0]",139,0.9558690283453237,0.9784172661870504
RGB_B2MH,0,"[0.0, 0.1)",15,0.06558759713333334,0.4666666666666667
RGB_B2MH,1,"[0.1, 0.2)",27,0.1466660248148148,0.48148148148148145
RGB_B2MH,2,"[0.2, 0.3)",34,0.25466462911764703,0.4411764705882353
RGB_B2MH,3,"[0.3, 0.4)",33,0.3554182966666667,0.45454545454545453
RGB_B2MH,4,"[0.4, 0.5)",31,0.4481287287096775,0.5483870967741935
RGB_B2MH,5,"[0.5, 0.6)",35,0.5527081428571426,0.6857142857142857
RGB_B2MH,6,"[0.6, 0.7)",29,0.6437052931034483,0.6896551724137931
RGB_B2MH,7,"[0.7, 0.8)",36,0.7560434111111111,0.6111111111111112
RGB_B2MH,8,"[0.8, 0.9)",63,0.8562932380952379,0.8888888888888888
RGB_B2MH,9,"[0.9, 1.0]",197,0.9567377783248731,0.9949238578680203
