condition,scope,macro_auc,macro_f1,balanced_accuracy,sensitivity,specificity,macro_auc_delta_vs_RGB
RGB,pooled_oof,0.8369960474308301,0.7216300940438871,0.7552230378317335,0.7974025974025974,0.7130434782608696,
RGB,outer_fold_0,0.8356860530773574,0.6932891669733775,0.7309429700734049,0.7662337662337663,0.6956521739130435,
RGB,outer_fold_1,0.9006211180124223,0.7896213183730716,0.867871259175607,0.7792207792207793,0.9565217391304348,
RGB,outer_fold_2,0.854884246188594,0.7716894977168949,0.8068887634105026,0.8311688311688312,0.782608695652174,
RGB,outer_fold_3,0.818746470920384,0.6102055279943303,0.5979672501411631,0.935064935064935,0.2608695652173913,
RGB,outer_fold_4,0.7967250141163184,0.6880570409982174,0.7724449463579899,0.6753246753246753,0.8695652173913043,
RGB_B1MH,pooled_oof,0.7986222473178994,0.6896915534040837,0.7099943534726143,0.8025974025974026,0.6173913043478261,
RGB_B1MH,outer_fold_0,0.818746470920384,0.6932891669733775,0.7309429700734049,0.7662337662337663,0.6956521739130435,
RGB_B1MH,outer_fold_1,0.823828345567476,0.7328800388538126,0.7809147374364767,0.7792207792207793,0.782608695652174,
RGB_B1MH,outer_fold_2,0.8379446640316206,0.6336996336996337,0.6219649915302089,0.8961038961038961,0.34782608695652173,
RGB_B1MH,outer_fold_3,0.7831733483907397,0.647185151096794,0.637210615471485,0.8831168831168831,0.391304347826087,
RGB_B1MH,outer_fold_4,0.8255223037831733,0.6970037032880709,0.7789384528514963,0.6883116883116883,0.8695652173913043,
RGB_B2MH,pooled_oof,0.8400451722190853,0.7131201473878142,0.730378317334839,0.825974025974026,0.6347826086956522,
RGB_B2MH,outer_fold_0,0.7922077922077922,0.6534462841740469,0.6722190852625636,0.7792207792207793,0.5652173913043478,
RGB_B2MH,outer_fold_1,0.8836815358554488,0.7258771929824561,0.7329192546583851,0.8571428571428571,0.6086956521739131,
RGB_B2MH,outer_fold_2,0.83399209486166,0.717673630717109,0.717673630717109,0.8701298701298701,0.5652173913043478,
RGB_B2MH,outer_fold_3,0.8356860530773574,0.7236478484011054,0.7416713721061547,0.8311688311688312,0.6521739130434783,
RGB_B2MH,outer_fold_4,0.8565782044042913,0.7423629002576371,0.7874082439299831,0.7922077922077922,0.782608695652174,
RGB_B1MH,pooled_oof,,,,,,-0.03837380011293068
RGB_B2MH,pooled_oof,,,,,,0.003049124788255142
RGB_B1MH,outer_fold_0,,,,,,-0.016939582156973443
RGB_B2MH,outer_fold_0,,,,,,-0.04347826086956519
RGB_B1MH,outer_fold_1,,,,,,-0.07679277244494631
RGB_B2MH,outer_fold_1,,,,,,-0.016939582156973443
RGB_B1MH,outer_fold_2,,,,,,-0.016939582156973443
RGB_B2MH,outer_fold_2,,,,,,-0.020892151326934005
RGB_B1MH,outer_fold_3,,,,,,-0.035573122529644285
RGB_B2MH,outer_fold_3,,,,,,0.016939582156973443
RGB_B1MH,outer_fold_4,,,,,,0.02879728966685491
RGB_B2MH,outer_fold_4,,,,,,0.05985319028797298
